gene	coefficient	abs_coefficient	direction	rank
ENSMUSG00000059824	-412.29205	412.29205	ground_control	1
ENSMUSG00000038550	-403.1404	403.1404	ground_control	2
ENSMUSG00000065458	263.82172	263.82172	flight	3
ENSMUSG00000064232	-241.23874	241.23874	ground_control	4
ENSMUSG00000065589	-239.69914	239.69914	ground_control	5
ENSMUSG00000028957	-222.50769	222.50769	ground_control	6
ENSMUSG00000021775	-220.13878	220.13878	ground_control	7
ENSMUSG00000119752	-219.7929	219.7929	ground_control	8
ENSMUSG00000031471	-211.3902	211.3902	ground_control	9
ENSMUSG00000022389	-209.65564	209.65564	ground_control	10
ENSMUSG00000091971	-208.05165	208.05165	ground_control	11
ENSMUSG00000020125	-204.961	204.961	ground_control	12
ENSMUSG00000074063	-202.58072	202.58072	ground_control	13
ENSMUSG00000025480	202.21173	202.21173	flight	14
ENSMUSG00000021453	200.78049	200.78049	flight	15
ENSMUSG00000090877	-194.06833	194.06833	ground_control	16
ENSMUSG00000105814	-190.95605	190.95605	ground_control	17
ENSMUSG00000098390	-188.49283	188.49283	ground_control	18
ENSMUSG00000059060	188.37157	188.37157	flight	19
ENSMUSG00000057697	188.2326	188.2326	flight	20
ENSMUSG00000031167	187.23787	187.23787	flight	21
ENSMUSG00000087309	186.9647	186.9647	flight	22
ENSMUSG00000023067	185.06493	185.06493	flight	23
ENSMUSG00000055116	185.01877	185.01877	flight	24
ENSMUSG00000093007	-183.25684	183.25684	ground_control	25
ENSMUSG00000044265	181.35751	181.35751	flight	26
ENSMUSG00000025981	-180.2745	180.2745	ground_control	27
ENSMUSG00000089424	-179.89748	179.89748	ground_control	28
ENSMUSG00000118261	-179.62334	179.62334	ground_control	29
ENSMUSG00000107014	179.14978	179.14978	flight	30
ENSMUSG00000055866	-179.03572	179.03572	ground_control	31
ENSMUSG00000065561	178.9796	178.9796	flight	32
ENSMUSG00000104667	-177.47308	177.47308	ground_control	33
ENSMUSG00000040314	-177.47025	177.47025	ground_control	34
ENSMUSG00000076041	-176.31726	176.31726	ground_control	35
ENSMUSG00000056399	-176.25615	176.25615	ground_control	36
ENSMUSG00000028715	176.08719	176.08719	flight	37
ENSMUSG00000047026	-174.91917	174.91917	ground_control	38
ENSMUSG00000094293	172.94571	172.94571	flight	39
ENSMUSG00000029657	-172.50151	172.50151	ground_control	40
ENSMUSG00000104870	-170.25615	170.25615	ground_control	41
ENSMUSG00000074620	-169.3452	169.3452	ground_control	42
ENSMUSG00000074622	168.95186	168.95186	flight	43
ENSMUSG00000080468	168.80656	168.80656	flight	44
ENSMUSG00000093973	-168.48825	168.48825	ground_control	45
ENSMUSG00000066652	-165.39252	165.39252	ground_control	46
ENSMUSG00000065445	-164.4771	164.4771	ground_control	47
ENSMUSG00000087342	-164.09868	164.09868	ground_control	48
ENSMUSG00000054196	-163.40094	163.40094	ground_control	49
ENSMUSG00000011305	163.03783	163.03783	flight	50
ENSMUSG00000079395	161.65337	161.65337	flight	51
ENSMUSG00000026525	-161.46501	161.46501	ground_control	52
ENSMUSG00000032080	160.91623	160.91623	flight	53
ENSMUSG00000092852	160.88718	160.88718	flight	54
ENSMUSG00000031016	-160.41121	160.41121	ground_control	55
ENSMUSG00000044444	-159.40103	159.40103	ground_control	56
ENSMUSG00000094808	158.69704	158.69704	flight	57
ENSMUSG00000030103	-157.16035	157.16035	ground_control	58
ENSMUSG00000022116	-154.4381	154.4381	ground_control	59
ENSMUSG00000065110	-154.3739	154.3739	ground_control	60
ENSMUSG00000062061	-154.21582	154.21582	ground_control	61
ENSMUSG00000100713	153.55795	153.55795	flight	62
ENSMUSG00000053863	-153.30873	153.30873	ground_control	63
ENSMUSG00000005483	-153.17488	153.17488	ground_control	64
ENSMUSG00000029641	153.06047	153.06047	flight	65
ENSMUSG00000086136	-152.64699	152.64699	ground_control	66
ENSMUSG00000022209	-152.03766	152.03766	ground_control	67
ENSMUSG00000051036	151.59302	151.59302	flight	68
ENSMUSG00000064725	151.32599	151.32599	flight	69
ENSMUSG00000092847	150.09488	150.09488	flight	70
ENSMUSG00000106074	-149.95172	149.95172	ground_control	71
ENSMUSG00000092727	149.15408	149.15408	flight	72
ENSMUSG00000093097	148.48479	148.48479	flight	73
ENSMUSG00000026124	148.46252	148.46252	flight	74
ENSMUSG00000093017	-148.42867	148.42867	ground_control	75
ENSMUSG00000000901	-148.40909	148.40909	ground_control	76
ENSMUSG00000052837	147.75056	147.75056	flight	77
ENSMUSG00000020889	-147.38719	147.38719	ground_control	78
ENSMUSG00000052276	-147.10962	147.10962	ground_control	79
ENSMUSG00000081766	-146.62692	146.62692	ground_control	80
ENSMUSG00000024222	146.06667	146.06667	flight	81
ENSMUSG00000092815	-146.05623	146.05623	ground_control	82
ENSMUSG00000092752	145.82848	145.82848	flight	83
