cv	fold	n_train	n_test	accuracy	f1	roc_auc	status
stratified_random_cv	1	1025	257	0.7392996108949417	0.7665505226480837	0.73224043715847	ok
stratified_random_cv	2	1025	257	0.7120622568093385	0.725925925925926	0.7325440194292654	ok
stratified_random_cv	3	1026	256	0.7265625	0.7388059701492538	0.7189164370982554	ok
stratified_random_cv	4	1026	256	0.65234375	0.636734693877551	0.6702173247627794	ok
stratified_random_cv	5	1026	256	0.625	0.616	0.6532598714416896	ok
stratified_group_cv_by_id.accession	1	1023	259	0.7027027027027027	0.7094339622641509	0.7094017094017094	ok
stratified_group_cv_by_id.accession	2	1030	252	0.6150793650793651	0.622568093385214	0.6263666412407831	ok
stratified_group_cv_by_id.accession	3	1018	264	0.6022727272727273	0.5023696682464455	0.6156939338235293	ok
stratified_group_cv_by_id.accession	4	1027	255	0.5411764705882353	0.5617977528089888	0.5512133530426213	ok
stratified_group_cv_by_id.accession	5	1030	252	0.6428571428571429	0.6017699115044248	0.6434645669291338	ok
