gene_cluster	n_genes		OSD-100	OSD-101	OSD-102	OSD-103	OSD-104	OSD-105	OSD-137	OSD-141	OSD-161	OSD-162	OSD-163	OSD-164	OSD-168	OSD-173	OSD-194	OSD-201	OSD-202	OSD-203	OSD-211	OSD-214	OSD-235	OSD-236	OSD-237	OSD-238	OSD-239	OSD-240	OSD-241	OSD-242	OSD-243	OSD-244	OSD-245	OSD-246	OSD-247	OSD-248	OSD-253	OSD-254	OSD-255	OSD-270	OSD-272	OSD-273	OSD-274	OSD-288	OSD-289	OSD-294	OSD-295	OSD-308	OSD-318	OSD-322	OSD-326	OSD-352	OSD-379	OSD-397	OSD-401	OSD-419	OSD-420	OSD-421	OSD-426	OSD-457	OSD-463	OSD-464	OSD-467	OSD-47	OSD-48	OSD-49	OSD-506	OSD-511	OSD-512	OSD-513	OSD-515	OSD-525	OSD-561	OSD-562	OSD-563	OSD-564	OSD-566	OSD-576	OSD-580	OSD-599	OSD-612	OSD-613	OSD-665	OSD-666	OSD-667	OSD-686	OSD-690	OSD-714	OSD-719	OSD-720	OSD-758	OSD-759	OSD-770	OSD-771	OSD-792	OSD-813	OSD-825	OSD-876	OSD-880	OSD-881	OSD-899	OSD-900	OSD-901	OSD-935	OSD-949	OSD-955	OSD-98	OSD-99
0	263	86.47464752197266	960.4220581054688	501.9293212890625	1827.87060546875	471.0757141113281	612.614990234375	520.6732788085938	42373.875	146.60531616210938	2661.220458984375	2153.718505859375	3102.66455078125	7732.61962890625	53893.6640625	32077.076171875	1013.196533203125	273.2481689453125	137.9969482421875	172.95187377929688	541.7872314453125	294.6889953613281	33965.0859375	1340.38525390625	1057.8001708984375	840.2565307617188	831.6614990234375	959.8511962890625	903.1259155273438	29307.65234375	1040.89013671875	1335.0120849609375	48731.26953125	559.6107177734375	1147.278076171875	3149.1025390625	2823.13232421875	945.8004150390625	134.2362060546875	1002.7566528320312	290.1536560058594	71954.390625	1376.8760986328125	124.79340362548828	66.34199523925781	15137.1845703125	430.8818054199219	317.7427062988281	209.23526000976562	15193.693359375	469.6473388671875	403.8219299316406	31301.056640625	538.7685546875	189.85899353027344	75.95057678222656	72.69962310791016	105.71577453613281	75.05091094970703	2226.369384765625	81177.0390625	2735.234619140625	421.71624755859375	26124.20703125	22719.4375	31794.6875	436.5107116699219	2757.21533203125	8475.6025390625	2555.30712890625	987.3934936523438	787.5679931640625	674.0498046875	509.4039001464844	932.0642700195312	971.9578247070312	500.36407470703125	860.1664428710938	931.2906494140625	281.4397888183594	857.0037841796875	1252.66796875	750.7196044921875	932.5054321289062	758.1141967773438	17737.509765625	307.5953674316406	152.275390625	220.9364471435547	299.6643981933594	1190.7764892578125	1441.67431640625	504.4081115722656	2950.151611328125	218.20118713378906	1020.7040405273438	285.9291076660156	160.34811401367188	339.8280334472656	293.480712890625	382.5610656738281	2419.2275390625	200.81622314453125	370.86578369140625	294.9551086425781	82.63907623291016	1344.981689453125	801.880859375
1	9845	32.81613540649414	181.5218505859375	124.9502182006836	103.75949096679688	100.79523468017578	107.57868194580078	114.81051635742188	100.64268493652344	36.30825424194336	205.48915100097656	317.5196228027344	171.32374572753906	54.78032684326172	126.62943267822266	60.07194519042969	258.0325012207031	46.71098327636719	43.679420471191406	50.60094451904297	128.9609832763672	61.75101852416992	78.10746002197266	144.31887817382812	177.2184600830078	140.46365356445312	147.01980590820312	152.0700225830078	156.93821716308594	63.836875915527344	175.8527069091797	141.07090759277344	103.80528259277344	151.35838317871094	147.03073120117188	165.5437469482422	123.87696838378906	147.28170776367188	38.958030700683594	116.02286529541016	78.94031524658203	142.31387329101562	118.90677642822266	37.837379455566406	28.227001190185547	41.33062744140625	76.97929382324219	167.44642639160156	32.93070602416992	45.57331466674805	145.31219482421875	132.59352111816406	67.66216278076172	100.16354370117188	47.78599548339844	27.169950485229492	24.37158966064453	26.385250091552734	23.56247329711914	41.76933288574219	121.33163452148438	210.26974487304688	67.86921691894531	57.454017639160156	55.2889404296875	57.31815719604492	117.486328125	122.54293823242188	173.4718475341797	85.7550277709961	136.3053741455078	135.8578643798828	85.60250091552734	90.67002868652344	150.7519989013672	154.51727294921875	63.219207763671875	131.82875061035156	91.01436614990234	33.160369873046875	174.4195556640625	209.63064575195312	118.01787567138672	122.84960174560547	125.97343444824219	36.81919860839844	68.0841293334961	29.796152114868164	17.632823944091797	39.76568603515625	312.213134765625	266.88226318359375	90.51583099365234	141.46072387695312	79.74484252929688	115.9207992553711	38.22404861450195	34.461734771728516	65.56681823730469	42.759552001953125	51.865882873535156	183.66802978515625	149.39768981933594	75.28412628173828	53.884178161621094	29.066274642944336	132.91819763183594	147.93324279785156
2	1183	430.7196350097656	4136.9462890625	2505.990966796875	2632.784423828125	2373.472900390625	2751.565673828125	2834.1962890625	2136.89404296875	1262.55029296875	7017.51904296875	5800.8681640625	4398.46630859375	1510.187744140625	2969.51416015625	1269.64404296875	6482.6767578125	1632.83056640625	902.5867919921875	1352.074462890625	4341.41650390625	2005.7816162109375	1553.95068359375	3427.205322265625	4099.18017578125	3287.218505859375	3521.1103515625	3759.827392578125	3784.483154296875	1398.5333251953125	5338.2666015625	7023.29443359375	2600.3525390625	4715.8115234375	4059.9619140625	4987.30078125	3356.770751953125	4533.2919921875	1037.4326171875	2750.5869140625	3236.4736328125	3217.090087890625	3248.28857421875	1445.56201171875	1481.7850341796875	920.5339965820312	2158.58740234375	1823.5633544921875	605.4017944335938	901.7091064453125	1393.738525390625	3042.903564453125	1464.9102783203125	2356.113037109375	1259.304443359375	394.5907897949219	697.6436767578125	984.1057739257812	703.96533203125	1073.4559326171875	2622.12060546875	4901.9912109375	1916.371337890625	1070.00439453125	837.1983642578125	974.5315551757812	3119.966064453125	3413.9150390625	4717.10693359375	2263.58056640625	6370.80810546875	5021.39013671875	1576.9407958984375	1450.3155517578125	3513.440673828125	3055.094970703125	1808.9027099609375	3009.156005859375	1996.365966796875	728.051025390625	3855.69482421875	3727.559814453125	3089.130615234375	3728.6171875	3088.518310546875	706.9279174804688	2422.439208984375	743.6611938476562	1058.572998046875	662.2947998046875	8143.14208984375	5700.8779296875	2418.677978515625	2928.837890625	2533.852294921875	1944.1251220703125	656.3399658203125	617.2604370117188	1309.542724609375	548.4548950195312	1316.8125	4556.51806640625	2673.77685546875	1927.486083984375	1152.110595703125	384.6416320800781	4212.33203125	3559.048583984375
3	473	2169.078857421875	16662.638671875	8423.3984375	10980.984375	8510.1181640625	13318.9970703125	9541.4873046875	8551.15234375	4465.4208984375	33010.9453125	27359.759765625	16608.763671875	6313.5146484375	10943.1962890625	7015.83203125	17451.244140625	5788.876953125	3174.127685546875	3690.523193359375	11301.958984375	6928.904296875	6414.12890625	14989.712890625	13080.8291015625	10848.1240234375	11197.4990234375	11820.595703125	11688.8251953125	6133.4345703125	12545.8857421875	12644.23046875	10503.482421875	12518.86328125	15991.794921875	16912.296875	15102.1337890625	10766.3623046875	3160.21044921875	14776.697265625	8161.77734375	14363.3505859375	16629.53515625	2988.335205078125	1939.681396484375	3030.232666015625	7953.81591796875	2773.299560546875	3790.14599609375	2840.256103515625	9237.283203125	10839.6318359375	6268.19482421875	7529.8291015625	3849.766357421875	1964.6051025390625	3385.983642578125	3003.7880859375	2926.09716796875	4392.0751953125	14251.2158203125	22480.041015625	6931.828125	5513.59228515625	4696.8857421875	6215.427734375	14200.466796875	18647.525390625	31803.701171875	9979.8994140625	15158.3662109375	10696.5478515625	7886.6748046875	8899.96484375	12739.0	14173.4765625	7133.18994140625	12932.37890625	11829.7255859375	3753.053955078125	16372.2587890625	19848.890625	10377.7978515625	12631.6103515625	9996.2470703125	3962.341552734375	7922.88818359375	2922.849365234375	6692.9658203125	4242.6416015625	23173.15234375	16535.8828125	8480.3447265625	17207.453125	9175.0322265625	15645.439453125	4080.69873046875	3095.0234375	5971.4326171875	4295.2470703125	3718.63134765625	19849.515625	7945.90478515625	6491.0068359375	4438.111328125	1594.198486328125	22419.869140625	15977.9892578125
4	911	282.72894287109375	1581.52197265625	846.5933227539062	1125.8006591796875	854.6337890625	1106.9476318359375	961.2373046875	749.5099487304688	761.8665161132812	2959.356201171875	2288.4697265625	1414.86767578125	807.1293334960938	965.4065551757812	456.8360595703125	2265.9833984375	695.890869140625	369.46514892578125	461.21380615234375	1636.45556640625	1176.10986328125	457.5935974121094	1313.001220703125	1683.7872314453125	1455.4547119140625	1531.3968505859375	1561.8580322265625	1572.5157470703125	446.7624816894531	1476.9287109375	1622.047119140625	694.7420043945312	1663.1871337890625	1865.083740234375	1184.2520751953125	1169.958984375	1181.6102294921875	364.9378356933594	1118.9677734375	812.304931640625	1188.7117919921875	1202.712646484375	491.0989990234375	501.2608642578125	305.6217956542969	672.477783203125	1221.07275390625	492.13397216796875	309.09478759765625	1100.013671875	1055.4217529296875	503.6435546875	825.6522216796875	408.9266357421875	162.6665802001953	223.17349243164062	316.2879638671875	244.59706115722656	558.6610717773438	955.1663818359375	1499.6148681640625	966.2774658203125	517.5668334960938	419.7433166503906	514.4974975585938	1282.9268798828125	1282.7139892578125	2112.05419921875	571.428466796875	2055.719482421875	903.690185546875	631.009521484375	612.2575073242188	1164.51416015625	1048.6768798828125	775.5711669921875	1018.9395141601562	743.9943237304688	337.3190612792969	1317.595458984375	1589.1363525390625	815.1192016601562	930.4999389648438	1196.9588623046875	376.0377197265625	1366.4052734375	291.8596496582031	200.97019958496094	423.3880920410156	2709.438720703125	1769.045166015625	618.5506591796875	1207.293212890625	1749.23193359375	1249.8580322265625	401.3444519042969	317.6119384765625	565.697265625	402.68023681640625	458.7097473144531	1531.5052490234375	4022.193603515625	628.3987426757812	457.70648193359375	181.92611694335938	2125.582763671875	1454.4927978515625
5	502	573.9983520507812	2590.664794921875	7646.92626953125	2911.472412109375	7934.21923828125	15121.5029296875	9468.55859375	3939.95751953125	503.240234375	7773.77783203125	6277.22705078125	6605.748046875	1264.825927734375	4247.892578125	3233.664794921875	2641.374755859375	601.083984375	641.9564208984375	501.0256652832031	1230.9481201171875	876.0562133789062	2759.404052734375	16070.048828125	2766.608154296875	1880.6812744140625	1718.1971435546875	2104.49267578125	1818.7779541015625	2681.823486328125	2359.318603515625	2973.53369140625	4086.684814453125	1400.9105224609375	3146.505615234375	2387.411865234375	5450.74658203125	1865.6875	462.4200439453125	18538.814453125	837.1304321289062	5139.34912109375	20613.794921875	281.55865478515625	232.70562744140625	1024.331298828125	7807.83837890625	1023.1095581054688	608.0897216796875	1004.8177490234375	11590.166015625	2209.320068359375	2759.191162109375	1195.41748046875	3344.491455078125	3591.517578125	851.4149169921875	1521.6029052734375	463.6482238769531	1144.9912109375	5965.45458984375	3994.462890625	1702.01171875	2152.865478515625	2474.962890625	2484.781005859375	1602.052734375	4491.75146484375	9448.1669921875	4590.9755859375	3654.9326171875	2892.742919921875	3131.12060546875	3022.92236328125	3925.748046875	4060.884765625	1262.34716796875	14868.8662109375	14994.3603515625	4299.3876953125	4863.716796875	5351.58544921875	11287.720703125	12787.693359375	2006.5091552734375	1616.90673828125	882.4728393554688	2524.75732421875	428.75726318359375	5145.9658203125	3305.15234375	10039.7587890625	9600.552734375	7936.71240234375	1241.768798828125	1499.39892578125	4968.36376953125	3402.355224609375	6067.466796875	5683.78076171875	798.2389526367188	2539.857421875	1295.8861083984375	6266.6494140625	3957.05615234375	1505.34765625	4062.44921875	17105.64453125
6	417	173.3219451904297	1467.8709716796875	789.1018676757812	11987.41015625	768.6779174804688	1065.6767578125	882.9484252929688	5385.822265625	250.581298828125	4264.4033203125	2742.593505859375	22359.611328125	1170.08056640625	6738.95751953125	3652.966796875	1525.4893798828125	408.81207275390625	306.19378662109375	268.0331726074219	808.07958984375	424.7064514160156	3745.049072265625	1391.1173095703125	1286.680419921875	954.6887817382812	1015.6491088867188	1169.3487548828125	1156.0885009765625	2817.85693359375	1401.8758544921875	1270.770263671875	5626.2138671875	865.732666015625	2332.75341796875	2245.5126953125	19897.611328125	1211.976806640625	204.96926879882812	1928.8570556640625	456.9108581542969	8223.0693359375	1407.95556640625	203.87530517578125	120.2362060546875	1712.8675537109375	702.265380859375	353.424072265625	279.8551940917969	1638.0338134765625	685.4877319335938	1043.9000244140625	3600.227294921875	629.9927978515625	330.56634521484375	162.34652709960938	144.8263702392578	142.8946075439453	274.81427001953125	947.5964965820312	7069.43017578125	2374.71630859375	547.7919921875	3291.620361328125	2414.758056640625	3497.137451171875	676.7577514648438	2147.099365234375	4004.78369140625	13018.92578125	1092.345458984375	1445.30126953125	694.392822265625	647.9395751953125	1323.73828125	1310.0758056640625	903.7850341796875	1101.3116455078125	1405.8878173828125	494.94921875	1507.04248046875	1648.25634765625	998.0165405273438	1196.761474609375	1528.7650146484375	2098.88232421875	387.7503356933594	261.0464782714844	176.90235900878906	520.8045654296875	1726.8677978515625	2112.82177734375	789.5555419921875	21038.484375	629.9440307617188	1255.2061767578125	503.5972595214844	244.6949005126953	540.61669921875	473.8343505859375	626.1904296875	2508.972900390625	438.5135803222656	624.414794921875	427.4340515136719	136.23814392089844	2417.613525390625	1332.4921875
7	685	230.2174072265625	1451.5888671875	802.495361328125	1265.2691650390625	778.5458374023438	934.4150390625	926.74169921875	984.6778564453125	2424.65869140625	2648.293701171875	1913.0145263671875	1414.3494873046875	2416.81201171875	1373.1766357421875	621.7514038085938	1535.5567626953125	2612.96484375	324.5831604003906	364.16693115234375	5940.53955078125	1878.0185546875	701.0248413085938	1098.3583984375	2040.9996337890625	1540.4664306640625	1612.8944091796875	1546.192626953125	1579.3038330078125	624.089599609375	1698.8748779296875	3010.9560546875	1138.4169921875	5979.333984375	2124.122802734375	2648.57666015625	1290.368896484375	1580.461181640625	281.845703125	1057.7401123046875	3451.487548828125	1747.9664306640625	933.5249633789062	1933.3463134765625	793.5969848632812	408.64111328125	630.0112915039062	466.0892639160156	466.33917236328125	401.6742858886719	1053.0474853515625	909.5503540039062	699.84033203125	691.1465454101562	389.1940002441406	144.2642364501953	826.64111328125	416.079345703125	177.17201232910156	928.5305786132812	1269.3411865234375	3069.199462890625	1327.77587890625	760.9216918945312	588.4085693359375	688.87109375	4191.58544921875	2162.995849609375	2279.357666015625	605.256591796875	3338.438232421875	669.634765625	466.79547119140625	461.0162353515625	833.0651245117188	802.5882568359375	897.3766479492188	829.3292236328125	751.8894653320312	338.7554931640625	1083.5865478515625	1342.448486328125	687.3487548828125	789.5942993164062	1663.7271728515625	431.08160400390625	1749.3843994140625	301.2703552246094	699.3964233398438	464.7853088378906	1975.505615234375	2053.7216796875	595.1439819335938	1301.7745361328125	820.0668334960938	1422.7567138671875	438.796630859375	253.5750274658203	506.81500244140625	441.8529357910156	766.2781982421875	3054.8251953125	1088.7783203125	645.0873413085938	488.22943115234375	186.29803466796875	2036.4041748046875	1200.39990234375
8	789	947.6648559570312	3874.116943359375	2185.21826171875	2023.4068603515625	2093.75146484375	2543.376220703125	2421.011474609375	1964.79931640625	487.8238830566406	6315.0146484375	6211.21826171875	4174.83642578125	767.2901611328125	2450.713134765625	1257.28955078125	7135.884765625	731.4243774414062	1780.950439453125	1328.767822265625	1625.739990234375	860.33154296875	1474.43115234375	3646.43505859375	2253.406494140625	1733.3558349609375	1824.4697265625	2081.467529296875	2043.0045166015625	1320.950927734375	2955.877685546875	2873.40380859375	2363.893798828125	1794.614013671875	2555.80517578125	3549.86474609375	3448.57861328125	2589.21630859375	1062.049072265625	2708.3974609375	1383.524658203125	2783.371826171875	3236.35205078125	458.84564208984375	361.8181457519531	689.324951171875	1765.924560546875	1476.2911376953125	463.7607727050781	700.6640625	1267.14697265625	6659.72509765625	1343.0352783203125	2278.49560546875	941.66845703125	578.3556518554688	362.9957275390625	446.9500427246094	561.7628784179688	886.2218627929688	2631.015625	3767.747314453125	1162.651123046875	934.736572265625	749.2706909179688	1014.3278198242188	1475.8477783203125	2499.653076171875	4853.02001953125	2677.5439453125	2539.10205078125	14473.869140625	4722.5400390625	4004.350341796875	9428.720703125	7951.73974609375	1487.2716064453125	3221.711181640625	2185.368896484375	735.6903686523438	10453.888671875	10010.9619140625	3116.32373046875	3977.62646484375	1715.4813232421875	655.6677856445312	824.8792114257812	582.9885864257812	362.4035949707031	666.0637817382812	8756.7099609375	5018.97314453125	2219.443603515625	2972.5859375	1497.79296875	1347.073974609375	654.0413208007812	726.4397583007812	1478.236572265625	565.4636840820312	705.6375732421875	3022.7001953125	1332.4942626953125	1505.2449951171875	836.8170166015625	273.0671691894531	3580.871826171875	3602.205810546875
9	2845	161.90797424316406	1220.6533203125	649.5844116210938	705.8872680664062	631.2791137695312	819.1884155273438	722.1101684570312	791.6398315429688	252.06558227539062	1672.49267578125	2008.3084716796875	1133.3935546875	390.7572937011719	985.6820678710938	500.2533874511719	1698.0670166015625	315.0555419921875	220.4374237060547	322.5797424316406	765.643798828125	406.4656677246094	557.514892578125	1038.2744140625	1015.74658203125	798.6525268554688	845.5418090820312	885.896484375	904.8713989257812	506.3836975097656	971.2671508789062	832.6725463867188	800.7578735351562	839.696044921875	969.0459594726562	1029.121337890625	905.8934326171875	841.1661987304688	255.14404296875	893.2273559570312	460.2097473144531	1181.5802001953125	971.7891845703125	221.47958374023438	160.29354858398438	301.5662841796875	523.72314453125	498.0307312011719	216.71043395996094	315.2474670410156	809.4545288085938	693.44140625	521.7164306640625	633.6080322265625	291.1761779785156	161.1446075439453	140.45948791503906	161.2434539794922	140.5474090576172	286.87548828125	984.2464599609375	1279.0806884765625	436.3741455078125	483.1479797363281	429.71282958984375	490.1297302246094	631.6555786132812	869.2195434570312	1429.8804931640625	559.3494262695312	839.711181640625	848.6130981445312	495.9477844238281	475.623046875	872.2716064453125	822.3802490234375	462.70794677734375	848.72021484375	686.7227783203125	256.4248352050781	993.1475830078125	1116.2235107421875	721.1849365234375	821.8082275390625	730.5418090820312	328.8502197265625	420.6219482421875	204.2607421875	133.1909637451172	305.98211669921875	2094.118896484375	1450.473388671875	569.9371948242188	970.6443481445312	477.820556640625	932.7647094726562	292.63775634765625	229.17787170410156	437.7362365722656	313.9967346191406	277.2547607421875	1171.377197265625	551.3161010742188	474.3262634277344	339.7019958496094	129.51869201660156	1104.4443359375	1070.2650146484375
