gene_cluster	n_genes		RNA Sequencing (RNA-Seq)
0	263	86.47464752197266	8171.9033203125
1	9845	32.81613540649414	104.21958923339844
2	1183	430.7196350097656	2702.4189453125
3	473	2169.078857421875	10247.3603515625
4	911	282.72894287109375	965.1624145507812
5	502	573.9983520507812	4376.07568359375
6	417	173.3219451904297	3078.5322265625
7	685	230.2174072265625	1345.532958984375
8	789	947.6648559570312	2348.696533203125
9	2845	161.90797424316406	689.228271484375
10	807	2403.881103515625	1235.6490478515625
11	209	129.2400360107422	635.5734252929688
12	1612	516.8589477539062	2408.293701171875
13	122	3765.435302734375	54353.96484375
14	347	132.5701141357422	1642.907958984375
