gene_cluster	n_genes	flight_mean	ground_or_control_mean	flight_minus_ground_or_control
0	263	7665.90087890625	9646.4931640625	-1980.59228515625
1	9845	134.5964813232422	123.19473266601562	11.401748657226562
2	1183	3506.53564453125	3341.46240234375	165.0732421875
3	473	12767.2861328125	12452.0849609375	315.201171875
4	911	1188.8594970703125	1102.7484130859375	86.111083984375
5	502	4825.96240234375	4748.0322265625	77.93017578125
6	417	3548.384033203125	4348.75146484375	-800.367431640625
7	685	1562.3929443359375	1560.765380859375	1.6275634765625
8	789	3299.84375	2863.3720703125	436.4716796875
9	2845	863.7927856445312	808.34375	55.44903564453125
10	807	1883.9659423828125	1229.13623046875	654.8297119140625
11	209	732.2689819335938	701.3048095703125	30.96417236328125
12	1612	3070.664306640625	2839.541748046875	231.12255859375
13	122	58521.75390625	54425.1171875	4096.63671875
14	347	2059.77490234375	2348.645263671875	-288.870361328125
