gene	gene_cluster	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
ENSMUSG00000029422	2	-7.5801687	2.87903	-2.3155074	-0.8249383	1.9859123	-0.46741283	-0.7164602	-0.43649638	0.7165874	-0.15261143
ENSMUSG00000076126	1	4.718309	-0.4653697	0.5683474	-0.37172806	0.12088426	-0.18480766	-0.13678353	-0.116218194	0.00303152	-0.15394035
ENSMUSG00000049036	1	4.595543	-0.6869532	0.23014541	-0.55889857	-0.03111728	-0.17228608	0.009071066	-0.046779137	-0.0050392402	-0.16921692
ENSMUSG00000029577	12	-7.700601	0.6819115	-0.20203443	1.0929316	-3.1871758	-0.31607383	0.7825419	0.6321226	1.0195669	-1.1949236
ENSMUSG00000040746	2	-6.431972	3.648757	-1.0504868	-0.20040071	-1.4240146	0.16771379	1.390266	0.10055624	-0.4221487	-1.6935954
ENSMUSG00000020590	8	-7.77982	-1.2786826	-1.8740216	2.2946901	3.2975926	0.6542935	-1.8083612	-1.8644426	1.164372	-0.2731691
ENSMUSG00000030263	7	-4.132496	6.0842004	-0.4660241	-3.0498698	1.7018358	-3.0072103	2.4889925	-0.1293457	1.533137	-2.986474
ENSMUSG00000038914	2	-8.630783	4.557562	-1.0868837	-1.0874331	-0.023791183	-0.756277	-1.737169	-0.44114152	1.298752	-1.6156448
ENSMUSG00000026878	2	-9.9900465	0.43816376	-1.30056	0.12696551	1.9705431	0.408627	-0.54807395	0.24323265	-0.46890044	1.0039009
ENSMUSG00000093241	1	4.717565	-0.4626574	0.56744206	-0.36600807	0.12125624	-0.18296884	-0.13983	-0.114512995	0.0077338233	-0.14940833
ENSMUSG00000030098	2	-6.7388544	1.1351417	1.7776245	0.27169222	3.9977674	3.0286422	-2.4635212	-0.7068663	3.0471401	1.2556347
ENSMUSG00000078908	7	-2.531624	3.0681198	-3.1156392	-0.60172534	-0.51453674	-2.9466288	-0.08200178	0.95160824	0.1744372	-0.68221414
ENSMUSG00000025056	1	4.658291	-0.48723978	0.6184171	-0.3396967	-0.021357514	-0.09589155	-0.062792614	-0.06728873	0.06324694	-0.11251653
ENSMUSG00000090129	1	4.6024623	-0.7086816	0.20097783	-0.40897742	0.21505198	-0.1857094	-0.13405901	-0.14192744	0.06538021	-0.15074372
ENSMUSG00000026407	5	-4.3158774	-1.2435815	1.0556356	-0.031941954	2.7347424	-0.6790617	0.38160324	0.060193457	-0.096642725	-0.55504656
ENSMUSG00000034239	1	4.755777	-0.41055486	0.5582915	-0.47888228	0.054553937	-0.028720183	-0.13540179	-0.13247637	-0.15430155	-0.08082889
ENSMUSG00000020818	9	1.0458504	0.38164866	-0.2594339	1.607797	-2.0453765	0.63399035	0.9892322	-0.5442221	-0.6138139	0.4137521
ENSMUSG00000060038	1	3.4302354	0.09477666	-0.12751837	-0.5567742	-1.0137635	0.8398564	0.88580185	-0.57682514	-0.27698818	0.2662641
ENSMUSG00000020029	3	-12.003455	-3.4399672	4.711013	5.444321	-0.013574269	1.244904	-2.6937594	-3.07795	-0.31671444	-3.0468693
ENSMUSG00000085958	1	4.658806	-0.3489117	0.5614853	-0.2986732	0.14581703	-0.19074763	-0.23300183	-0.12960798	0.13946131	-0.12760696
ENSMUSG00000024292	14	-1.2689658	0.15163173	2.3301818	4.0706015	0.6861549	1.69507	-1.8080556	3.6452725	3.7728307	-0.86820173
ENSMUSG00000111356	1	4.69759	-0.45483366	0.57054716	-0.3345764	0.097155616	-0.17538613	-0.16933665	-0.10930739	0.030571695	-0.15484323
ENSMUSG00000016831	2	-7.013827	2.0998542	-2.242333	-0.0040682037	0.45294884	-0.12005756	0.7585434	0.020214124	0.2585634	-1.2093704
ENSMUSG00000024791	1	3.5176044	1.4869752	0.1711896	-2.2369719	-0.055973325	2.2715397	-0.06527876	0.35242194	-1.7151002	-0.17830053
ENSMUSG00000028398	9	2.3735027	-0.7669217	0.23080769	0.9254749	2.3001401	0.82704884	3.142314	-1.0593563	-0.030182986	1.006541
ENSMUSG00000113338	1	4.7039065	-0.45367426	0.5473147	-0.3864481	0.13331419	-0.16410443	-0.13767825	-0.09938628	-0.031630263	-0.13390876
ENSMUSG00000022586	1	4.684959	-0.33549616	0.5572652	-0.37605447	0.1936186	-0.22012925	-0.095312305	-0.1392822	0.05434057	-0.074267454
ENSMUSG00000091034	1	4.67653	-0.35331935	0.57437915	-0.393745	-0.049345657	-0.17778152	-0.1570145	-0.084736966	-0.100435905	0.026381727
ENSMUSG00000056204	6	-2.9419289	-0.38654912	0.88922846	6.0208297	-0.67629814	-1.004689	0.42541668	0.0053644483	-2.689179	-2.2442012
ENSMUSG00000065472	1	4.71863	-0.46736112	0.5686554	-0.36984357	0.11959408	-0.18409269	-0.1362004	-0.11507246	0.002322438	-0.15425536
ENSMUSG00000056197	1	4.718785	-0.46501628	0.56700736	-0.37096515	0.122528195	-0.18482669	-0.13558501	-0.11310469	0.0022137268	-0.15214118
