id.accession	study_title	project_identifier	n_local_profiles	n_official_sample_matches	official_match_fraction	official_material_types	official_tissues	final_tissues	material_field_present	official_sample_count	official_study_url	official_api_url
OSD-100	Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data		12	12	1.0	left eye (12)	eye (12)	eye (12)	True	12	https://osdr.nasa.gov/bio/repo/data/studies/OSD-100	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-100
OSD-101	Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data	RR-1	12	12	1.0	Left gastrocnemius (12)	skeletal_muscle (12)	skeletal_muscle (12)	True	16	https://osdr.nasa.gov/bio/repo/data/studies/OSD-101	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-101
OSD-102	Rodent Research-1 (RR1) NASA Validation Flight: Mouse kidney transcriptomic, proteomic, and epigenomic data	RR-1	12	12	1.0	Left kidney (12)	kidney (12)	kidney (12)	True	16	https://osdr.nasa.gov/bio/repo/data/studies/OSD-102	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-102
OSD-103	Rodent Research-1 (RR1) NASA Validation Flight: Mouse quadriceps muscle transcriptomic, proteomic, and epigenomic data	RR-1	12	12	1.0	Left quadriceps femoris (12)	skeletal_muscle (12)	skeletal_muscle (12)	True	16	https://osdr.nasa.gov/bio/repo/data/studies/OSD-103	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-103
OSD-104	Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data	RR-1	12	12	1.0	Soleus-both sides (12)	skeletal_muscle (12)	skeletal_muscle (12)	True	12	https://osdr.nasa.gov/bio/repo/data/studies/OSD-104	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-104
OSD-105	Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterior muscle transcriptomic, proteomic, and epigenomic data	RR-1	12	12	1.0	Left tibialis anterior (12)	skeletal_muscle (12)	skeletal_muscle (12)	True	16	https://osdr.nasa.gov/bio/repo/data/studies/OSD-105	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-105
OSD-137	Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data	RR-3	18	18	1.0	Liver (18)	liver (18)	liver (18)	True	19	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
OSD-141	Validation of Methods to Assess the Immunoglobulin Gene Repertoire in Tissues Obtained from Mice on the International Space Station		5	5	1.0	Cells (1); Tissue (1); Whole Spleen (3)	spleen (5)	spleen (5)	True	5	https://osdr.nasa.gov/bio/repo/data/studies/OSD-141	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-141
OSD-161	Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data	RR-3	15	15	1.0	Adrenal gland (15)	adrenal_gland (15)	adrenal_gland (15)	True	33	https://osdr.nasa.gov/bio/repo/data/studies/OSD-161	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-161
OSD-162	Rodent Research-3-CASIS: Mouse eye transcriptomic and proteomic data	RR-3	15	15	1.0	eye (15)	eye (15)	eye (15)	True	21	https://osdr.nasa.gov/bio/repo/data/studies/OSD-162	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-162
