location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
FLT,1,0.15810561,0.15810561,3.027,3s,2.134
FLT,2,0.15539394,0.15539394,5.046,5s,2.019
FLT,3,0.15512916,0.15512916,7.087,7s,2.04
FLT,4,0.1550264,0.1550264,9.137,9s,2.049
FLT,5,0.15481876,0.15481876,11.167,11s,2.029
FLT,6,0.1547695,0.1547695,13.214,13s,2.046
FLT,7,0.15476343,0.15476343,15.234,15s,2.02
FLT,8,0.15468578,0.15468578,17.32,17s,2.085
FLT,9,0.15466924,0.15466924,19.431,19s,2.111
FLT,10,0.15474416,0.15466924,21.431,21s,1.999
FLT,11,0.15473711,0.15466924,23.436,23s,2.005
FLT,12,0.15456549,0.15456549,25.475,25s,2.038
FLT,13,0.15458914,0.15456549,27.553,27s,2.077
FLT,14,0.1546283,0.15456549,29.606,29s,2.053
FLT,15,0.15453085,0.15453085,31.673,31s,2.066
FLT,16,0.15457739,0.15453085,33.784,33s,2.11
FLT,17,0.154498,0.154498,35.862,35s,2.077
FLT,18,0.1545078,0.154498,37.936,37s,2.074
FLT,19,0.1545621,0.154498,39.98,39s,2.043
FLT,20,0.15447463,0.15447463,42.062,42s,2.082
FLT,21,0.15450072,0.15447463,44.116,44s,2.053
FLT,22,0.1546104,0.15447463,46.251,46s,2.134
FLT,23,0.15449052,0.15447463,48.315,48s,2.063
FLT,24,0.15458481,0.15447463,50.417,50s,2.102
FLT,25,0.1545221,0.15447463,52.519,52s,2.101
FLT,26,0.15443415,0.15443415,54.595,54s,2.075
FLT,27,0.15446566,0.15443415,56.666,56s,2.07
FLT,28,0.15442395,0.15442395,58.724,58s,2.058
FLT,29,0.15445962,0.15442395,60.821,1m 0s,2.095
FLT,30,0.15447281,0.15442395,62.904,1m 2s,2.082
