gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000029422	-0.6598097	-0.0010758514	-0.07563601	0.48406947	-0.14103773	-0.33667198	1.0732572	0.00047429092	-0.19757725	0.5423648	-0.4820803	0.062161766	1.284236	-0.5006919	1.1949003	0.29848707
ENSMUSG00000049036	-0.6511955	-0.040028173	-0.07990236	0.52737933	-0.15370363	-0.32759717	1.1474239	-0.024067957	-0.23056725	0.46018463	-0.46081915	0.01351954	1.274295	-0.5695867	1.1041026	0.44495988
ENSMUSG00000029577	-0.6540093	0.03077888	-0.06927126	0.5117261	-0.1324996	-0.35222164	1.0217812	-0.00069122517	-0.18588585	0.5542013	-0.49341282	0.053939097	1.3017148	-0.46705213	1.2077433	0.23646037
ENSMUSG00000040746	-0.65660924	-0.0054025687	-0.07438163	0.5090114	-0.14120059	-0.3414415	1.0790858	-0.008567854	-0.20777985	0.5292264	-0.48392892	0.041295625	1.2910492	-0.5093011	1.1701119	0.3089195
ENSMUSG00000020590	-0.65708536	0.022892637	-0.069144584	0.49632937	-0.13040245	-0.35148567	1.0161806	0.0021059718	-0.19011652	0.57637477	-0.49917072	0.05877436	1.296431	-0.45284933	1.2091095	0.2001
ENSMUSG00000030263	-0.65185493	-0.03778612	-0.07945007	0.52637154	-0.1526448	-0.32900453	1.1424717	-0.023059841	-0.22932738	0.46664336	-0.4632745	0.015196893	1.2762456	-0.5650042	1.1091034	0.43289125
ENSMUSG00000038914	-0.65894717	0.031937465	-0.068825185	0.47326612	-0.12760234	-0.34973806	0.9949819	0.011410028	-0.17853169	0.5962515	-0.5008399	0.07811131	1.2898175	-0.4301065	1.2339399	0.16535102
ENSMUSG00000026878	-0.6377279	0.13638331	-0.05465172	0.46552676	-0.09962384	-0.3708604	0.7867662	0.032879483	-0.09918	0.63596207	-0.5147723	0.104064435	1.2691051	-0.2637321	1.3039819	-0.03595249
ENSMUSG00000030098	-0.65109205	-0.03953154	-0.079758905	0.5283619	-0.15353392	-0.32804322	1.1466128	-0.024235364	-0.23056854	0.46042958	-0.46119317	0.013013922	1.2749252	-0.5691308	1.1040748	0.44367626
ENSMUSG00000078908	-0.65266705	-0.02994188	-0.07838704	0.5250631	-0.15045017	-0.33202264	1.1299734	-0.020402895	-0.22436604	0.47771937	-0.46733066	0.01995438	1.2808038	-0.55518705	1.1223612	0.41058484
ENSMUSG00000026407	-0.6241999	0.028461182	-0.05668433	0.6925354	-0.1278374	-0.38969988	1.0165147	-0.058768786	-0.23764247	0.4640134	-0.50768393	-0.084760785	1.3487115	-0.50404835	1.0509248	0.27528378
ENSMUSG00000020818	-0.6523155	-0.034812856	-0.07883879	0.52651757	-0.15140434	-0.33086646	1.1364826	-0.022239257	-0.22793293	0.47304812	-0.46599028	0.016321927	1.2787755	-0.55992234	1.1140394	0.4198147
ENSMUSG00000060038	-0.65181816	-0.037206605	-0.07897162	0.52881026	-0.15192814	-0.33052194	1.1398622	-0.023628958	-0.23009752	0.46934804	-0.46519727	0.013385218	1.2780945	-0.5627869	1.1084969	0.42568946
ENSMUSG00000020029	-0.63247657	0.10889238	-0.046702426	0.42498153	-0.08013991	-0.37522456	0.6827468	0.03417455	-0.11757723	0.70854247	-0.5431759	0.08147495	1.2145133	-0.1181522	1.2518913	-0.22386841
ENSMUSG00000024292	-0.60989565	0.19590847	-0.041934267	0.37310627	-0.06675383	-0.36830273	0.53110933	0.06411414	-0.020473987	0.6932554	-0.52397853	0.13701774	1.1569146	0.023755163	1.3223324	-0.26775086
ENSMUSG00000111356	-0.6512485	-0.040026966	-0.07988742	0.527265	-0.15365313	-0.32765058	1.1472543	-0.024027336	-0.23057508	0.46058327	-0.46096477	0.0135834105	1.2743498	-0.56936604	1.1042677	0.44428498
ENSMUSG00000016831	-0.6560601	0.0005212575	-0.072856985	0.5128664	-0.13874029	-0.34522486	1.0661652	-0.008347035	-0.206002	0.5371154	-0.4881711	0.040161327	1.2948519	-0.49906763	1.1739316	0.28643543
