location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
GC,1,0.15879015,0.15879015,2.342,2s,2.125
GC,2,0.15595615,0.15595615,4.445,4s,2.102
GC,3,0.15563321,0.15563321,6.577,6s,2.132
GC,4,0.15538882,0.15538882,8.721,8s,2.143
GC,5,0.1562069,0.15538882,10.786,10s,2.064
GC,6,0.15622457,0.15538882,12.888,12s,2.102
GC,7,0.15539777,0.15538882,14.982,14s,2.094
GC,8,0.15539208,0.15538882,17.071,17s,2.088
GC,9,0.15540661,0.15538882,19.183,19s,2.112
GC,10,0.15528298,0.15528298,21.278,21s,2.094
GC,11,0.15517991,0.15517991,23.419,23s,2.141
GC,12,0.15523727,0.15517991,25.478,25s,2.058
GC,13,0.15509702,0.15509702,27.549,27s,2.07
GC,14,0.15509636,0.15509636,29.675,29s,2.125
GC,15,0.155348,0.15509636,31.758,31s,2.083
GC,16,0.1551814,0.15509636,33.883,33s,2.124
GC,17,0.15511368,0.15509636,35.965,35s,2.081
GC,18,0.15512479,0.15509636,38.039,38s,2.074
GC,19,0.15506792,0.15506792,40.111,40s,2.071
GC,20,0.15508574,0.15506792,42.207,42s,2.096
GC,21,0.15505131,0.15505131,44.318,44s,2.11
GC,22,0.15509872,0.15505131,46.424,46s,2.106
GC,23,0.15506452,0.15505131,48.524,48s,2.099
GC,24,0.15514473,0.15505131,50.653,50s,2.128
GC,25,0.15500135,0.15500135,52.778,52s,2.123
GC,26,0.15502685,0.15500135,54.883,54s,2.105
GC,27,0.15502252,0.15500135,57.103,57s,2.219
GC,28,0.15510614,0.15500135,59.205,59s,2.101
GC,29,0.15499289,0.15499289,61.38,1m 1s,2.174
GC,30,0.15498392,0.15498392,63.428,1m 3s,2.048
