gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000029422	-0.16429685	-0.022192964	0.021245629	0
ENSMUSG00000049036	-0.3957861	-0.07552699	-0.018259399	0
ENSMUSG00000029577	-0.026730312	0.008716987	0.098874	0
ENSMUSG00000040746	-0.15228876	-0.029093884	0.008079803	0
ENSMUSG00000020590	-0.005904081	0.02118062	0.03352086	0
ENSMUSG00000030263	-0.37132007	-0.071594454	-0.019084314	0
ENSMUSG00000038914	0.057166673	-0.038070444	-0.00041792344	0
ENSMUSG00000026878	0.6062993	-0.12567154	0.12752813	0
ENSMUSG00000030098	-0.39468354	-0.07233209	-0.015751498	0
ENSMUSG00000078908	-0.33503532	-0.07079899	-0.0141930785	0
ENSMUSG00000026407	-0.27323276	0.65286535	0.5441025	0
ENSMUSG00000020818	-0.3458769	-0.0659513	-0.017644895	0
ENSMUSG00000060038	-0.36589187	-0.053626027	-0.011657077	0
ENSMUSG00000020029	0.8928315	0.027241558	0.10362131	0
ENSMUSG00000024292	1.3016514	-0.26077592	0.1651729	0
ENSMUSG00000111356	-0.39494953	-0.07539706	-0.018277016	0
ENSMUSG00000016831	-0.13533339	-0.02016443	0.014608235	0
ENSMUSG00000024791	-0.39467233	-0.07556285	-0.018201781	0
ENSMUSG00000028398	-0.27512476	-0.027613552	-0.027960842	0
ENSMUSG00000022586	-0.39571497	-0.07543212	-0.018232405	0
ENSMUSG00000056204	-0.116986975	-0.058434136	-0.0108067645	0
ENSMUSG00000031986	-0.33258972	-0.072710365	-0.011143758	0
ENSMUSG00000000244	-0.3926366	-0.074092336	-0.018063169	0
ENSMUSG00000027519	-0.16563703	-0.028677255	0.021788672	0
ENSMUSG00000061086	-0.39247712	-0.07405978	-0.018053034	0
ENSMUSG00000056290	-0.38010353	-0.07408343	-0.018360853	0
ENSMUSG00000068206	-0.32533193	-0.045246683	0.0034011414	0
ENSMUSG00000021208	-0.36618903	-0.06972786	-0.022615742	0
ENSMUSG00000024998	-0.21551928	-0.026055915	0.005658183	0
ENSMUSG00000047248	-0.29147688	-0.06396355	-0.013995441	0
ENSMUSG00000027981	-0.31377566	-0.071359485	-0.01368994	0
ENSMUSG00000039683	-0.39302462	-0.074197955	-0.016445752	0
ENSMUSG00000047117	-0.39573696	-0.07556272	-0.01824126	0
ENSMUSG00000030278	-0.3748417	-0.053385437	-0.01673865	0
ENSMUSG00000037419	-0.35196596	-0.06808251	-0.011979238	0
ENSMUSG00000022208	-0.39572588	-0.07543317	-0.018237174	0
ENSMUSG00000064823	-0.3934971	-0.07617412	-0.017918115	0
ENSMUSG00000095629	-0.39584285	-0.07559976	-0.018295981	0
ENSMUSG00000034829	-0.39581203	-0.07559143	-0.018314995	0
ENSMUSG00000029380	-0.34581253	-0.06577705	-0.030806482	0
ENSMUSG00000028047	-0.39169002	-0.07023983	-0.015010204	0
ENSMUSG00000039196	4.912819	1.5114199	-1.0712512	0
ENSMUSG00000032673	-0.24242595	-0.01534349	-0.05056557	0
ENSMUSG00000022773	-0.39245173	-0.074153304	-0.0176687	0
ENSMUSG00000078597	-0.39581943	-0.07560736	-0.018293466	0
ENSMUSG00000021494	-0.26061752	-0.057090607	-0.010085353	0
ENSMUSG00000050248	-0.38772655	-0.062462557	-0.009068765	0
ENSMUSG00000003752	-0.35760498	-0.06968645	-0.015306062	0
ENSMUSG00000037353	-0.29000002	-0.06645922	-0.013072853	0
ENSMUSG00000022096	-0.38990393	-0.06419448	-0.008602672	0
ENSMUSG00000021661	-0.34487867	-0.06226895	-0.012045306	0
ENSMUSG00000039620	-0.38696703	-0.07602247	-0.016757067	0
ENSMUSG00000033765	-0.39582682	-0.07560796	-0.01828929	0
ENSMUSG00000032584	-0.39066267	-0.07355706	-0.016326422	0
ENSMUSG00000072884	-0.38958755	-0.07482595	-0.018261839	0
ENSMUSG00000066896	-0.39580983	-0.07557455	-0.018256374	0
ENSMUSG00000032783	-0.3951737	-0.07555023	-0.018347861	0
ENSMUSG00000029093	-0.3939379	-0.07251849	-0.015918892	0
ENSMUSG00000030254	-0.38137645	-0.07444412	-0.01742901	0
ENSMUSG00000021090	-0.3953843	-0.075549856	-0.018359937	0
ENSMUSG00000055013	-0.28279164	-0.04784739	0.010946297	0
ENSMUSG00000038204	-0.38990238	-0.04348472	0.006559184	0
ENSMUSG00000020629	-0.108582124	-0.06690485	0.02163195	0
ENSMUSG00000030881	-0.33934957	-0.06438222	-0.019373506	0
ENSMUSG00000030662	0.058565807	0.10674849	0.13048121	0
ENSMUSG00000020570	-0.009503441	-0.03722613	0.043737326	0
ENSMUSG00000024401	-0.39450493	-0.07524644	-0.018361155	0
ENSMUSG00000029015	-0.39573863	-0.075591184	-0.018322218	0
ENSMUSG00000063779	-0.39580706	-0.07558767	-0.018321678	0
ENSMUSG00000074183	-0.39068195	-0.07532155	-0.019554827	0
ENSMUSG00000069939	-0.39574805	-0.07558124	-0.018339522	0
ENSMUSG00000025873	-0.0595037	-0.058656015	-0.0067516337	0
ENSMUSG00000034456	2.4864542	-0.18837886	0.09362831	0
ENSMUSG00000070817	-0.3958055	-0.075587146	-0.018322788	0
ENSMUSG00000024294	0.567507	-0.043025196	0.037573066	0
ENSMUSG00000035376	-0.14385429	-0.090536274	0.0064237164	0
ENSMUSG00000044252	0.5535335	0.1236639	-0.0080835465	0
ENSMUSG00000055917	-0.2765826	-0.049276542	-0.011480513	0
ENSMUSG00000068882	-0.04143259	-0.0004042852	0.02747562	0
ENSMUSG00000022685	-0.30822477	-0.074947536	-0.011930082	0
ENSMUSG00000036292	-0.19469482	-0.07996408	-0.014850296	0
ENSMUSG00000041202	-0.3951229	-0.074607976	-0.018313525	0
ENSMUSG00000024528	-0.3552531	-0.062120743	-0.0075876233	0
ENSMUSG00000029861	-0.39565957	-0.07546419	-0.018223707	0
ENSMUSG00000077221	-0.39527532	-0.075566664	-0.018446373	0
ENSMUSG00000070469	-0.39329916	-0.067638576	-0.0125935115	0
ENSMUSG00000115791	-0.39579993	-0.07558418	-0.018327042	0
ENSMUSG00000097665	-0.3957992	-0.07559456	-0.018311381	0
ENSMUSG00000046667	-0.32680196	-0.0698636	-0.01878643	0
ENSMUSG00000037169	-0.39200285	-0.07577958	-0.017725289	0
ENSMUSG00000049565	-0.39570805	-0.075324826	-0.018092157	0
ENSMUSG00000033862	-0.2851748	-0.061884176	-0.010337742	0
ENSMUSG00000021278	-0.39567542	-0.07563409	-0.018279484	0
ENSMUSG00000027971	-0.3958096	-0.075557664	-0.018273007	0
ENSMUSG00000024758	-0.028505122	-0.08117674	0.015588992	0
ENSMUSG00000044921	-0.3899516	-0.06940206	-0.013951276	0
ENSMUSG00000054387	-0.12663583	-0.063533574	-0.008532405	0
ENSMUSG00000062822	-0.24621621	-0.06954944	-0.014912688	0
ENSMUSG00000028013	-0.05640068	-0.028142445	0.0027427168	0
ENSMUSG00000042846	-0.39508298	-0.074781485	-0.018114097	0
ENSMUSG00000025403	0.28321242	-0.09585646	0.04497351	0
ENSMUSG00000031831	-0.39570194	-0.07554408	-0.018243836	0
ENSMUSG00000030739	-0.2529307	-0.02385311	0.07130486	0
ENSMUSG00000037235	0.13778897	-0.013856797	-0.026988382	0
ENSMUSG00000021559	0.21143459	-0.12609507	0.060740147	0
ENSMUSG00000049252	-0.39575058	-0.07557474	-0.01835467	0
ENSMUSG00000035805	-0.39584285	-0.07559976	-0.018295981	0
ENSMUSG00000035262	-0.3955567	-0.07558426	-0.018361945	0
ENSMUSG00000046791	-0.36823675	-0.06898195	-0.018657943	0
ENSMUSG00000022451	0.016678367	-0.052392393	-0.05505091	0
ENSMUSG00000041852	0.19693097	0.032415256	0.035950445	0
ENSMUSG00000024776	-0.38456693	-0.07494363	-0.01777176	0
ENSMUSG00000056035	1.4781954	0.21630855	-0.22965348	0
ENSMUSG00000020000	-0.3957464	-0.07530224	-0.018063053	0
ENSMUSG00000037946	-0.38103074	-0.06876481	-0.0153177865	0
ENSMUSG00000073982	-0.33469993	-0.06561148	-0.011690439	0
ENSMUSG00000024393	0.069759525	-0.076690875	0.06313363	0
ENSMUSG00000025433	-0.39551374	-0.075582825	-0.018386561	0
ENSMUSG00000070972	-0.22351365	-0.06817131	-0.003551568	0
ENSMUSG00000036139	-0.39580125	-0.075431146	-0.018165596	0
ENSMUSG00000003573	-0.3867119	-0.073301725	-0.017026128	0
ENSMUSG00000019920	-0.15013945	0.08130885	0.099296235	0
ENSMUSG00000027495	0.19125326	-0.057563804	-0.013661342	0
ENSMUSG00000087424	-0.38987362	-0.07399429	-0.018725455	0
ENSMUSG00000034543	-0.2699816	-0.06176591	-0.015970709	0
ENSMUSG00000071753	-0.3949208	-0.074729264	-0.017380504	0
ENSMUSG00000020919	-0.046402838	-0.03886085	0.07327104	0
ENSMUSG00000036214	-0.31120643	-0.045436714	-0.010972237	0
ENSMUSG00000097368	-0.39414316	-0.073059	-0.016357621	0
ENSMUSG00000039230	-0.22106297	-0.060798228	-0.009093054	0
ENSMUSG00000035713	-0.39000243	-0.07391964	-0.018011803	0
ENSMUSG00000059995	-0.28343722	-0.06885629	-0.014098257	0
ENSMUSG00000033831	35.041706	3.0829024	-1.0692235	3
ENSMUSG00000029730	-0.32174203	-0.059038218	-0.015377581	0
ENSMUSG00000019841	-0.08783708	-0.059779804	0.0122975875	0
ENSMUSG00000040543	-0.39383605	-0.07394595	-0.016926356	0
ENSMUSG00000091537	-0.011626986	0.18041974	-0.0918204	0
ENSMUSG00000027550	-0.3498638	-0.07296369	-0.007736936	0
ENSMUSG00000028607	0.40932545	0.04006187	0.0027304504	0
ENSMUSG00000039210	-0.28924266	-0.06589921	-0.012299352	0
ENSMUSG00000032231	-0.25423497	0.017504215	0.029521123	0
ENSMUSG00000028165	-0.15954958	-0.01861255	-0.02412331	0
ENSMUSG00000075273	-0.33419952	-0.06340109	-0.015325948	0
ENSMUSG00000002496	-0.08878654	-0.02630354	0.043731812	0
ENSMUSG00000055692	-0.39345595	-0.07442808	-0.018057331	0
ENSMUSG00000030983	0.13449718	0.025253786	-0.027463906	0
ENSMUSG00000078640	-0.395697	-0.07541036	-0.018188655	0
ENSMUSG00000046675	-0.36173388	-0.06643103	-0.020428307	0
ENSMUSG00000051811	-0.39451492	-0.07419536	-0.017470373	0
ENSMUSG00000028651	-0.32517216	-0.05724595	-0.0055018677	0
ENSMUSG00000024425	0.7671523	0.0021521922	-0.084105104	0
ENSMUSG00000046613	-0.39581954	-0.07559131	-0.018310376	0
ENSMUSG00000070501	-0.393078	-0.075170524	-0.018185418	0
ENSMUSG00000091996	-0.39492825	-0.075286865	-0.018428609	0
ENSMUSG00000042216	-0.38258862	-0.07678989	-0.017525781	0
ENSMUSG00000079407	-0.39579538	-0.07559249	-0.018317021	0
ENSMUSG00000021823	-0.12593989	-0.04479009	0.022196883	0
ENSMUSG00000033808	-0.30977663	-0.038098436	-0.00028485968	0
ENSMUSG00000051098	-0.35559237	-0.07733169	-0.014628743	0
ENSMUSG00000056870	-0.38841587	-0.066687696	-0.013577747	0
ENSMUSG00000030093	-0.3958122	-0.07558558	-0.018258505	0
ENSMUSG00000000194	-0.22941752	-0.058326427	-0.0034276047	0
ENSMUSG00000043207	-0.00969461	-0.09004082	0.009023765	0
ENSMUSG00000005667	-0.39238924	-0.0744061	-0.017473081	0
ENSMUSG00000073830	-0.36886784	-0.07612838	-0.017833173	0
ENSMUSG00000039703	0.101206645	-0.008582524	0.02205171	0
ENSMUSG00000031068	0.11244959	0.11365773	0.0060484037	0
ENSMUSG00000051154	0.049916934	0.081007324	-0.081308074	0
ENSMUSG00000025487	-0.14361943	-0.015950972	-0.0006177001	0
ENSMUSG00000005354	0.39147717	0.20564988	0.105204776	0
ENSMUSG00000025892	-0.39216098	-0.07488188	-0.018488562	0
ENSMUSG00000074071	-0.23657912	-0.07859755	-0.015810356	0
ENSMUSG00000057182	-0.39016965	-0.0719863	-0.020990178	0
ENSMUSG00000020390	0.043595213	0.35598996	0.2236706	0
ENSMUSG00000031283	-0.38788822	-0.068693526	-0.017240683	0
ENSMUSG00000038429	-0.04495161	-0.0155622875	0.018772632	0
ENSMUSG00000034810	-0.38534924	-0.060981795	-0.012649223	0
ENSMUSG00000018733	-0.32063928	-0.066573046	-0.0145305395	0
ENSMUSG00000022037	6.885509	0.12668356	0.3329487	0
ENSMUSG00000085260	-0.39537346	-0.07409559	-0.017273339	0
ENSMUSG00000029610	-0.34367135	-0.028233666	0.01503913	0
ENSMUSG00000042185	-0.30431965	-0.06693333	-0.011932351	0
ENSMUSG00000006021	-0.3308305	-0.06451708	-0.0133969905	0
ENSMUSG00000046408	-0.3956871	-0.07556477	-0.018248692	0
ENSMUSG00000020599	-0.39046517	-0.075141534	-0.01891488	0
ENSMUSG00000030775	-0.39402798	-0.075422265	-0.018742675	0
ENSMUSG00000015149	-0.14948554	-0.019355947	0.029470116	0
ENSMUSG00000046434	-0.049095724	0.03269409	0.046477135	0
ENSMUSG00000031377	-0.3936678	-0.07434438	-0.017763538	0
ENSMUSG00000031774	-0.28609684	-0.06963346	-0.0016022233	0
ENSMUSG00000050627	-0.039297033	-0.01784147	0.025973145	0
ENSMUSG00000031878	-0.2482173	-0.038695075	-0.017037792	0
ENSMUSG00000030322	-0.38526818	-0.07363718	-0.01821925	0
ENSMUSG00000020696	-0.25312656	-0.067122586	-0.013534523	0
ENSMUSG00000097162	-0.3619138	-0.06624836	-0.024130367	0
ENSMUSG00000045201	-0.39557946	-0.0748527	-0.017720655	0
ENSMUSG00000059479	-0.39287066	-0.07325647	-0.017091822	0
ENSMUSG00000077239	-0.39508834	-0.07564131	-0.018416965	0
