gene_id	gmm	hdbscan	spectral	consensus	gene_symbol
ENSMUSG00000029422	11	0	0	3	Rsrc2
ENSMUSG00000049036	7	0	17	0	Tmem121
ENSMUSG00000029577	11	0	8	4	Ube3b
ENSMUSG00000040746	11	0	3	3	Rnf167
ENSMUSG00000020590	2	0	8	4	Snx13
ENSMUSG00000030263	0	0	9	1	Irag2
ENSMUSG00000038914	2	0	8	4	Dido1
ENSMUSG00000026878	15	0	4	5	Rab14
ENSMUSG00000030098	7	0	24	0	Grip2
ENSMUSG00000078908	0	0	1	1	Mon1b
ENSMUSG00000026407	5	0	22	12	Cacna1s
ENSMUSG00000020818	0	0	1	1	Mfsd11
ENSMUSG00000060038	0	0	9	1	Dhps
ENSMUSG00000020029	10	0	21	6	Nudt4
ENSMUSG00000024292	16	0	21	6	Cyp4f14
ENSMUSG00000111356	7	0	10	0	Rpl32l
ENSMUSG00000016831	11	0	0	3	Tox4
ENSMUSG00000024791	7	0	16	0	Cdca5
ENSMUSG00000028398	18	0	2	2	Dmac1
ENSMUSG00000022586	7	0	17	0	Ly6i
ENSMUSG00000056204	11	0	0	3	Pgpep1
ENSMUSG00000031986	0	0	1	1	Sprtn
ENSMUSG00000000244	7	0	24	0	Tspan32
ENSMUSG00000027519	11	0	3	3	Rab22a
ENSMUSG00000061086	7	0	24	0	Myl4
ENSMUSG00000056290	0	0	19	1	Ms4a4b
ENSMUSG00000068206	0	0	6	1	Pick1
ENSMUSG00000021208	0	0	1	1	Ifi27l2b
ENSMUSG00000024998	18	0	3	2	Plce1
ENSMUSG00000047248	0	0	6	1	C2cd3
ENSMUSG00000027981	0	0	6	1	Rnpc3
ENSMUSG00000039683	7	0	24	0	Sdk1
ENSMUSG00000047117	7	0	16	0	Ankdd1b
ENSMUSG00000030278	18	0	11	2	Cidec
ENSMUSG00000037419	0	0	1	1	Endod1
ENSMUSG00000022208	7	0	18	0	Jph4
ENSMUSG00000064823	7	0	16	0	Snord82
ENSMUSG00000095629	7	0	12	0	Vmn1r89
ENSMUSG00000034829	7	0	18	0	Nxnl1
ENSMUSG00000029380	0	0	1	1	Cxcl1
ENSMUSG00000028047	7	0	5	0	Thbs3
ENSMUSG00000039196	9	0	15	10	Orm1
ENSMUSG00000032673	18	0	2	2	Prorsd1
ENSMUSG00000022773	7	0	24	0	Ypel1
ENSMUSG00000078597	7	0	13	0	Cyp4a12b
ENSMUSG00000021494	18	0	2	2	Ddx41
ENSMUSG00000050248	0	0	20	1	Evc2
ENSMUSG00000003752	0	0	1	1	Itpkc
ENSMUSG00000037353	0	0	6	1	Letmd1
ENSMUSG00000022096	0	0	20	1	Hr
ENSMUSG00000021661	0	0	1	1	Ankra2
ENSMUSG00000039620	7	0	5	0	Trmt9b
ENSMUSG00000033765	0	0	9	1	Calm4
ENSMUSG00000032584	7	0	23	8	Mst1r
ENSMUSG00000072884	7	0	5	0	Gm10433
ENSMUSG00000066896	7	0	13	0	Or7e178
ENSMUSG00000032783	7	0	16	0	Troap
ENSMUSG00000029093	7	0	23	8	Sorcs2
ENSMUSG00000030254	0	0	19	1	Rad18
ENSMUSG00000021090	7	0	7	0	Lrrc9
ENSMUSG00000055013	18	0	2	2	Agap1
ENSMUSG00000038204	0	0	20	1	Asb10
ENSMUSG00000020629	11	0	8	4	Adi1
ENSMUSG00000030881	0	0	1	1	Arfip2
ENSMUSG00000030662	2	0	8	4	Ipo5
ENSMUSG00000020570	2	0	8	4	Sypl1
ENSMUSG00000024401	7	0	10	0	Tnf
ENSMUSG00000029015	7	0	7	0	Slc26a5
ENSMUSG00000063779	7	0	18	0	Chil4
ENSMUSG00000074183	7	0	24	0	Gsta1
ENSMUSG00000069939	7	0	13	0	
ENSMUSG00000025873	2	0	8	4	Faf2
ENSMUSG00000034456	16	0	21	6	Uroc1
ENSMUSG00000070817	7	0	12	0	Vmn1r85
ENSMUSG00000024294	15	0	4	5	Mib1
ENSMUSG00000035376	11	0	0	3	Hacd2
ENSMUSG00000044252	15	0	4	5	Osbpl1a
ENSMUSG00000055917	18	0	2	2	Zfp277
ENSMUSG00000068882	2	0	8	4	Ssb
ENSMUSG00000022685	0	0	6	1	Parn
ENSMUSG00000036292	18	0	3	2	Gramd1c
ENSMUSG00000041202	7	0	16	0	Pla2g2d
ENSMUSG00000024528	0	0	1	1	Srfbp1
ENSMUSG00000029861	7	0	18	0	Fam131b
ENSMUSG00000077221	7	0	10	0	Snord67
ENSMUSG00000070469	0	0	20	1	Adamtsl3
ENSMUSG00000115791	7	0	12	0	Vmn1r217
ENSMUSG00000097665	7	0	17	0	Gm16853
ENSMUSG00000046667	0	0	6	1	Rbm12b1
ENSMUSG00000037169	7	0	5	0	Mycn
ENSMUSG00000049565	7	0	18	0	Aknad1
ENSMUSG00000033862	18	0	2	2	Cdk10
ENSMUSG00000021278	7	0	7	0	Amn
ENSMUSG00000027971	7	0	13	0	Ndst4
ENSMUSG00000024758	11	0	8	4	Rtn3
ENSMUSG00000044921	7	0	5	0	Rassf9
ENSMUSG00000054387	11	0	0	3	Mdm4
ENSMUSG00000062822	18	0	2	2	4833420G17Rik
ENSMUSG00000028013	11	0	8	4	Ppa2
ENSMUSG00000042846	7	0	10	0	Lrrtm3
ENSMUSG00000025403	15	0	4	5	Shmt2
ENSMUSG00000031831	7	0	7	0	Dnaaf1
ENSMUSG00000030739	18	0	2	2	Myh14
ENSMUSG00000037235	2	0	4	7	Mxd4
ENSMUSG00000021559	15	0	4	5	Dapk1
ENSMUSG00000049252	7	0	17	0	Lrp1b
ENSMUSG00000035805	7	0	13	0	Mlc1
ENSMUSG00000035262	7	0	7	0	Amh
ENSMUSG00000046791	0	0	9	1	Riox1
ENSMUSG00000022451	2	0	8	4	Twf1
ENSMUSG00000041852	15	0	4	5	Tcf20
ENSMUSG00000024776	0	0	19	1	Stambpl1
ENSMUSG00000056035	10	0	21	6	Cyp3a11
ENSMUSG00000020000	7	0	16	0	Moxd1
ENSMUSG00000037946	0	0	20	1	Fgd3
ENSMUSG00000073982	0	0	1	1	Rhog
ENSMUSG00000024393	2	0	8	4	Prrc2a
ENSMUSG00000025433	7	0	7	0	Crisp3
ENSMUSG00000070972	18	0	3	2	Dnajc25
ENSMUSG00000036139	7	0	17	0	Hoxc9
ENSMUSG00000003573	7	0	5	0	Homer3
ENSMUSG00000019920	11	0	0	3	Lims1
ENSMUSG00000027495	2	0	4	7	Fam210b
ENSMUSG00000087424	7	0	5	0	5730405O15Rik
ENSMUSG00000034543	18	0	2	2	Morc2a
ENSMUSG00000071753	7	0	7	0	Cdr1os
ENSMUSG00000020919	2	0	8	4	Stat5b
ENSMUSG00000036214	0	0	6	1	Polr1has
ENSMUSG00000097368	7	0	24	0	Gm10390
ENSMUSG00000039230	18	0	3	2	Tbcd
ENSMUSG00000035713	7	0	5	0	Usp35
ENSMUSG00000059995	0	0	6	1	Atxn7l3
ENSMUSG00000033831	6	0	15	10	Fgb
ENSMUSG00000029730	0	0	6	1	Mcm7
ENSMUSG00000019841	11	0	0	3	Rev3l
ENSMUSG00000040543	7	0	23	8	Pitpnm3
ENSMUSG00000091537	2	0	8	4	Tma7|Tma7-ps
ENSMUSG00000027550	0	0	1	1	Lrrcc1
ENSMUSG00000028607	15	0	4	5	Cpt2
ENSMUSG00000039210	18	0	2	2	Gpatch2
ENSMUSG00000032231	18	0	3	2	Anxa2
ENSMUSG00000028165	11	0	0	3	Cisd2
ENSMUSG00000075273	0	0	1	1	Ift70b
ENSMUSG00000002496	11	0	0	3	Tsc2
ENSMUSG00000055692	7	0	10	0	Tmem191
ENSMUSG00000030983	2	0	4	7	Bccip
ENSMUSG00000078640	7	0	7	0	Gm11627
ENSMUSG00000046675	0	0	9	1	Lyset
ENSMUSG00000051811	7	0	16	0	Cox6b2
ENSMUSG00000028651	0	0	6	1	Ppie
ENSMUSG00000024425	3	0	21	9	Ndfip1
ENSMUSG00000046613	7	0	13	0	Vwa5b2
ENSMUSG00000070501	7	0	24	0	Ifi214
ENSMUSG00000091996	7	0	16	0	Smim35
ENSMUSG00000042216	0	0	9	1	Sgsm1
ENSMUSG00000079407	7	0	13	0	1700110I01Rik|Gm46464|Gm46465
ENSMUSG00000021823	11	0	0	3	Vcl
ENSMUSG00000033808	0	0	6	1	Tmem87a
ENSMUSG00000051098	0	0	1	1	Mblac2
ENSMUSG00000056870	7	0	19	0	Gulp1
ENSMUSG00000030093	7	0	13	0	Wnt7a
ENSMUSG00000000194	18	0	2	2	Gpr107
ENSMUSG00000043207	2	0	8	4	Zmpste24
ENSMUSG00000005667	7	0	5	0	Mthfd2
ENSMUSG00000073830	0	0	9	1	Mup14
ENSMUSG00000039703	2	0	8	4	Nploc4
ENSMUSG00000031068	2	0	4	7	Glrx3
ENSMUSG00000051154	2	0	8	4	Commd3
