location	cluster	gene_count	deg_count	deg_proportion	up_deg_count	down_deg_count	median_log2_fold_change
FLT	15	5	5	1.0	3	2	8.57654367109183
FLT	12	115	100	0.8695652173913043	85	7	5.84240424406914
FLT	14	58	24	0.41379310344827586	19	2	-0.310919853947584
FLT	8	324	36	0.1111111111111111	30	6	1.090889213853095
FLT	2	2843	137	0.0481885332395357	103	28	0.182265136632733
FLT	1	4034	179	0.0443728309370352	138	38	0.1483026700523915
FLT	6	394	13	0.03299492385786802	8	5	-0.2104841457297975
FLT	13	65	2	0.03076923076923077	1	1	-0.467736931858539
FLT	9	281	7	0.02491103202846975	4	3	-0.148043220763719
FLT	10	169	4	0.023668639053254437	3	1	-0.123620911874054
FLT	5	487	10	0.02053388090349076	5	5	0.13922755367876
FLT	7	340	6	0.01764705882352941	3	3	0.14992540150565298
FLT	3	1270	20	0.015748031496062992	9	10	0.141595116987768
FLT	0	5238	82	0.015654830087819777	26	56	-0.332371403978188
FLT	4	800	10	0.0125	4	6	0.166469202638169
FLT	11	130	1	0.007692307692307693	0	1	-0.23310578688761602
GC	12	164	121	0.7378048780487805	97	13	3.906505004624595
GC	11	242	114	0.47107438016528924	86	22	0.4219396650966925
GC	10	277	83	0.2996389891696751	74	7	0.720901633507367
GC	8	320	12	0.0375	7	5	-0.1317891197862615
GC	4	1624	52	0.03201970443349754	40	12	-0.12909582101135852
GC	2	2503	63	0.025169796244506593	44	18	-0.22185701366006
GC	1	3040	72	0.02368421052631579	36	36	-0.26875738116908254
GC	13	129	3	0.023255813953488372	1	2	-0.215468665302815
GC	9	319	6	0.018808777429467086	2	4	-0.245818683545265
GC	7	558	9	0.016129032258064516	5	4	0.14816468854369702
GC	5	1315	20	0.015209125475285171	7	12	0.139946417909072
GC	3	2236	33	0.014758497316636851	19	14	0.1859334578504575
GC	6	661	9	0.01361573373676248	2	7	-0.198716154354163
GC	0	3141	39	0.012416427889207259	21	18	0.152503459491656
GC	14	24	0	0.0	0	0	-0.3170033774981975
