location	cluster	gene_count	included	exclusion_reason	gene_list
FLT	0	5238	False	more_than_3000	
FLT	1	4034	False	more_than_3000	
FLT	2	2843	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_02.txt
FLT	3	1270	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_03.txt
FLT	4	800	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_04.txt
FLT	5	487	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_05.txt
FLT	6	394	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_06.txt
FLT	7	340	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_07.txt
FLT	8	324	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_08.txt
FLT	9	281	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_09.txt
FLT	10	169	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_10.txt
FLT	11	130	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_11.txt
FLT	12	115	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_12.txt
FLT	13	65	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_13.txt
FLT	14	58	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/FLT_cluster_14.txt
FLT	15	5	False	fewer_than_10	
GC	0	3141	False	more_than_3000	
GC	1	3040	False	more_than_3000	
GC	2	2503	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_02.txt
GC	3	2236	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_03.txt
GC	4	1624	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_04.txt
GC	5	1315	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_05.txt
GC	6	661	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_06.txt
GC	7	558	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_07.txt
GC	8	320	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_08.txt
GC	9	319	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_09.txt
GC	10	277	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_10.txt
GC	11	242	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_11.txt
GC	12	164	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_12.txt
GC	13	129	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_13.txt
GC	14	24	True		outputs/glare_paper_tms_liver_osd379/biological_analysis/metascape_gene_lists/GC_cluster_14.txt
