FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14
ENSMUSG00000028398,ENSMUSG00000029422,ENSMUSG00000029577,ENSMUSG00000026878,ENSMUSG00000020029,ENSMUSG00000037235,ENSMUSG00000032584,ENSMUSG00000024425,ENSMUSG00000039196,ENSMUSG00000030934,ENSMUSG00000026407,ENSMUSG00000060002,ENSMUSG00000034659
ENSMUSG00000024998,ENSMUSG00000040746,ENSMUSG00000020590,ENSMUSG00000024294,ENSMUSG00000024292,ENSMUSG00000027495,ENSMUSG00000029093,ENSMUSG00000025127,ENSMUSG00000033831,ENSMUSG00000009614,ENSMUSG00000023092,ENSMUSG00000090862,ENSMUSG00000003865
ENSMUSG00000030278,ENSMUSG00000016831,ENSMUSG00000038914,ENSMUSG00000044252,ENSMUSG00000034456,ENSMUSG00000030983,ENSMUSG00000040543,ENSMUSG00000005089,ENSMUSG00000022037,ENSMUSG00000022982,ENSMUSG00000030785,ENSMUSG00000041959,ENSMUSG00000050315
ENSMUSG00000032673,ENSMUSG00000056204,ENSMUSG00000020629,ENSMUSG00000025403,ENSMUSG00000056035,ENSMUSG00000031068,ENSMUSG00000061601,ENSMUSG00000029716,ENSMUSG00000020053,ENSMUSG00000024026,ENSMUSG00000025270,ENSMUSG00000068523,ENSMUSG00000026728
ENSMUSG00000021494,ENSMUSG00000027519,ENSMUSG00000030662,ENSMUSG00000021559,ENSMUSG00000087579,ENSMUSG00000029684,ENSMUSG00000027306,ENSMUSG00000031168,ENSMUSG00000054827,ENSMUSG00000026864,ENSMUSG00000011148,ENSMUSG00000069516,ENSMUSG00000037111
ENSMUSG00000055013,ENSMUSG00000035376,ENSMUSG00000020570,ENSMUSG00000041852,ENSMUSG00000030057,ENSMUSG00000025410,ENSMUSG00000020682,ENSMUSG00000054619,ENSMUSG00000021876,ENSMUSG00000031173,ENSMUSG00000021622,ENSMUSG00000009633,ENSMUSG00000024726
ENSMUSG00000055917,ENSMUSG00000054387,ENSMUSG00000025873,ENSMUSG00000028607,ENSMUSG00000060803,ENSMUSG00000002014,ENSMUSG00000027107,ENSMUSG00000026626,ENSMUSG00000029445,ENSMUSG00000026664,ENSMUSG00000038763,ENSMUSG00000057863,ENSMUSG00000060675
ENSMUSG00000036292,ENSMUSG00000019920,ENSMUSG00000068882,ENSMUSG00000005354,ENSMUSG00000001155,ENSMUSG00000005886,ENSMUSG00000022485,ENSMUSG00000006998,ENSMUSG00000030359,ENSMUSG00000030378,ENSMUSG00000038239,ENSMUSG00000058600,ENSMUSG00000033788
ENSMUSG00000033862,ENSMUSG00000019841,ENSMUSG00000024758,ENSMUSG00000070047,ENSMUSG00000000171,ENSMUSG00000047888,ENSMUSG00000020330,ENSMUSG00000025207,ENSMUSG00000028186,ENSMUSG00000089960,ENSMUSG00000044938,ENSMUSG00000021775,ENSMUSG00000004951
ENSMUSG00000062822,ENSMUSG00000028165,ENSMUSG00000028013,ENSMUSG00000027332,ENSMUSG00000020402,ENSMUSG00000061306,ENSMUSG00000042515,ENSMUSG00000061353,ENSMUSG00000060802,ENSMUSG00000028553,ENSMUSG00000019528,ENSMUSG00000025362,ENSMUSG00000071540
