GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14,_BACKGROUND
Tmem121,Mon1b,Irag2,Ube3b,Nudt4,Adi1,Rab14,Orm1,Evc2,Aimp2,Cacna1s,Fgb,Usp28,Rsrc2
Grip2,Mfsd11,Ms4a4b,Snx13,Cyp4f14,Lims1,Mib1,Uroc1,Asb10,Angpt1,Ube2b,Clu,Trex1,Tmem121
Ankdd1b,Dhps,Ifi27l2b,Dido1,Ndfip1,Rev3l,Osbpl1a,Cyp3a11,Fgfr1,2310040G24Rik,Hba-a2,Oat,Phldb1,Ube3b
Vmn1r89,Sprtn,Cidec,Ipo5,Gcgr,Cisd2,Cpt2,Prdx6,Gstp2,Tmem109,Fhl1,Sardh,Col5a2,Rnf167
Thbs3,C2cd3,Hr,Sypl1,Cnbp,Tsc2,Txn2,Sod1,Barx2,Stau2,Cox6a2,Igf1,Sccpdh,Snx13
Trmt9b,Rnpc3,Rad18,Faf2,Chpt1,Glrx,Hectd2os,Ehhadh,Zfp775,Vamp5,Vdac1,Hpd,Herc3,Irag2
Mst1r,Endod1,Adamtsl3,Ssb,Gstp1,Dnajb4,Ivd,Rpl37|Rpl37rt,Sema6c,Scn1b,Adss1,Atp5pd,Efcab2,Dido1
Gm10433,Itpkc,Cdk10,Rtn3,Rps13,Esrra,Anxa6,Cyp2c50,Slc8a3,Pde7a,Ckmt2,Phyh,Abcc5,Rab14
Sorcs2,Letmd1,Riox1,Ppa2,Gbe1,Oxsr1,Larp1,Rnase4,Ucp1,Ddit4l,Gys1,Azgp1,Tigar,Grip2
Slc26a5,Ankra2,Fgd3,Shmt2,Slc1a2,Cops7a,Ppp1r15b,Glo1,Fhl2,Clic5,Selenow,Ugt1a1,Tfeb,Mon1b
Chil4,Arfip2,Atxn7l3,Mxd4,Tfr2,Abcf1,Kdr,Hspa5,Atp6v0e2,Mylk3,Tuba4a,Hectd1,Agpat1,Cacna1s
