FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Dmac1,Rsrc2,Ube3b,Rab14,Nudt4,Mxd4,Mst1r,Ndfip1,Orm1,Oat,Cacna1s,Chpt1,Tmem109,Tmem121,Mon1b,Irag2,Ube3b,Nudt4,Adi1,Rab14,Orm1,Evc2,Aimp2,Cacna1s,Fgb,Usp28
Plce1,Rnf167,Snx13,Mib1,Cyp4f14,Fam210b,Sorcs2,Gcgr,Fgb,Sardh,Fhl1,Rps13,Gys1,Grip2,Mfsd11,Ms4a4b,Snx13,Cyp4f14,Lims1,Mib1,Uroc1,Asb10,Angpt1,Ube2b,Clu,Trex1
Cidec,Tox4,Dido1,Osbpl1a,Uroc1,Bccip,Pitpnm3,Slc1a2,Clu,Sod1,Cox6a2,S100a10,Synpo2,Ankdd1b,Dhps,Ifi27l2b,Dido1,Ndfip1,Rev3l,Osbpl1a,Cyp3a11,Fgfr1,2310040G24Rik,Hba-a2,Oat,Phldb1
Prorsd1,Pgpep1,Adi1,Shmt2,Cyp3a11,Glrx3,Pclo,Tfr2,Igf1,Glo1,Alas2,Gng5,Vim,Vmn1r89,Sprtn,Cidec,Ipo5,Gcgr,Cisd2,Cpt2,Prdx6,Gstp2,Tmem109,Fhl1,Sardh,Col5a2
Ddx41,Rab22a,Ipo5,Dapk1,Hectd2os,Wasl,Nusap1,Ebp,Cyp2c50,Hspa5,Adss1,Lyz2,Setd7,Thbs3,C2cd3,Hr,Sypl1,Cnbp,Tsc2,Txn2,Sod1,Barx2,Stau2,Cox6a2,Igf1,Sccpdh
Agap1,Hacd2,Sypl1,Tcf20,Cnbp,Dctn2,Mmp28,Tmt1a,Rnase4,Otc,Ckmt2,G0s2,Carnmt1,Trmt9b,Rnpc3,Rad18,Faf2,Chpt1,Glrx,Hectd2os,Ehhadh,Zfp775,Vamp5,Vdac1,Hpd,Herc3
Zfp277,Mdm4,Faf2,Cpt2,Gstp1,Ssr4,Chrna1,Ppp2r5a,Hpd,Phyh,Alpk3,Rpl36,Plaat3,Mst1r,Endod1,Adamtsl3,Ssb,Gstp1,Dnajb4,Ivd,Rpl37|Rpl37rt,Sema6c,Scn1b,Adss1,Atp5pd,Efcab2
Gramd1c,Lims1,Ssb,Txn2,Ftcd,Ncoa2,Hoxc5,Psmd2,Pzp,Sult2a8,Hrc,Rpl30,Dysf,Gm10433,Itpkc,Cdk10,Rtn3,Rps13,Esrra,Anxa6,Cyp2c50,Slc8a3,Pde7a,Ckmt2,Phyh,Abcc5
Cdk10,Rev3l,Rtn3,Fat1,Sdhd,Tnrc6b,Hmmr,Sema4g,Uox,Ugt1a1,Klhl31,Nr1d2,Hspb1,Sorcs2,Letmd1,Riox1,Ppa2,Gbe1,Oxsr1,Larp1,Rnase4,Ucp1,Ddit4l,Gys1,Azgp1,Tigar
4833420G17Rik,Cisd2,Ppa2,Ivd,Vdac1,Slc38a10,Pwwp3b,Cxcl12,B2m,Angptl3,Gyg1,Rps26,3425401B19Rik,Slc26a5,Ankra2,Fgd3,Shmt2,Slc1a2,Cops7a,Ppp1r15b,Glo1,Fhl2,Clic5,Selenow,Ugt1a1,Tfeb
