Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0140053,mitochondrial gene expression,19_GO:0009987 cellular process,-8.5,2.2,6.5,14846,136,2705,54,2,0.27,15278|18100|19935|21379|52443|52477|52575|56280|57312|59054|60441|64655|64656|64657|64658|64659|65111|66047|66163|66223|66230|66407|66587|67036|67212|67440|67851|67994|68291|68550|68572|68626|69527|70047|70120|70791|75398|76784|79044|94062|94063|94065|94066|94067|102060|216151|216767|218506|226153|227682|232536|320720|338359|353242,Tfb2m|Mrpl40|Mrpl23|Tbrg4|Mrpl48|Angel2|Trmt10c|Mrpl37|Mrps31|Mrps30|Mrpl38|Mrps22|Mrps23|Mrps10|Mrps25|Mrps14|Dap3|Mrpl54|Mrpl4|Mrpl35|Mrps28|Mrps15|Fastk|Mrpl45|Mrpl55|Mtpap|Mtres1|Mrps11|Mto1|Tefm|Mrpl58|Elac2|Mrps9|Trnt1|Yars2|Hars2|Mrpl32|Mtif2|Mrps34|Mrpl3|Mrpl16|Mrpl34|Mrpl36|Mrpl43|Gadd45gip1|Polrmt|Mrpl22|Mrps27|Twnk|Trub2|Mrps35|Fastkd1|Supv3l1|Mrpl21,-7.1,FLT_cluster_02
GO Biological Processes,19,GO:0016197,endosomal transport,19_GO:0051179 localization,-7.9,1.8,6.1,14846,252,2705,83,3.1,0.33,11769|11845|12048|13185|13191|13731|13859|14339|19328|19329|19720|20660|20844|21968|22319|23790|53330|53331|54198|54399|56440|56715|66310|67064|67282|67581|67894|68112|68299|68338|70160|70829|71517|72183|72238|72477|73288|73296|73711|74349|74385|75669|76561|76742|77407|78287|80743|83435|94178|99696|100226|100855|101240|104831|105513|105782|106039|108012|114128|116733|209131|213760|215445|216565|216724|218441|225326|226594|227801|228359|233204|234852|235406|235633|235661|238257|245886|259300|268451|269338|280408|320487|338367,Ap1s1|Arf6|Bcl2l1|Vps26c|Dctn1|Emp2|Eps15l1|Aktip|Rab12|Rab17|Trim27|Sorl1|Stam|Tom1|Vamp3|Coro1c|Vamp4|Stx7|Snx3|Bet1l|Snx1|Rabgef1|Dpy30|Chmp1b|Washc3|Tbc1d23|Dennd10|Entr1|Vps53|Golt1a|Vps36|Ccdc93|Vps35l|Snx6|Tbc1d5|Tmem87b|Vps50|Rhobtb3|Mvb12a|Fhip1b|Ap5m1|Pik3r4|Snx7|Snx27|Rab35|Rbsn|Vps16|Plekha3|Mcoln1|Ankrd50|Stx12|Tbc1d14|Wdr91|Ptpn23|Chmp7|Scrib|Gga1|Ap1s2|Laptm4b|Vps4a|Snx30|Prepl|Rab11fip3|Ehbp1|Rufy1|Zfyve16|Pik3c3|Rcsd1|Dennd1a|Arhgap1|Tbc1d17|Chmp1a|Snx33|Als2cl|Dync1li1|Cdc50b|Ankrd27|Ehd2|Rab11fip4|Vps39|Rilp|Heatr5a|Myo1d,-6.6,FLT_cluster_02
GO Biological Processes,19,GO:0042254,ribosome biogenesis,19_GO:0009987 cellular process,-7.7,1.8,6,14846,267,2705,86,3.2,0.34,12181|14000|14113|15278|18567|18572|19090|20227|20826|22596|28126|50912|52521|52530|52705|52856|55989|57315|57741|65961|66138|66164|66410|66523|66580|66596|66942|67045|67134|67236|67239|67276|67459|67493|67674|67755|67832|67936|67973|68083|68731|68845|68966|68979|69072|69713|69902|70285|71990|72198|72515|72662|72831|73674|73736|74778|75416|75593|75751|76130|78394|83485|97112|98956|102462|104662|106298|107071|108707|110109|110816|140546|207704|218629|223499|224092|224823|225215|225348|228889|230082|231452|234549|245474|269470|433864,Bop1|Drosha|Fbl|Tfb2m|Pdcd2|Pdcd11|Prkdc|Sart1|Snu13|Xrcc5|Nop16|Exosc10|Zfp622|Nhp2|Krr1|Mtg2|Nop58|Wdr46|Noc2l|Utp3|Bud23|Nip7|Mterf3|Fsaf1|Esf1|Gtf3a|Ddx18|Riok2|Nop56|Cinp|Rpf2|Eri1|Nvl|Mettl16|Trmt112|Ddx47|Brix1|Wdr55|Mphosph10|Pak1ip1|Rbfa|Pih1d1|Ngdn|Nol11|Ebna1bp2|Pin4|Mrto4|Rpf1|Ddx54|Mtrex|Wdr43|Dis3|Dhx30|Wdr75|Fcf1|Rrp7a|Nop14|Malsu1|Ipo4|Las1l|Ddx52|Ngrn|Nmd3|Nat10|Imp3|Tsr1|Rrn3|Wdr74|Slx9|Nop2|Pwp2|Eri3|Gtpbp10|Dhx29|Dcaf13|Lsg1|Rrp36|Rsl24d1|Wdr36|Ddx27|Nol6|Sdad1|Heatr3|Dkc1|Wdr3|Nom1,-6.4,FLT_cluster_02
GO Biological Processes,19,GO:0006352,DNA-templated transcription initiation,19_GO:0009987 cellular process,-7.5,1.9,6,14846,182,2705,64,2.4,0.29,11792|12572|12909|13486|13872|14884|15278|17188|17283|18676|20016|20021|20933|21343|21374|23808|23989|26896|28071|56632|66213|66310|66464|66999|67005|67224|67371|67674|67773|68510|70103|70208|70408|70428|71177|71957|72656|74197|75613|77065|94112|98053|98488|99730|101861|106298|108098|140858|194388|209011|209357|213464|214133|216151|217127|218832|229543|233532|233904|235459|245841|319944|330959|384198,Apex1|Cdk7|Crcp|Dr1|Ercc3|Gtf2h1|Tfb2m|Maz|Men1|Phf2|Polr1c|Polr2c|Med22|Taf6|Tbp|Ash2l|Med24|Med14|Polr1f|Sphk2|Med7|Dpy30|Taf12|Med28|Polr3k|Med29|Gtf3c6|Trmt112|Kat8|Ints1|Znhit1|Med23|Polr3f|Polr3b|Ints13|Ints11|Ints8|Gtf2e1|Med25|Ints7|Med15|Gtf2f1|Gtf3c3|Taf13|Ints4|Rrn3|Med21|Wdr5|Tet3|Sirt7|Gtf2h3|Rbbp5|Tet2|Polrmt|Kat7|Polr3a|Ints3|Rsf1|Setd1a|Gtf2a2|Polr2h|Taf2|Snapc5|Fam47e,-6.2,FLT_cluster_02
Reactome Gene Sets,6,R-MMU-72163,mRNA Splicing - Major Pathway,,-7.5,1.9,6,14846,182,2705,64,2.4,0.29,11834|11991|18949|20021|20227|20624|20630|20637|20638|20641|20826|21681|22380|27366|27967|28035|53317|53817|54633|54723|56070|57905|60321|60365|64340|66373|66618|66642|66877|67050|67229|67418|67439|67465|67678|68011|68183|68479|68592|68981|68988|69192|71702|71713|72198|72459|72654|72935|75062|80744|83701|94315|98053|192160|192170|193116|209416|217207|225027|227707|236732|244672|245841|433702,Aqr|Hnrnpd|Pnn|Polr2c|Sart1|Eftud2|Snrpc|Snrnp70|Snrpb|Snrpd1|Snu13|Alyref|Wbp4|Txnl4a|Cherp|Usp39|Plrg1|Ddx39b|Pqbp1|Tfip11|Tcerg1|Isy1|Wbp11|Rbm8a|Dhx38|Lsm5|Snrnp27|Ctnnbl1|Crnkl1|Nkap|Prpf18|Ppil4|Xab2|Sf3a1|Lsm3|Snrpg|Bcas2|Phf5a|Syf2|Snrpa1|Prpf31|Dhx16|Cdc5l|Cdc40|Mtrex|Htatsf1|Ccdc12|Ddx41|Sf3a3|Cwc22|Srrt|Prcc|Gtf2f1|Casc3|Eif4a3|Slu7|Gpkow|Dhx8|Srsf7|BC005624|Rbm10|Cwf19l2|Polr2h|Ncbp1,-6.2,FLT_cluster_02
Reactome Gene Sets,6,R-MMU-72172,mRNA Splicing,,-7.2,1.9,5.8,14846,188,2705,65,2.4,0.29,11834|11991|18949|20021|20227|20624|20630|20637|20638|20641|20826|21681|22380|27366|27967|28035|53317|53817|54633|54723|56070|57905|60321|60365|64340|66373|66618|66642|66877|67050|67197|67229|67418|67439|67465|67678|68011|68183|68479|68592|68981|68988|69192|71702|71713|72198|72459|72654|72935|75062|80744|83701|94315|98053|192160|192170|193116|209416|217207|225027|227707|236732|244672|245841|433702,Aqr|Hnrnpd|Pnn|Polr2c|Sart1|Eftud2|Snrpc|Snrnp70|Snrpb|Snrpd1|Snu13|Alyref|Wbp4|Txnl4a|Cherp|Usp39|Plrg1|Ddx39b|Pqbp1|Tfip11|Tcerg1|Isy1|Wbp11|Rbm8a|Dhx38|Lsm5|Snrnp27|Ctnnbl1|Crnkl1|Nkap|Zcrb1|Prpf18|Ppil4|Xab2|Sf3a1|Lsm3|Snrpg|Bcas2|Phf5a|Syf2|Snrpa1|Prpf31|Dhx16|Cdc5l|Cdc40|Mtrex|Htatsf1|Ccdc12|Ddx41|Sf3a3|Cwc22|Srrt|Prcc|Gtf2f1|Casc3|Eif4a3|Slu7|Gpkow|Dhx8|Srsf7|BC005624|Rbm10|Cwf19l2|Polr2h|Ncbp1,-6,FLT_cluster_02
Reactome Gene Sets,6,R-MMU-8953854,Metabolism of RNA,,-7.1,1.5,5.6,14846,529,2705,145,5.4,0.43,11834|11991|12181|12572|13872|14113|14884|16898|18572|18750|18949|18983|19944|20021|20227|20492|20624|20630|20637|20638|20641|20826|21681|22380|27366|27967|28035|30877|50912|51786|52705|53317|53319|53621|53817|54196|54451|54633|54723|55989|56070|57315|57905|58184|60321|60365|64340|65961|66118|66138|66164|66211|66373|66603|66618|66642|66877|67045|67050|67053|67134|67197|67229|67276|67337|67418|67439|67465|67676|67678|67755|67973|68011|68183|68479|68592|68598|68979|68981|68988|69072|69192|69731|69823|70153|70465|71702|71713|71978|72198|72459|72515|72654|72935|73666|73674|73736|74213|74778|75062|75416|76130|78394|78893|80744|80886|83701|94315|98053|100336|102462|103677|104662|107829|107939|108062|110532|110816|116940|192160|192170|193116|209357|209416|217207|223499|224823|225027|225160|225348|225929|227707|227720|229504|230082|230734|232791|234699|236732|244672|245841|269061|269470|433702|445007,Aqr|Hnrnpd|Bop1|Cdk7|Ercc3|Fbl|Gtf2h1|Rps2|Pdcd11|Prkca|Pnn|Cnot7|Rpl29|Polr2c|Sart1|Slbp|Eftud2|Snrpc|Snrnp70|Snrpb|Snrpd1|Snu13|Alyref|Wbp4|Txnl4a|Cherp|Usp39|Gnl3|Exosc10|Cpsf2|Krr1|Plrg1|Nxf1|Cnot4|Ddx39b|Pabpn1|Cpsf3|Pqbp1|Tfip11|Nop58|Tcerg1|Wdr46|Isy1|Cnot9|Wbp11|Rbm8a|Dhx38|Utp3|Sarnp|Bud23|Nip7|Rpl3l|Lsm5|Gemin2|Snrnp27|Ctnnbl1|Crnkl1|Riok2|Nkap|Rpp14|Nop56|Zcrb1|Prpf18|Eri1|Cstf1|Ppil4|Xab2|Sf3a1|Rpp21|Lsm3|Ddx47|Mphosph10|Snrpg|Bcas2|Phf5a|Syf2|Dnajc8|Nol11|Snrpa1|Prpf31|Ebna1bp2|Dhx16|Gemin7|Fyttd1|Qng1|Wdr77|Cdc5l|Cdc40|Ppp2r2a|Mtrex|Htatsf1|Wdr43|Ccdc12|Ddx41|Thoc3|Wdr75|Fcf1|Rbm26|Rrp7a|Sf3a3|Nop14|Las1l|Ddx52|Cnot10|Cwc22|Senp3|Srrt|Prcc|Gtf2f1|Ppp1r8|Imp3|Smg6|Tsr1|Thoc5|Pom121|Cstf2|Adarb1|Pwp2|Tgs1|Casc3|Eif4a3|Slu7|Gtf2h3|Gpkow|Dhx8|Dcaf13|Rrp36|Srsf7|Thoc1|Wdr36|Patl1|BC005624|Nup214|Isg20l2|Nol6|Yrdc|Cnot3|Edc4|Rbm10|Cwf19l2|Polr2h|Cpsf7|Wdr3|Ncbp1|Nup85,-5.9,FLT_cluster_02
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0009987 cellular process,-7,1.6,5.6,14846,416,2705,119,4.4,0.39,11792|12306|12396|12537|12572|12909|12913|13486|13716|13872|14884|15273|15278|15376|16476|16969|17188|17283|17344|17349|17764|18030|18605|18676|18933|19401|20016|20021|20022|20182|20585|20850|20933|21343|21374|21405|21781|21833|22031|22034|23808|23989|26896|27632|28071|54131|54624|56070|56632|56805|57080|57314|58202|58523|66213|66310|66464|66596|66874|66999|67005|67027|67224|67371|67439|67674|67773|68510|68550|68925|69870|70103|70208|70408|70428|70470|71177|71957|72656|74197|75613|76199|76246|77065|94112|98053|98488|99730|101471|101685|101861|106298|107951|108098|140858|194388|209011|209357|209707|213464|214133|216151|217127|218832|225283|226153|229543|231915|233532|233904|235459|235497|245841|268564|319944|320267|330959|384198|433702,Apex1|Anxa2|Cbfa2t2|Cdk11b|Cdk7|Crcp|Creb3|Dr1|Ell|Ercc3|Gtf2h1|Hivep2|Tfb2m|Foxa2|Jun|Zbtb7a|Maz|Men1|Pias2|Mlf1|Mtf1|Nfil3|Enpp1|Phf2|Prrx1|Rara|Polr1c|Polr2c|Polr2j|Rxrb|Hltf|Stat5a|Med22|Taf6|Tbp|Hnf1a|Tfdp1|Thra|Traf3|Traf6|Ash2l|Med24|Med14|Nelfe|Polr1f|Irf3|Paf1|Tcerg1|Sphk2|Zbtb33|Gtf2ird1|Nelfcd|Nelfb|Elp2|Med7|Dpy30|Taf12|Gtf3a|Ncbp3|Med28|Polr3k|Mkrn2|Med29|Gtf3c6|Xab2|Trmt112|Kat8|Ints1|Tefm|Rpap1|Polr3gl|Znhit1|Med23|Polr3f|Polr3b|Rprd1b|Ints13|Ints11|Ints8|Gtf2e1|Med25|Med13l|Rtf1|Ints7|Med15|Gtf2f1|Gtf3c3|Taf13|Phrf1|Spty2d1|Ints4|Rrn3|Cdk9|Med21|Wdr5|Tet3|Sirt7|Gtf2h3|Lcorl|Rbbp5|Tet2|Polrmt|Kat7|Polr3a|Rprd1a|Twnk|Ints3|Uspl1|Rsf1|Setd1a|Gtf2a2|Leo1|Polr2h|Zbtb1|Taf2|Fubp3|Snapc5|Fam47e|Ncbp1,-5.8,FLT_cluster_02
Reactome Gene Sets,6,R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,,-6.8,1.7,5.6,14846,265,2705,83,3.1,0.33,11834|11991|18949|20021|20227|20492|20624|20630|20637|20638|20641|20826|21681|22380|27366|27967|28035|51786|53317|53319|53817|54196|54451|54633|54723|56070|57905|60321|60365|64340|66118|66373|66618|66642|66877|67050|67197|67229|67337|67418|67439|67465|67678|68011|68183|68479|68592|68598|68981|68988|69192|69823|71702|71713|72198|72459|72654|72935|73666|75062|80744|83701|94315|98053|100336|107829|107939|108062|192160|192170|193116|209416|217207|225027|225160|227707|227720|236732|244672|245841|269061|433702|445007,Aqr|Hnrnpd|Pnn|Polr2c|Sart1|Slbp|Eftud2|Snrpc|Snrnp70|Snrpb|Snrpd1|Snu13|Alyref|Wbp4|Txnl4a|Cherp|Usp39|Cpsf2|Plrg1|Nxf1|Ddx39b|Pabpn1|Cpsf3|Pqbp1|Tfip11|Tcerg1|Isy1|Wbp11|Rbm8a|Dhx38|Sarnp|Lsm5|Snrnp27|Ctnnbl1|Crnkl1|Nkap|Zcrb1|Prpf18|Cstf1|Ppil4|Xab2|Sf3a1|Lsm3|Snrpg|Bcas2|Phf5a|Syf2|Dnajc8|Snrpa1|Prpf31|Dhx16|Fyttd1|Cdc5l|Cdc40|Mtrex|Htatsf1|Ccdc12|Ddx41|Thoc3|Sf3a3|Cwc22|Srrt|Prcc|Gtf2f1|Ppp1r8|Thoc5|Pom121|Cstf2|Casc3|Eif4a3|Slu7|Gpkow|Dhx8|Srsf7|Thoc1|BC005624|Nup214|Rbm10|Cwf19l2|Polr2h|Cpsf7|Ncbp1|Nup85,-5.6,FLT_cluster_02
Reactome Gene Sets,6,R-MMU-9937383,Mitochondrial ribosome-associated quality control,,-6.3,2.3,5.6,14846,81,2705,34,1.3,0.21,18100|19935|52443|56280|57312|59054|60441|64655|64656|64658|64659|65111|66047|66128|66163|66223|66230|66407|67036|67212|68572|69527|75398|75593|79044|94062|94063|94065|94066|102060|216767|218506|232536|353242,Mrpl40|Mrpl23|Mrpl48|Mrpl37|Mrps31|Mrps30|Mrpl38|Mrps22|Mrps23|Mrps25|Mrps14|Dap3|Mrpl54|Kdg4|Mrpl4|Mrpl35|Mrps28|Mrps15|Mrpl45|Mrpl55|Mrpl58|Mrps9|Mrpl32|Malsu1|Mrps34|Mrpl3|Mrpl16|Mrpl34|Mrpl36|Gadd45gip1|Mrpl22|Mrps27|Mrps35|Mrpl21,-5.1,FLT_cluster_02
