GO,Description,_LogP_FLT_cluster_02,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_14,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13
TRR00959,Regulated by: Nkx2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0732319596937185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00939,Regulated by: Nfatc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2453256033667928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00976,Regulated by: Nr1d1,-2.9585569441839685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00845,Regulated by: Myog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2626359327900225,0.0
TRR01496,Regulated by: Trp63,0.0,-3.1196460587606154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00841,Regulated by: Myf5,0.0,0.0,0.0,0.0,-3.0335520666662883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00042,Regulated by: Apex1,0.0,0.0,0.0,0.0,-3.181815662006918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00820,Regulated by: Mkx,0.0,0.0,0.0,0.0,-5.0661245523807406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00653,Regulated by: Junb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2556855415398225,0.0,0.0,0.0
TRR01362,Regulated by: Srf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.887663402307114,0.0,0.0,0.0
TRR00981,Regulated by: Nr1i2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0991866083990747,0.0,-2.9810103749453516,0.0,0.0,0.0,0.0
TRR00090,Regulated by: Bcl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.302385585432716,0.0,0.0,0.0,0.0
TRR01517,Regulated by: Usf2,0.0,0.0,0.0,0.0,0.0,0.0,-3.529260843557233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.731595745750988,0.0,0.0,0.0,0.0
TRR01127,Regulated by: Ppargc1a,0.0,0.0,0.0,0.0,0.0,0.0,-3.0573609750158224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4041826854792534,0.0,0.0,0.0,0.0
TRR01360,Regulated by: Srebf1,0.0,0.0,0.0,-2.806752616697494,0.0,0.0,-3.2903043025723973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.19821326541254,0.0,0.0,0.0,0.0
TRR00822,Regulated by: Mlxipl,0.0,0.0,0.0,-4.536075661895743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.452178809676391,0.0,0.0,0.0,0.0,0.0
TRR00810,Regulated by: Mef2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.765110255983121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.428245922412795,0.0
TRR00844,Regulated by: Myod1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.257041732841225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8373897017926337,-2.987301104471832,-4.805409006989937,0.0
TRR00562,Regulated by: Hnf1a,0.0,0.0,0.0,-4.33769396393528,0.0,0.0,-2.5075099317885523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.023458280578175,0.0,-3.702200744417537,0.0,0.0,0.0,0.0
TRR00564,Regulated by: Hnf4a,0.0,0.0,0.0,-4.813890121430292,0.0,0.0,-7.237114069122714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.413822446141255,0.0,-7.81200045460171,0.0,0.0,0.0,0.0
