gene_id	gene_symbol	log2_fold_change	p_value	fdr_bh	significant_fdr05_abs_log2fc1	significant_contrast_count	direction
ENSMUSG00000029422	Rsrc2	0.378355079027478	0.0435723216973455	0.261662263760019	False	0	not_deg
ENSMUSG00000049036	Tmem121	0.789418728178611	0.737539236612274		False	0	not_deg
ENSMUSG00000029577	Ube3b	-0.198579875991367	0.160151496269607	0.571882864363335	False	0	not_deg
ENSMUSG00000040746	Rnf167	-0.153429327489097	0.268104741381782	0.706351015703742	False	0	not_deg
ENSMUSG00000020590	Snx13	-0.172352424163107	0.20381839404453	0.579955825628814	False	0	not_deg
ENSMUSG00000030263	Irag2	-0.390354268977544	0.0303355537610455	0.207717494073724	False	0	not_deg
ENSMUSG00000038914	Dido1	0.203679134606635	0.0673963483581919	0.312407671289712	False	0	not_deg
ENSMUSG00000026878	Rab14	0.273126127898418	0.0242055758692784	0.334652421274262	False	0	not_deg
ENSMUSG00000030098	Grip2	1.44150533811519	0.0629224028561356	0.352425199530994	False	0	not_deg
ENSMUSG00000078908	Mon1b	0.26666648907835	0.0111781406434672	0.11752233748438	False	0	not_deg
ENSMUSG00000026407	Cacna1s	8.15496065555109	3.01234101089458e-06	0.0002689843326198	True	1	up
ENSMUSG00000020818	Mfsd11	-0.272439688453153	0.109329812565759	0.379020737661964	False	0	not_deg
ENSMUSG00000060038	Dhps	-0.562823867973882	0.0054022220818792	0.171957297909768	False	0	not_deg
ENSMUSG00000020029	Nudt4	0.310183171858395	0.0057597604044572	0.176660858421309	False	0	not_deg
ENSMUSG00000024292	Cyp4f14	0.553568443597634	0.0014477055044133	0.0938758765260444	False	0	not_deg
ENSMUSG00000111356	Rpl32l	1.20280874303727	0.0804388029976298	0.433030881516215	False	0	not_deg
ENSMUSG00000016831	Tox4	-0.140107653625655	0.149910036662911	0.434065096488151	False	0	not_deg
ENSMUSG00000024791	Cdca5	-1.98510665446958	0.0273179378100333	0.281813464367171	False	0	not_deg
ENSMUSG00000028398	Dmac1	-0.193269767889986	0.238599549118466	0.534557884439746	False	0	not_deg
ENSMUSG00000022586	Ly6i	-1.9938953986468	0.365858896345046		False	0	not_deg
ENSMUSG00000056204	Pgpep1	-0.216461437937274	0.354264706543274	0.736534154837703	False	0	not_deg
ENSMUSG00000031986	Sprtn	-0.336954398083425	0.0362405589434697	0.317538049386964	False	0	not_deg
ENSMUSG00000000244	Tspan32	-0.943878906571672	0.0638520236586209	0.496202165967193	False	0	not_deg
ENSMUSG00000027519	Rab22a	-0.189991851136492	0.107342276352525	0.483948565486806	False	0	not_deg
ENSMUSG00000061086	Myl4	0.140248802155015	0.685111660049351	0.871284738524396	False	0	not_deg
ENSMUSG00000056290	Ms4a4b	-0.547168688317088	0.140091851163211	0.652891379497332	False	0	not_deg
ENSMUSG00000068206	Pick1	0.463089593657951	0.0073506220704084	0.0891014594210319	False	0	not_deg
