condition	collection	age	sample	muscle_mean_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_score_robust_z_within_stratum	severe_muscle_composition_outlier
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL5	15.45512125653425	19	4.247264405438245	15.535200926210232	8	19.22472416706721	True
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI17	13.920194150726086	20	1.7583350583109552	16.362519113461005	8	5.854337078308941	True
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL1	13.633428788334067	19	1.2603237484432404	16.803393069858156	8	13.175857982892035	True
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI14	13.290953047784203	20	1.0470787367312975	16.291140814379148	8	0.7094839351019909	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI16	13.160625008663427	19	0.8685649433188789	16.290781691618722	8	5.467067378690693	True
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI16	12.9706008144537	19	0.8888899133574447	16.845335215878503	8	0.6394955648980091	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI16	12.57440560721013	20	0.7718795867960629	17.05352475423276	8	7.796268160681237	True
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL2	12.435532352947927	19	0.4709087766806261	16.91143681516195	8	16.956055680547173	True
GC	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL3	12.365513375174338	19	0.4993051795698618	17.093165735328142	8	6.180654883528485	True
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL16	12.304960523941658	19	0.48535407999050295	16.86163487568483	8	6.422792956487571	True
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI10	11.66642918064342	19	0.42553611488187293	17.15864976108032	8	9.09802006166656	True
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL14	11.595092135724522	19	0.2873960735052031	16.45786699919377	8	5.950498754694294	True
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL20	10.963598102751916	19	0.12122786338251391	16.860213317328473	8	41.4383427986596	True
FLT	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL2	10.581288542187547	17	0.2861856280060323	16.574539341196132	8	1.604651908201535	False
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI19	10.365735579976985	19	0.20053463721986337	17.381943698859494	8	0.07040238122742336	False
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI13	10.22890674926813	19	0.1692128952762213	17.108199616733422	8	0.04050895186478374	False
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI8	10.223926957801362	19	0.1395550713725339	17.696943305445267	8	2.9773485948752154	False
FLT	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL18	10.204470477991562	19	0.07881922601644482	16.741446949826567	8	1.5096823505860446	False
FLT	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL8	10.131297453512179	17	0.1391985080660177	16.900432735814725	8	2.2392871660556506	False
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI17	9.858069904176887	19	0.09613191811562506	16.9827070216732	8	-0.04050895186478374	False
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL18	9.750301946495199	19	0.05732971282660158	17.20397688683994	8	11.226723167424865	True
FLT	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL15	9.31741363452216	20	0.052117942597139796	16.840678817764676	8	1.9780278155174613	False
FLT	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL11	8.960675085905256	17	0.04070743206601044	16.727664067185586	8	1.8635135822215523	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI20	8.902222581487178	18	0.045255341546058266	17.63277163503447	8	5.082998182067804	True
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI2	8.272083399115944	16	0.03430302352897456	17.077004817161992	8	12.38431291712937	True
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI13	7.600950807229931	15	0.03618733251968403	17.2111565212401	8	4.121526051082686	True
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI10	7.554250491191368	13	0.01172976406913487	17.335643483411516	8	6.728624321730575	True
GC	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL7	6.5982890469875715	10	0.008277863216013467	17.255388264154945	8	2.644405548482999	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI9	6.5780894590763594	10	0.019359201781232908	17.30098203926932	8	4.453508806843829	True
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI3	6.431091659134234	13	0.013546645771359979	17.670307977328584	8	9.029130389008623	True
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL7	6.393840576556477	10	0.008067492336703803	16.810229287105102	8	21.85798818922508	True
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI1	5.868909961195213	8	0.006155096815145861	16.938952048767188	8	8.004561853696783	True
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI12	5.610159431357533	7	0.0047593547211612665	16.809852778919176	8	1.6174289795310366	False
FLT	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL6	5.550524074240671	6	0.0023592847066003643	16.666736892578534	8	0.33674699231578104	False
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI1	5.497477756730243	5	0.004052893011911309	17.13236921872177	8	1.1121971965011987	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL1	5.398286722707866	4	0.002972757659462554	17.1027068920099	8	6.264966419616504	True
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL2	4.895176422500785	0	0.0015710308796557139	16.962526023114336	8	3.5999793530959776	True
