gene_id	x	y	consensus
ENSMUSG00000029422	-80.920944	46.422215	3
ENSMUSG00000049036	41.213108	-62.267887	0
ENSMUSG00000029577	-75.49078	23.257154	4
ENSMUSG00000040746	-63.184326	59.967888	3
ENSMUSG00000020590	-74.649864	15.203966	4
ENSMUSG00000030263	79.08063	10.122097	1
ENSMUSG00000038914	-78.04877	2.8493907	4
ENSMUSG00000026878	-68.18232	-34.614758	5
ENSMUSG00000030098	-17.188272	-23.72257	0
ENSMUSG00000078908	25.211958	48.54248	1
ENSMUSG00000026407	-25.15169	-1.7286338	12
ENSMUSG00000020818	58.852203	56.337597	1
ENSMUSG00000060038	65.33573	31.031857	1
ENSMUSG00000020029	-58.524597	-48.46162	6
ENSMUSG00000024292	-63.792027	-60.227306	6
ENSMUSG00000111356	-4.248181	-71.34702	0
ENSMUSG00000016831	-70.21863	48.59343	3
ENSMUSG00000024791	-25.767962	-57.386482	0
ENSMUSG00000028398	-31.4157	39.59343	2
ENSMUSG00000022586	41.3285	-64.17079	0
ENSMUSG00000056204	-69.582664	47.09779	3
ENSMUSG00000031986	30.880802	42.667618	1
ENSMUSG00000000244	-13.7407675	-30.108301	0
ENSMUSG00000027519	-55.301544	73.61942	3
ENSMUSG00000061086	-3.6900792	-19.216038	0
ENSMUSG00000056290	69.71338	-10.085125	1
ENSMUSG00000068206	10.813722	48.983315	1
ENSMUSG00000021208	52.543648	55.875053	1
ENSMUSG00000024998	-37.63218	80.27672	2
ENSMUSG00000047248	-5.274822	37.130493	1
ENSMUSG00000027981	9.390228	47.15409	1
ENSMUSG00000039683	-10.631196	-25.149864	0
ENSMUSG00000047117	-28.660418	-84.77077	0
ENSMUSG00000030278	14.839558	9.353664	2
ENSMUSG00000037419	52.06036	40.69521	1
ENSMUSG00000022208	10.594791	-68.255394	0
ENSMUSG00000064823	-26.74204	-52.726048	0
ENSMUSG00000095629	83.991646	-25.524557	0
ENSMUSG00000034829	29.934906	-63.00332	0
ENSMUSG00000029380	55.614155	49.942524	1
ENSMUSG00000028047	17.269093	-13.088072	0
ENSMUSG00000039196	-54.018085	-75.37138	10
ENSMUSG00000032673	-37.627796	40.616753	2
ENSMUSG00000022773	7.7006187	-44.373146	0
ENSMUSG00000078597	77.187386	-56.198544	0
ENSMUSG00000021494	-18.36638	64.15332	2
ENSMUSG00000050248	32.050842	-3.9315968	1
ENSMUSG00000003752	61.2671	44.2667	1
