profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
RR8_LVR_BSL_ISS-T_OLD_BI1	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1620	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI1	BL_ISS_01	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1621	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI2	BL_ISS_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI3	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1622	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI3	BL_ISS_03	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI4	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1623	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI4	BL_ISS_04	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI5	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1624	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI5	BL_ISS_05	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI6	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1625	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI6	BL_ISS_06	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI7	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1626	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI7	BL_ISS_07	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI8	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1627	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI8	BL_ISS_08	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_OLD_BI9	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1628	baseline_control	RR8_LVR_BSL_ISS-T_OLD_BI9	BL_ISS_09	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_YNG_BI11	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1629	baseline_control	RR8_LVR_BSL_ISS-T_YNG_BI11	BL_ISS_11	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
