feature	mean_absolute_shap	mean_signed_shap	xgboost_gain_importance
LAR_YNG_rep03	1.578097	-1.308563	0.051873688
ISS-T_OLD_rep07	1.3346937	0.63988626	0.049487717
ISS-T_OLD_rep03	0.8387553	-0.65410477	0.039619155
ISS-T_YNG_rep05	0.8270663	0.80072474	0.038393293
ISS-T_OLD_rep05	0.81115645	0.5652516	0.044867348
LAR_YNG_rep07	0.77403426	-0.45713708	0.057774026
LAR_OLD_rep02	0.7404876	-0.707402	0.030986538
LAR_YNG_rep01	0.704912	-0.17932563	0.041042984
LAR_OLD_rep03	0.6036002	0.5681264	0.023689138
LAR_OLD_rep01	0.58944446	0.2665697	0.039240047
ISS-T_OLD_rep06	0.5654766	0.53539056	0.04659254
ISS-T_YNG_rep08	0.5241235	-0.38596377	0.022786029
LAR_OLD_rep04	0.50417084	-0.3188042	0.027990429
ISS-T_YNG_rep03	0.5007527	-0.29016328	0.032341015
LAR_OLD_rep07	0.4937612	-0.22375505	0.033122025
ISS-T_OLD_rep09	0.48558527	0.44774124	0.023690028
LAR_OLD_rep06	0.47436565	-0.44209608	0.017708188
ISS-T_YNG_rep07	0.4703759	0.371458	0.020395504
ISS-T_OLD_rep01	0.4626056	-0.14248274	0.020953901
LAR_YNG_rep02	0.45569935	-0.036462575	0.024523707
ISS-T_YNG_rep02	0.45436582	0.32110465	0.037272148
ISS-T_OLD_rep10	0.4462799	-0.1487272	0.02640092
LAR_YNG_rep05	0.42989567	0.18447898	0.022597099
ISS-T_YNG_rep06	0.42789435	0.4068522	0.028562825
LAR_YNG_rep04	0.38631478	0.18244956	0.026249103
LAR_YNG_rep06	0.38581663	0.18971194	0.022884222
ISS-T_OLD_rep08	0.32337832	0.22489603	0.017388016
ISS-T_OLD_rep04	0.29233345	-0.24107781	0.013210863
ISS-T_OLD_rep02	0.29099217	0.04850645	0.016110374
ISS-T_YNG_rep04	0.2896016	0.2726502	0.019317836
ISS-T_YNG_rep01	0.2703066	-0.16262712	0.016162487
ISS-T_YNG_rep10	0.23091878	-0.108563565	0.013972495
LAR_YNG_rep08	0.18964657	-0.0039067785	0.012702636
LAR_OLD_rep05	0.18489529	-0.08697024	0.019223863
ISS-T_YNG_rep09	0.1592173	0.0199828	0.020867884
