gene_id	location	flight_probability	mean_absolute_shap	sum_signed_shap
ENSMUSG00000057003	FLT	1.0	1.303091	18.90456
ENSMUSG00000030730	GC	5.3548466e-10	1.2640395	-21.349516
ENSMUSG00000017300	FLT	1.0	1.259478	24.606417
ENSMUSG00000031097	FLT	1.0	1.2570052	25.044254
ENSMUSG00000052374	GC	2.177829e-06	1.2560388	-13.038817
ENSMUSG00000030399	FLT	1.0	1.2497884	20.437712
ENSMUSG00000016349	GC	1.7044588e-10	1.2443146	-22.49427
ENSMUSG00000030592	GC	7.1398326e-10	1.2357854	-21.061825
ENSMUSG00000031972	FLT	1.0	1.2321191	20.041605
ENSMUSG00000028116	GC	3.7851297e-10	1.2307342	-21.696432
ENSMUSG00000026407	GC	2.0706272e-08	1.2286426	-17.69448
ENSMUSG00000056328	GC	8.830978e-09	1.2275842	-18.546654
ENSMUSG00000030785	GC	1.05905756e-10	1.2202843	-22.970142
ENSMUSG00000005716	GC	3.172914e-10	1.2169317	-21.872883
ENSMUSG00000061462	GC	3.1657945e-09	1.2147897	-19.572525
ENSMUSG00000024471	GC	1.1914307e-09	1.2143075	-20.549778
ENSMUSG00000017300	GC	2.7116087e-10	1.2140074	-22.029974
ENSMUSG00000020475	GC	1.6779184e-10	1.2139553	-22.50998
ENSMUSG00000038670	GC	1.5197842e-10	1.2137847	-22.608952
ENSMUSG00000057003	GC	4.613836e-09	1.2118683	-19.195868
ENSMUSG00000042045	GC	4.0796305e-10	1.2110578	-21.621525
ENSMUSG00000030399	GC	1.3060727e-08	1.209869	-18.15531
ENSMUSG00000020061	GC	1.9011683e-09	1.2044235	-20.082462
ENSMUSG00000028773	GC	2.3069642e-10	1.204316	-22.19158
ENSMUSG00000001027	GC	1.0600989e-09	1.2041881	-20.666561
ENSMUSG00000047419	GC	2.1096733e-10	1.2030001	-22.280993
ENSMUSG00000007877	GC	1.5714532e-09	1.2025259	-20.272934
ENSMUSG00000021622	GC	5.6511142e-09	1.2015828	-18.993074
ENSMUSG00000027022	FLT	1.0	1.1985302	19.918482
ENSMUSG00000033196	GC	4.8990807e-09	1.198424	-19.135878
ENSMUSG00000021798	FLT	1.0	1.1983668	26.010008
ENSMUSG00000056328	FLT	1.0	1.1971083	21.108444
ENSMUSG00000061816	GC	1.9312438e-09	1.1969181	-20.06677
ENSMUSG00000044938	GC	2.9165317e-10	1.1933591	-21.957115
ENSMUSG00000007122	GC	1.6689565e-09	1.1921852	-20.21274
ENSMUSG00000039891	GC	2.4016328e-10	1.1920055	-22.151363
ENSMUSG00000068697	FLT	1.0	1.1905739	24.567957
ENSMUSG00000049134	GC	2.5457287e-09	1.1889888	-19.79052
ENSMUSG00000089255	FLT	1.0	1.1886665	24.28252
ENSMUSG00000038763	GC	9.899545e-10	1.1872813	-20.735022
ENSMUSG00000018893	GC	1.2621142e-07	1.1869926	-15.886949
ENSMUSG00000021798	GC	6.558026e-11	1.1859685	-23.449432
ENSMUSG00000033196	FLT	1.0	1.1850829	24.56712
ENSMUSG00000019787	GC	2.56389e-09	1.180439	-19.783415
ENSMUSG00000072720	GC	7.393512e-11	1.1763926	-23.329485
ENSMUSG00000051747	GC	1.141681e-07	1.1763526	-15.987245
ENSMUSG00000078486	GC	2.9643427e-10	1.1753349	-21.940855
ENSMUSG00000013936	GC	1.0941909e-08	1.1730487	-18.332336
ENSMUSG00000020475	FLT	1.0	1.1695807	27.012568
ENSMUSG00000068697	GC	7.1889343e-09	1.1695791	-18.752382
ENSMUSG00000007877	FLT	1.0	1.1690388	22.801983
ENSMUSG00000030592	FLT	1.0	1.1670003	22.624039
ENSMUSG00000061723	GC	2.6531288e-09	1.1663092	-19.749182
