h5_accession	condition_label	ercc_biological_key	profile	ercc_status	duplicate_group	retained	decision
OSD-463	FLT	RR23_LVR_FLT_F1	RR23_LVR_FLT_F1	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F2	RR23_LVR_FLT_F2	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F3	RR23_LVR_FLT_F3	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F4	RR23_LVR_FLT_F4	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F5	RR23_LVR_FLT_F5	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F6	RR23_LVR_FLT_F6	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F7_techrep1	RR23_LVR_FLT_F7_techrep1	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F7_techrep2	RR23_LVR_FLT_F7_techrep2	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F8_techrep1	RR23_LVR_FLT_F8_techrep1	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F8_techrep2	RR23_LVR_FLT_F8_techrep2	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F8_techrep3	RR23_LVR_FLT_F8_techrep3	not_annotated	False	True	kept_unannotated
OSD-463	FLT	RR23_LVR_FLT_F9	RR23_LVR_FLT_F9	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G1_techrep1	RR23_LVR_GC_G1_techrep1	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G1_techrep2	RR23_LVR_GC_G1_techrep2	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G2	RR23_LVR_GC_G2	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G3	RR23_LVR_GC_G3	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G4	RR23_LVR_GC_G4	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G5	RR23_LVR_GC_G5	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G6	RR23_LVR_GC_G6	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G7	RR23_LVR_GC_G7	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G8	RR23_LVR_GC_G8	not_annotated	False	True	kept_unannotated
OSD-463	GC	RR23_LVR_GC_G9	RR23_LVR_GC_G9	not_annotated	False	True	kept_unannotated
