accession	location	cluster	cluster_genes	tested_dgea_genes	significant_padj05_genes	significant_padj05_abs_lfc_genes	significant_fraction	mean_log2fc_tested	mean_log2fc_sig	mean_abs_stat_tested	mean_latent_shift_tested	fisher_odds_ratio	fisher_p_value	top_significant_genes	fisher_fdr_bh
OSD-245	FLT	1	2958	2958	191	11	0.06457065584854632	0.00433081787820221	-0.014284536267440926	1.1850036906584842	0.5249862882057672	1.6722635495664238	9.076207141420672e-09	Fam47e,Dtx4,Pdk4,Tefm,Ss18l2,Rcor1,Vamp3,Rai14,Dclre1a,Ncoa1	6.35334499899447e-08
OSD-245	FLT	3	2301	2301	162	6	0.07040417209908735	0.008668226535475611	0.09177707757777216	1.2185103893552904	1.3338292947841497	1.8242881796899848	4.244185847990282e-10	Nedd4l,Chka,Sdr9c7,Trim2,Net1,Syne1,Cldn1,Dnaaf9,Rnf144b,Clock	5.941860187186395e-09
OSD-245	FLT	7	1614	1614	87	7	0.05390334572490706	-0.004262849355818823	-0.011749037503087924	1.0986313720052652	0.30231180281869013	1.2613383245143694	0.030337588978218737	Arntl,Asap2,Leo1,Mup12,Dbp,Gmnn,Slc5a6,Bace2,Rnf144a,Cdcp1	0.08494524913901247
OSD-245	FLT	4	1945	1945	77	9	0.03958868894601542	0.0027624994935148183	0.09829450490917752	1.0110599902933557	0.26583177235933164	0.8753578904313933	0.8736442545324193	Dhrs9,Slc2a5,Cers5,Rfx4,Stx1b,Il15,Fhad1,Ppic,Lsm11,Col5a3	1.0
OSD-245	FLT	8	1032	1032	70	8	0.06782945736434108	-0.11949584486742673	-0.3810084658033859	1.2585343350396898	4.863358216810544	1.6327096327096327	0.00023038589814060225	Clpx,Gclc,Insig2,Cyp2a5,Mup10,Cyp2a4,Rnase4,Tef,Wfdc21,Sdhd	0.0010751341913228104
OSD-245	FLT	9	562	562	39	1	0.0693950177935943	-0.024651118350300726	-0.09984311053817463	1.0933158986302658	1.156268530743312	1.6442582216526904	0.0037845511402160087	Wfdc17,Tomm5,Emc6,Spg20,Tgds,Magi1,Tpd52l2,Rassf8,Cep20,Micos10	0.01324592899075603
OSD-245	FLT	5	1764	1763	31	8	0.01758366420873511	0.04718516118846394	-0.022851471813759735	0.9137787156205743	0.2772175959164452	0.35759311232855906	0.9999999999680248	Gpx6,Gzma,Slc34a2,Gm15401,Aph1c,Gm2061,Pde6c,Slc22a4,Ctsk,Spon2	1.0
OSD-245	FLT	6	1686	1680	23	4	0.01369047619047619	0.04736899697162013	0.08649887551021859	0.9098468700331471	0.28904882961930917	0.2755803453234075	0.9999999999999603	Lefty1,Mab21l2,BC049762,1700042O10Rik,Tnfsf13b,Dusp8,Ltb4r2,1700010I14Rik,Phospho1,BC035044	1.0
OSD-245	FLT	10	386	386	18	0	0.046632124352331605	0.0236111563551451	-0.11929456665975674	1.108165425046404	2.4823277869562475	1.0564356751243147	0.4462145429474493	Tars,Ubqln1,Gys2,Npc1,Ptgr2,Herc1,Ctnnd1,Usp24,Ccl9,Akr1c19	1.0
OSD-245	FLT	2	2950	1551	2	0	0.0012894906511927789	0.04641924076991994	-0.7345220762260595	0.8374556507298587	0.29275541298118707	0.025062846720594303	1.0	Piwil2,Car9	1.0
