sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI11	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	1658	RR8_LVR_FLT_ISS-T_OLD_FI11	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI12	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	1659	RR8_LVR_FLT_ISS-T_OLD_FI12	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI13	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	1660	RR8_LVR_FLT_ISS-T_OLD_FI13	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI14	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	1661	RR8_LVR_FLT_ISS-T_OLD_FI14	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	1662	RR8_LVR_FLT_ISS-T_OLD_FI15	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	1665	RR8_LVR_FLT_ISS-T_OLD_FI18	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI19	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	1666	RR8_LVR_FLT_ISS-T_OLD_FI19	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379	flight	ISS-T_OLD	RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	1667	RR8_LVR_FLT_ISS-T_OLD_FI20	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379	flight	ISS-T_YNG	RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	1668	RR8_LVR_FLT_ISS-T_YNG_FI1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379	flight	ISS-T_YNG	RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	1670	RR8_LVR_FLT_ISS-T_YNG_FI2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
