location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
FLT,1,0.15391778,0.15391778,3.454,3s,2.516
FLT,2,0.15261237,0.15261237,5.873,5s,2.418
FLT,3,0.15285907,0.15261237,8.299,8s,2.426
FLT,4,0.15243482,0.15243482,10.717,10s,2.417
FLT,5,0.15240842,0.15240842,13.154,13s,2.436
FLT,6,0.15227018,0.15227018,15.559,15s,2.405
FLT,7,0.15219991,0.15219991,17.986,17s,2.426
FLT,8,0.1521791,0.1521791,20.468,20s,2.482
FLT,9,0.15200127,0.15200127,22.903,22s,2.434
FLT,10,0.15206892,0.15200127,25.392,25s,2.488
FLT,11,0.15208374,0.15200127,27.906,27s,2.513
FLT,12,0.15197128,0.15197128,30.404,30s,2.497
FLT,13,0.15183277,0.15183277,32.845,32s,2.441
FLT,14,0.15190315,0.15183277,35.318,35s,2.472
FLT,15,0.15182611,0.15182611,37.773,37s,2.455
FLT,16,0.15186767,0.15182611,40.325,40s,2.551
FLT,17,0.15186065,0.15182611,42.771,42s,2.446
FLT,18,0.15184951,0.15182611,45.215,45s,2.443
FLT,19,0.15178366,0.15178366,47.677,47s,2.461
FLT,20,0.15172201,0.15172201,50.123,50s,2.446
FLT,21,0.15186008,0.15172201,52.704,52s,2.581
FLT,22,0.15178079,0.15172201,55.245,55s,2.54
FLT,23,0.15167133,0.15167133,57.773,57s,2.528
FLT,24,0.15176261,0.15167133,60.33,1m 0s,2.556
FLT,25,0.15168528,0.15167133,62.839,1m 2s,2.508
FLT,26,0.15172121,0.15167133,65.418,1m 5s,2.579
FLT,27,0.1516633,0.1516633,67.92,1m 7s,2.502
FLT,28,0.1516968,0.1516633,70.417,1m 10s,2.496
FLT,29,0.15171907,0.1516633,72.924,1m 12s,2.506
FLT,30,0.15170127,0.1516633,75.436,1m 15s,2.511
