gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000029422	1.233388	-0.7169666	0.0031868918	0.49020746	0.0011746329	0.02717865	-0.73344415	0.042279255	-0.20530348	-0.7943304	-0.29126537	-0.5879343	-0.55476904	0.73974985	0.6515583	0.5685367
ENSMUSG00000076126	1.266138	-0.71727824	0.015792213	0.60275656	0.0017840606	0.034816537	-0.671514	0.054898005	-0.23890765	-0.84024423	-0.101851374	-0.5494955	-0.5429283	0.50020885	0.6030341	0.88988954
ENSMUSG00000049036	1.2661362	-0.7172788	0.015791856	0.6027502	0.0017840704	0.034816094	-0.67151785	0.05489723	-0.23890561	-0.8402423	-0.101863146	-0.54949814	-0.5429299	0.50022084	0.6030355	0.8898734
ENSMUSG00000029577	1.2355194	-0.70936316	-0.0058873114	0.4688343	0.000945678	0.025155835	-0.7498733	0.039349686	-0.19664411	-0.7760211	-0.3330541	-0.59331554	-0.5467185	0.8252803	0.689265	0.466294
ENSMUSG00000040746	1.259059	-0.71358705	0.0015586512	0.5264226	0.0014088429	0.028883062	-0.7249688	0.045443844	-0.21332349	-0.80533093	-0.25302193	-0.57861435	-0.54591244	0.7067565	0.6652753	0.6326832
ENSMUSG00000020590	1.1516169	-0.7178832	0.0017336244	0.37429655	0.00011720788	0.021170553	-0.76126784	0.031989943	-0.17778005	-0.7439967	-0.4058823	-0.61194634	-0.56886375	0.875775	0.6320971	0.32502076
ENSMUSG00000030263	1.2656056	-0.7174856	0.014486759	0.5939346	0.0017527561	0.034128074	-0.67824984	0.053792823	-0.23598954	-0.83693784	-0.12091452	-0.55343914	-0.5441336	0.52297163	0.60923105	0.8618332
ENSMUSG00000038914	1.2117003	-0.7064085	-0.009544436	0.42807397	0.0005123541	0.023051342	-0.76215595	0.03571678	-0.1863299	-0.7544209	-0.37707028	-0.6011157	-0.547494	0.89194435	0.69593436	0.36296406
ENSMUSG00000026878	1.0423614	-0.7007921	-0.008995463	0.23540604	-0.0012257078	0.014325803	-0.7881468	0.020056989	-0.14495465	-0.64471954	-0.5148914	-0.6269421	-0.56212014	1.0637679	0.6329441	-0.009554073
ENSMUSG00000093241	1.2661272	-0.71728176	0.015789155	0.6027126	0.0017838823	0.034813575	-0.6715414	0.054893043	-0.23889469	-0.84023064	-0.1019352	-0.54951406	-0.54293805	0.50029665	0.60304755	0.8897736
