gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000029422	-0.08854846	-0.0072668004	0.10775181	0
ENSMUSG00000076126	-0.6881191	-0.057427563	0.0074885483	0
ENSMUSG00000049036	-0.6880677	-0.057462275	0.0074243317	0
ENSMUSG00000029577	0.15354507	-0.12683061	-0.1445642	0
ENSMUSG00000040746	-0.20405267	-0.069480665	-0.035353456	0
ENSMUSG00000020590	0.35214752	-0.04822749	0.23360384	0
ENSMUSG00000030263	-0.6391976	-0.061897147	0.0015322783	0
ENSMUSG00000038914	0.35414898	-0.098580144	-0.03669583	0
ENSMUSG00000026878	1.5057806	-0.1910947	0.3784503	0
ENSMUSG00000093241	-0.68784726	-0.057482556	0.0075078974	0
ENSMUSG00000030098	2.693933	-1.9074613	-0.82032055	0
ENSMUSG00000078908	-0.49882418	-0.05208233	-0.0009550947	0
ENSMUSG00000025056	-0.68812966	-0.057424583	0.0074646394	0
ENSMUSG00000090129	-0.6852272	-0.057899635	0.009169723	0
ENSMUSG00000026407	-0.54597116	-0.15885632	-0.030477688	0
ENSMUSG00000034239	-0.6880347	-0.057451405	0.00767979	0
ENSMUSG00000020818	-0.53522104	-0.059667565	-0.002743688	0
ENSMUSG00000060038	-0.58922976	-0.04424553	-0.0075554247	0
ENSMUSG00000020029	2.6498954	-0.032455407	0.56650823	0
ENSMUSG00000085958	-0.6764846	-0.058693502	0.011997319	0
ENSMUSG00000024292	2.646954	-0.5144468	-0.4229067	0
ENSMUSG00000111356	-0.68695194	-0.057485472	0.0073238	0
ENSMUSG00000016831	-0.060262635	0.02727538	0.02682349	0
ENSMUSG00000024791	-0.68419886	-0.058393825	0.007956903	0
ENSMUSG00000028398	-0.35735294	0.011240531	-0.028253222	0
ENSMUSG00000113338	-0.6880868	-0.05743058	0.007532842	0
ENSMUSG00000022586	-0.68684447	-0.057653435	0.0074955868	0
ENSMUSG00000091034	-0.68810034	-0.05743461	0.0074451263	0
ENSMUSG00000056204	0.04690332	-0.055467084	-0.07428486	0
ENSMUSG00000065472	-0.6881251	-0.057426922	0.007437251	0
ENSMUSG00000056197	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000031986	-0.5380965	-0.06892261	0.0068474263	0
ENSMUSG00000086259	-0.68749213	-0.05772427	0.0072896476	0
ENSMUSG00000000244	-0.6721224	-0.05972449	0.008771547	0
ENSMUSG00000027519	-0.15333268	-0.071595974	0.006929269	0
ENSMUSG00000061086	-0.67964953	-0.058127444	0.006052479	0
ENSMUSG00000056290	-0.6420771	-0.065454386	0.023570329	0
ENSMUSG00000068206	-0.51054037	-0.04735188	-0.017892156	0
ENSMUSG00000077815	-0.6869123	-0.05631379	0.0073653157	0
ENSMUSG00000021208	-0.5855136	-0.058362573	0.014932423	0
ENSMUSG00000088054	-0.68677634	-0.057720006	0.007398291	0
ENSMUSG00000024998	-0.28266728	-0.075097434	0.013667565	0
ENSMUSG00000047248	-0.44667926	-0.06929684	0.012591693	0
ENSMUSG00000027981	-0.4483147	-0.05645771	0.09633225	0
ENSMUSG00000039683	-0.6817384	-0.059116326	0.007405384	0
ENSMUSG00000047117	-0.68730944	-0.057571024	0.0072850906	0
ENSMUSG00000030278	-0.5256251	0.18252032	0.0053497916	0
ENSMUSG00000037419	-0.60764295	-0.07052683	0.0111080455	0
ENSMUSG00000099616	-0.6876367	-0.057269648	0.007425766	0
ENSMUSG00000022208	-0.6862707	-0.057666536	0.00770031	0
ENSMUSG00000055197	-0.688085	-0.057424836	0.0074397433	0
ENSMUSG00000059632	-0.6881273	-0.057422556	0.0074284743	0
ENSMUSG00000064823	-0.68653154	-0.058257423	0.007720553	0
ENSMUSG00000095629	-0.6866818	-0.057537347	0.007917533	0
ENSMUSG00000034829	-0.68667465	-0.057448495	0.007712364	0
ENSMUSG00000029380	-0.5802282	-0.065410055	0.008926752	0
ENSMUSG00000073001	-0.6880712	-0.05743874	0.0075805853	0
ENSMUSG00000031073	-0.687701	-0.057483166	0.0076931403	0
ENSMUSG00000028047	-0.68017614	-0.058574364	0.0062418035	0
ENSMUSG00000039196	11.854327	5.02004	0.391191	4
ENSMUSG00000032673	-0.38965255	-0.03479708	0.012589912	0
ENSMUSG00000096584	-0.68810856	-0.057430543	0.0075124498	0
ENSMUSG00000022773	-0.66455555	-0.060629614	0.011208699	0
ENSMUSG00000078597	-0.3718922	0.43397754	-0.068226084	0
ENSMUSG00000021494	-0.3838583	-0.045736928	-0.0566436	0
ENSMUSG00000050248	-0.66451615	-0.058808398	0.006440851	0
ENSMUSG00000003752	-0.5926768	-0.052698877	-0.00522362	0
ENSMUSG00000037353	-0.37655717	-0.022934223	-0.022950143	0
ENSMUSG00000022096	-0.6733397	-0.057683755	0.0055545173	0
ENSMUSG00000091311	-0.6881233	-0.05741766	0.0074370946	0
ENSMUSG00000096436	-0.68107444	-0.059140377	0.010717632	0
ENSMUSG00000021661	-0.5484213	-0.054927904	0.017490517	0
ENSMUSG00000039620	-0.6428346	-0.04974622	0.012445065	0
ENSMUSG00000033765	-0.673801	-0.06016723	0.004281332	0
ENSMUSG00000032584	-0.6816701	-0.060016435	0.006142543	0
ENSMUSG00000072884	-0.6689466	-0.054211672	0.008932044	0
ENSMUSG00000066896	-0.6872702	-0.057449307	0.007768329	0
ENSMUSG00000094606	-0.68803614	-0.05744996	0.0076281275	0
ENSMUSG00000032783	-0.6858951	-0.058004204	0.007321809	0
ENSMUSG00000029093	-0.683756	-0.05799483	0.0070868214	0
ENSMUSG00000030254	-0.6481256	-0.05636586	0.016055945	0
ENSMUSG00000077991	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000021090	-0.68630975	-0.057215516	0.008256979	0
ENSMUSG00000094687	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000055013	-0.44834006	-0.045465942	-0.02105885	0
ENSMUSG00000038204	-0.6817069	-0.061940446	0.0058631073	0
ENSMUSG00000020629	0.69049364	0.039344136	0.42119807	0
ENSMUSG00000030881	-0.5291055	-0.039382707	-0.021857236	0
ENSMUSG00000030662	0.22259149	-0.026315022	0.01903527	0
ENSMUSG00000020570	0.15526704	-0.090603	0.16606732	0
ENSMUSG00000024401	-0.6853498	-0.05756848	0.006961774	0
ENSMUSG00000108885	-0.688043	-0.05742505	0.007510859	0
ENSMUSG00000029015	-0.6877586	-0.057444137	0.0075145867	0
ENSMUSG00000045179	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000063779	-0.6879416	-0.057473652	0.007585771	0
ENSMUSG00000070531	-0.6881092	-0.057419278	0.007421329	0
ENSMUSG00000074183	-0.6464801	-0.046705667	0.02824296	0
ENSMUSG00000042849	-0.6860126	-0.057766944	0.0076976134	0
ENSMUSG00000069939	-0.6772288	-0.055713754	0.007796456	0
ENSMUSG00000025873	0.13962871	0.013641358	-0.04058655	0
ENSMUSG00000034456	5.6406503	-0.40885973	-0.3125881	0
ENSMUSG00000070817	-0.67066765	-0.060461175	0.012167478	0
ENSMUSG00000024294	1.479221	-0.16617638	0.3857241	0
ENSMUSG00000066463	-0.68803835	-0.05744739	0.007655244	0
ENSMUSG00000035376	-0.12220408	-0.013221226	0.065602034	0
ENSMUSG00000044252	1.3007495	0.1682765	0.12051626	0
