location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
GC,1,0.15052897,0.15052897,2.831,2s,2.525
GC,2,0.14892147,0.14892147,5.301,5s,2.47
GC,3,0.14877063,0.14877063,7.867,7s,2.565
GC,4,0.14826287,0.14826287,10.643,10s,2.776
GC,5,0.14835003,0.14826287,13.445,13s,2.802
GC,6,0.14831342,0.14826287,16.61,16s,3.164
GC,7,0.14809179,0.14809179,19.568,19s,2.957
GC,8,0.14798838,0.14798838,22.355,22s,2.786
GC,9,0.1480871,0.14798838,25.187,25s,2.832
GC,10,0.14782496,0.14782496,28.427,28s,3.24
GC,11,0.14778465,0.14778465,31.347,31s,2.919
GC,12,0.14798496,0.14778465,33.915,33s,2.568
GC,13,0.14772445,0.14772445,36.57,36s,2.654
GC,14,0.14777534,0.14772445,39.086,39s,2.516
GC,15,0.14761468,0.14761468,41.812,41s,2.725
GC,16,0.14767932,0.14761468,44.283,44s,2.47
GC,17,0.14761637,0.14761468,46.741,46s,2.457
GC,18,0.14750899,0.14750899,49.327,49s,2.586
GC,19,0.14750894,0.14750894,51.773,51s,2.445
GC,20,0.14743281,0.14743281,54.499,54s,2.725
GC,21,0.14741263,0.14741263,56.949,56s,2.45
GC,22,0.14747978,0.14741263,59.405,59s,2.455
GC,23,0.14741766,0.14741263,62.066,1m 2s,2.661
GC,24,0.14734198,0.14734198,64.581,1m 4s,2.514
GC,25,0.1473401,0.1473401,67.209,1m 7s,2.627
GC,26,0.14746358,0.1473401,69.692,1m 9s,2.483
GC,27,0.14731049,0.14731049,72.453,1m 12s,2.76
GC,28,0.14732516,0.14731049,74.921,1m 14s,2.467
GC,29,0.14734505,0.14731049,77.673,1m 17s,2.752
GC,30,0.14730988,0.14730988,80.24,1m 20s,2.566
