gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000029422	-0.09399708	0.005864264	0.13677362	0
ENSMUSG00000076126	-0.63056976	-0.07357709	-0.022097817	0
ENSMUSG00000049036	-0.63046664	-0.07358786	-0.022128316	0
ENSMUSG00000029577	0.11025578	-0.110763684	-0.18745387	0
ENSMUSG00000040746	-0.17289755	-0.0783331	-0.06383861	0
ENSMUSG00000020590	0.3240151	-0.045209527	0.29854935	0
ENSMUSG00000030263	-0.5804028	-0.07814197	-0.029629981	0
ENSMUSG00000038914	0.26169196	-0.050856657	0.044153135	0
ENSMUSG00000026878	1.3476607	-0.1754317	0.5003876	0
ENSMUSG00000093241	-0.6304228	-0.073572256	-0.021974238	0
ENSMUSG00000030098	2.8107228	-1.6067922	-1.5142387	0
ENSMUSG00000078908	-0.47501108	-0.04776685	-0.026821274	0
ENSMUSG00000025056	-0.63055545	-0.073582165	-0.022107089	0
ENSMUSG00000090129	-0.62796646	-0.07378021	-0.020798322	0
ENSMUSG00000026407	-0.5135267	-0.07893816	-0.25941548	0
ENSMUSG00000034239	-0.6305126	-0.073597625	-0.022115504	0
ENSMUSG00000020818	-0.49503314	-0.060674906	-0.02080612	0
ENSMUSG00000060038	-0.54043716	-0.058877725	-0.020553714	0
ENSMUSG00000020029	2.28466	-0.052221164	0.8143248	0
ENSMUSG00000085958	-0.61842364	-0.074596174	-0.012136843	0
ENSMUSG00000024292	2.1714935	-0.12273513	-0.38624027	0
ENSMUSG00000111356	-0.6297295	-0.07341161	-0.022006357	0
ENSMUSG00000016831	-0.062267173	0.026229547	0.039947078	0
ENSMUSG00000024791	-0.62696546	-0.07391174	-0.022035452	0
ENSMUSG00000028398	-0.32071823	0.018503375	-0.015384896	0
ENSMUSG00000113338	-0.6305595	-0.07356475	-0.022098077	0
ENSMUSG00000022586	-0.6291256	-0.07355371	-0.022055093	0
ENSMUSG00000091034	-0.63054186	-0.07357831	-0.022059625	0
ENSMUSG00000056204	0.05467922	-0.028386513	-0.102424316	0
ENSMUSG00000065472	-0.63058114	-0.073571846	-0.022090456	0
ENSMUSG00000056197	-0.63058114	-0.073571846	-0.022090456	0
ENSMUSG00000031986	-0.49387863	-0.07546911	-0.009701457	0
ENSMUSG00000086259	-0.62972516	-0.073889725	-0.022338627	0
ENSMUSG00000000244	-0.6121539	-0.075143665	-0.017297292	0
ENSMUSG00000027519	-0.15384829	-0.055689063	-0.0038447261	0
ENSMUSG00000061086	-0.6229435	-0.07381072	-0.022980621	0
ENSMUSG00000056290	-0.57830924	-0.08045809	0.0040346533	0
ENSMUSG00000068206	-0.4891173	-0.055878386	-0.04620071	0
ENSMUSG00000077815	-0.62973917	-0.07253661	-0.02204009	0
ENSMUSG00000021208	-0.56010807	-0.078363545	-0.013563597	0
ENSMUSG00000088054	-0.6293283	-0.0734601	-0.021895727	0
ENSMUSG00000024998	-0.2698079	-0.09002542	0.010889598	0
ENSMUSG00000047248	-0.4131648	-0.05750304	-0.0039212178	0
ENSMUSG00000027981	-0.40233684	-0.072894156	0.1383004	0
ENSMUSG00000039683	-0.6242552	-0.07472042	-0.021720579	0
ENSMUSG00000047117	-0.6301047	-0.07350677	-0.021960534	0
ENSMUSG00000030278	-0.5611313	-0.016331904	-0.03661652	0
ENSMUSG00000037419	-0.55089664	-0.07966107	-0.01772859	0
ENSMUSG00000099616	-0.6301121	-0.07338047	-0.021924427	0
ENSMUSG00000022208	-0.6286183	-0.07362905	-0.02146386	0
ENSMUSG00000055197	-0.630482	-0.07357413	-0.022104988	0
ENSMUSG00000059632	-0.6305836	-0.07357268	-0.02208796	0
ENSMUSG00000064823	-0.62854785	-0.074368425	-0.022157867	0
ENSMUSG00000095629	-0.6290686	-0.07378686	-0.021241762	0
ENSMUSG00000034829	-0.6293548	-0.073505774	-0.021699987	0
ENSMUSG00000029380	-0.37551212	0.30241007	-0.02960108	0
ENSMUSG00000073001	-0.63055474	-0.073582515	-0.02209763	0
ENSMUSG00000031073	-0.63003814	-0.07372543	-0.021892656	0
ENSMUSG00000028047	-0.6233434	-0.07312356	-0.025587192	0
ENSMUSG00000039196	12.492499	7.7247186	0.16387767	0
ENSMUSG00000032673	-0.33875677	-0.045693666	0.058396224	0
ENSMUSG00000096584	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000022773	-0.6085075	-0.074425876	-0.012638424	0
ENSMUSG00000078597	-0.4047301	0.37428677	0.0005702639	0
ENSMUSG00000021494	-0.37422267	-0.045395944	-0.080354795	0
ENSMUSG00000050248	-0.61081886	-0.07340966	-0.02468854	0
ENSMUSG00000003752	-0.550811	-0.059818372	-0.029452618	0
ENSMUSG00000037353	-0.35123432	-0.040431328	-0.025261654	0
ENSMUSG00000022096	-0.6212933	-0.07064429	-0.02557937	0
ENSMUSG00000091311	-0.6305367	-0.073585935	-0.022101784	0
ENSMUSG00000096436	-0.6239767	-0.074291855	-0.01640279	0
ENSMUSG00000021661	-0.50022906	-0.06441488	0.011776326	0
ENSMUSG00000039620	-0.5985676	-0.062352993	-0.013121863	0
ENSMUSG00000033765	-0.6300823	-0.07216474	-0.021567052	0
ENSMUSG00000032584	-0.62490845	-0.07481529	-0.02406746	0
ENSMUSG00000072884	-0.614325	-0.07226977	-0.018033557	0
ENSMUSG00000066896	-0.6296606	-0.07360735	-0.02158809	0
ENSMUSG00000094606	-0.6305239	-0.073594466	-0.021982951	0
ENSMUSG00000032783	-0.6286106	-0.07373868	-0.022361502	0
ENSMUSG00000029093	-0.62708443	-0.0736863	-0.02324135	0
ENSMUSG00000030254	-0.5933788	-0.0743537	-0.006937932	0
ENSMUSG00000077991	-0.63058466	-0.0735673	-0.022088682	0
ENSMUSG00000021090	-0.62871057	-0.07283656	-0.021488536	0
ENSMUSG00000094687	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000055013	-0.428782	-0.05294166	-0.044205766	0
ENSMUSG00000038204	-0.6252114	-0.074056625	-0.032102294	0
ENSMUSG00000020629	0.59500283	0.023531618	0.53754693	0
ENSMUSG00000030881	-0.49780804	-0.036985427	-0.03194696	0
ENSMUSG00000030662	0.23026711	-0.037803482	0.0051954756	0
ENSMUSG00000020570	0.13294439	-0.10790026	0.22454706	0
ENSMUSG00000024401	-0.6274393	-0.07332174	-0.022446398	0
ENSMUSG00000108885	-0.6305223	-0.073580906	-0.022091506	0
ENSMUSG00000029015	-0.6302529	-0.07357483	-0.022018515	0
ENSMUSG00000045179	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000063779	-0.6304614	-0.07353849	-0.021969808	0
ENSMUSG00000070531	-0.6305467	-0.07358572	-0.022097124	0
ENSMUSG00000074183	-0.6155358	-0.07407474	-0.0140764555	0
ENSMUSG00000042849	-0.6282566	-0.073771514	-0.02121118	0
ENSMUSG00000069939	-0.62167335	-0.072219074	-0.022307731	0
ENSMUSG00000025873	0.076080926	0.03271598	-0.052879207	0
ENSMUSG00000034456	4.751601	-0.3585136	-0.7492854	0
ENSMUSG00000070817	-0.6141517	-0.07432913	-0.014452805	0
ENSMUSG00000024294	1.3442111	-0.069328524	0.39678177	0
ENSMUSG00000066463	-0.6305456	-0.07357903	-0.02202831	0
ENSMUSG00000035376	-0.13167122	-0.012120995	0.05740215	0
ENSMUSG00000044252	1.1868373	0.02195913	0.21010049	0
ENSMUSG00000055917	-0.33915257	-0.10090497	0.11075658	0
ENSMUSG00000071815	-0.6305674	-0.07357764	-0.02209535	0
ENSMUSG00000068882	0.17339978	0.053186394	0.18021229	0
ENSMUSG00000022685	-0.37838042	-0.07595032	0.03426165	0
ENSMUSG00000036292	-0.018236086	-0.048610806	0.26326463	0
ENSMUSG00000041202	-0.6257608	-0.07410483	-0.02049615	0
ENSMUSG00000116360	-0.63056797	-0.07357983	-0.02209503	0
ENSMUSG00000024528	-0.5212175	-0.054885097	-0.017306602	0
ENSMUSG00000029861	-0.63023496	-0.07367805	-0.022189165	0
ENSMUSG00000077221	-0.6296501	-0.07371727	-0.022061177	0
ENSMUSG00000070469	-0.62298256	-0.07054443	-0.023784677	0
ENSMUSG00000115791	-0.62703913	-0.07396077	-0.0207307	0
ENSMUSG00000097665	-0.6287273	-0.07334717	-0.021454364	0
ENSMUSG00000046650	-0.62376416	-0.07425487	-0.017250039	0
ENSMUSG00000046667	-0.45321497	-0.046273835	0.031326134	0
ENSMUSG00000106902	-0.63051975	-0.073591344	-0.022047313	0
ENSMUSG00000037169	-0.6187985	-0.07184856	-0.023190169	0
ENSMUSG00000049565	-0.6280394	-0.07317812	-0.020312697	0
ENSMUSG00000033862	-0.40529644	-0.07178712	-0.060305577	0
ENSMUSG00000033774	-0.62764645	-0.073242486	-0.021372247	0
ENSMUSG00000084592	-0.62829816	-0.07398888	-0.019649766	0
ENSMUSG00000077998	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000021278	-0.6300624	-0.0735363	-0.022202872	0
ENSMUSG00000027971	-0.6221061	-0.073190026	-0.020808663	0
ENSMUSG00000024758	0.26989105	-0.091460675	0.17407316	0
ENSMUSG00000044921	-0.61853063	-0.07279999	-0.021230064	0
ENSMUSG00000054387	0.06554939	-0.0508117	0.28212884	0
ENSMUSG00000062822	-0.26958042	-0.077909164	0.09983922	0
ENSMUSG00000028013	0.004679717	-0.084868826	0.041946743	0
ENSMUSG00000042846	-0.62700033	-0.07331143	-0.02071245	0
ENSMUSG00000025403	0.8981738	0.19523297	-0.36347094	0
ENSMUSG00000031831	-0.6297267	-0.07363261	-0.022187859	0
ENSMUSG00000087045	-0.63057697	-0.07357429	-0.022091744	0
ENSMUSG00000030739	-0.4167212	-0.10931765	-0.1027704	0
ENSMUSG00000037235	0.40373445	0.06809184	-0.16332538	0
ENSMUSG00000021559	0.6157263	-0.16719466	-0.095653124	0
ENSMUSG00000049252	-0.6302231	-0.07358559	-0.021984972	0
ENSMUSG00000035805	-0.63057756	-0.07357518	-0.022088023	0
ENSMUSG00000050870	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000022931	-0.6305726	-0.073576584	-0.022091685	0
ENSMUSG00000067360	-0.6305674	-0.07357764	-0.02209535	0
ENSMUSG00000035262	-0.62961036	-0.07346192	-0.02239235	0
ENSMUSG00000087223	-0.62444466	-0.07470698	-0.020666106	0
ENSMUSG00000046791	-0.56882674	-0.063155726	-0.033350334	0
ENSMUSG00000086745	-0.630559	-0.07355067	-0.022089353	0
ENSMUSG00000055826	-0.63054943	-0.073578626	-0.022089781	0
ENSMUSG00000022451	0.21718991	0.0034269132	0.09416958	0
ENSMUSG00000092734	-0.6301234	-0.07352093	-0.022185322	0
ENSMUSG00000026700	-0.6304097	-0.07359081	-0.022093838	0
ENSMUSG00000041852	0.5595785	0.110561386	0.11316802	0
ENSMUSG00000075086	-0.6301514	-0.07361937	-0.02190875	0
ENSMUSG00000024776	-0.6039402	-0.079287045	-0.01591281	0
ENSMUSG00000056035	7.9210134	2.4979246	2.48195	0
ENSMUSG00000020000	-0.38319728	0.6649653	-0.058742628	0
ENSMUSG00000037946	-0.6040158	-0.07374262	-0.028024495	0
ENSMUSG00000001656	-0.63050634	-0.07359852	-0.022032319	0
ENSMUSG00000053146	-0.6263912	-0.07409538	-0.020927493	0
ENSMUSG00000073982	-0.51864713	-0.061859313	-0.04844582	0
ENSMUSG00000024393	0.30249584	-0.014818931	-0.28481	0
ENSMUSG00000025433	-0.6298003	-0.07381441	-0.02171241	0
ENSMUSG00000086552	-0.6286794	-0.07339848	-0.021527605	0
ENSMUSG00000070972	-0.23824534	-0.06833009	0.046327412	0
ENSMUSG00000036139	-0.6289764	-0.073240906	-0.021757914	0
ENSMUSG00000073768	-0.61195654	-0.07559731	-0.005704679	0
ENSMUSG00000003573	-0.6111956	-0.07282847	-0.026556397	0
ENSMUSG00000115744	-0.61585224	-0.07393936	-0.014176791	0
ENSMUSG00000019920	-0.19404693	-0.10830069	0.07668438	0
ENSMUSG00000094892	-0.6230903	-0.07498151	-0.017139327	0
ENSMUSG00000027495	0.48453876	0.024963383	-0.049903683	0
ENSMUSG00000045989	-0.630578	-0.07357219	-0.022101676	0
ENSMUSG00000087424	-0.60446846	-0.072652064	-0.014469267	0
ENSMUSG00000050328	-0.63056237	-0.07357977	-0.022098934	0
ENSMUSG00000022705	-0.6305115	-0.0736009	-0.022129586	0
ENSMUSG00000034543	-0.3480335	-0.045885436	0.0018424324	0
ENSMUSG00000094734	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000071753	-0.62130445	-0.072700605	-0.015791826	0
ENSMUSG00000020919	0.07605605	-0.12754107	-0.13455272	0
ENSMUSG00000036214	-0.4694126	-0.042695593	0.0002437564	0
ENSMUSG00000079069	-0.6303195	-0.07368888	-0.022040216	0
ENSMUSG00000103116	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000097368	-0.6062101	-0.07431703	-0.012444498	0
ENSMUSG00000039230	-0.27513567	-0.07664353	-0.05473005	0
ENSMUSG00000035713	-0.6140674	-0.07080205	-0.023468323	0
ENSMUSG00000059995	-0.35845038	-0.050169818	-0.05356461	0
ENSMUSG00000033831	66.57216	20.881144	-5.1773653	3
ENSMUSG00000029730	-0.4757273	-0.05709955	-0.039510556	0
ENSMUSG00000019841	-0.04419068	-0.11456071	0.21044919	0
ENSMUSG00000040543	-0.6276621	-0.07382023	-0.022879278	0
ENSMUSG00000091537	0.1185066	0.16620187	0.19057083	0
ENSMUSG00000026420	-0.63049054	-0.07360652	-0.02212256	0
ENSMUSG00000027550	-0.54201597	-0.096018925	0.029347768	0
ENSMUSG00000073971	-0.62973386	-0.07378771	-0.021899898	0
ENSMUSG00000028607	0.7485831	0.016670538	-0.19652082	0
ENSMUSG00000039210	-0.38226503	-0.041622695	-0.010999991	0
ENSMUSG00000032231	-0.39146474	-0.061891202	-0.07373946	0
ENSMUSG00000078593	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000028165	-0.089929506	-0.02008499	0.1365998	0
ENSMUSG00000075273	-0.5193349	-0.0735517	0.013107662	0
ENSMUSG00000049618	-0.6305521	-0.07358065	-0.022093548	0
ENSMUSG00000002496	0.011663234	-0.076092176	-0.0808382	0
ENSMUSG00000055692	-0.6252284	-0.07334402	-0.023424855	0
ENSMUSG00000031160	-0.63057697	-0.07357429	-0.022091744	0
ENSMUSG00000030983	0.25475675	-0.024161717	-0.050900925	0
ENSMUSG00000078640	-0.6304096	-0.07359518	-0.022117382	0
ENSMUSG00000046675	-0.53514004	-0.058131482	0.0030650368	0
ENSMUSG00000051811	-0.62882423	-0.07365303	-0.022934197	0
ENSMUSG00000028651	-0.5032931	-0.06476265	-0.043025646	0
ENSMUSG00000024425	2.4693294	-0.36859143	1.1930187	0
ENSMUSG00000046613	-0.62951165	-0.073424205	-0.021722507	0
ENSMUSG00000070501	-0.6163052	-0.07549105	-0.013071983	0
ENSMUSG00000049612	-0.62231517	-0.07421584	-0.014913986	0
ENSMUSG00000091996	-0.6253666	-0.07311734	-0.019032663	0
ENSMUSG00000078038	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000042216	-0.57590467	-0.07493347	-0.014299072	0
ENSMUSG00000069036	-0.63045454	-0.07360026	-0.022118827	0
ENSMUSG00000079407	-0.6293264	-0.073765844	-0.02129305	0
ENSMUSG00000021823	-0.2374835	-0.026799977	-0.036466382	0
ENSMUSG00000033808	-0.3671095	-0.067504466	0.07835388	0
ENSMUSG00000051098	-0.5054245	-0.06254566	0.03860068	0
ENSMUSG00000061633	-0.6304834	-0.07361251	-0.022145318	0
ENSMUSG00000056870	-0.61003953	-0.059587672	-0.017500041	0
ENSMUSG00000030093	-0.63049877	-0.07360919	-0.022127012	0
ENSMUSG00000000194	-0.29338208	-0.058053948	-0.037030667	0
ENSMUSG00000043207	0.21144609	-0.06164418	0.101439066	0
ENSMUSG00000005667	-0.61516035	-0.068231925	-0.022531254	0
ENSMUSG00000073830	28.61781	69.8668	2.6025558	3
ENSMUSG00000039703	0.30030012	0.021723045	-0.10524292	0
ENSMUSG00000031068	0.49065286	-0.059538145	0.3227975	0
ENSMUSG00000051154	0.3563528	-0.039655976	0.306835	0
ENSMUSG00000025487	-0.019034682	0.007426994	-0.08229017	0
ENSMUSG00000005354	0.8082919	0.07492376	-0.2838616	0
ENSMUSG00000025892	-0.622269	-0.07490986	-0.020937439	0
ENSMUSG00000074071	-0.27380896	-0.079685494	0.0031919894	0
ENSMUSG00000057182	-0.61826843	-0.07171391	-0.01768239	0
ENSMUSG00000020390	0.52117836	-0.06077882	0.39965716	0
ENSMUSG00000031131	-0.6305674	-0.07357764	-0.02209535	0
ENSMUSG00000094612	-0.6305674	-0.07357764	-0.02209535	0
ENSMUSG00000031283	-0.6182111	-0.07440789	-0.02055249	0
ENSMUSG00000109219	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000038429	0.07143043	-0.05046165	-0.14818253	0
ENSMUSG00000034810	-0.61406124	-0.07421032	-0.020180836	0
ENSMUSG00000018733	-0.46574214	-0.06787769	0.027447077	0
ENSMUSG00000022037	12.677341	3.3143177	-2.431839	0
ENSMUSG00000085260	-0.6301478	-0.073566794	-0.022341654	0
ENSMUSG00000029610	-0.5370284	-0.05908366	-0.04760934	0
ENSMUSG00000042185	-0.4436178	-0.06863372	-0.016665868	0
ENSMUSG00000067525	-0.6300579	-0.073658	-0.021847207	0
ENSMUSG00000006021	-0.4992268	-0.07552344	-0.0469841	0
ENSMUSG00000046408	-0.62304825	-0.07151543	-0.020901803	0
ENSMUSG00000020599	-0.6168748	-0.0729065	-0.018962746	0
ENSMUSG00000030775	-0.61264384	-0.07387039	-0.014016554	0
ENSMUSG00000015149	-0.16195537	-0.052961975	-0.100590274	0
ENSMUSG00000046434	0.18133707	-0.016747972	0.11376835	0
ENSMUSG00000031377	-0.62578714	-0.07289478	-0.021803703	0
ENSMUSG00000031774	-0.40558848	-0.04232377	-0.037256118	0
ENSMUSG00000096840	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000050627	0.054731563	-0.15566643	-0.035041187	0
ENSMUSG00000031878	-0.2471305	-0.060850848	0.14368476	0
ENSMUSG00000030322	-0.59996223	-0.07341703	-0.011162046	0
ENSMUSG00000029541	-0.6305125	-0.07357744	-0.022096282	0
ENSMUSG00000020696	-0.30626407	-0.05164096	0.008983869	0
ENSMUSG00000097162	-0.53102994	-0.06595881	0.009048721	0
ENSMUSG00000113189	-0.62372166	-0.074321076	-0.019867618	0
ENSMUSG00000045201	-0.6302294	-0.073589124	-0.022319851	0
ENSMUSG00000058513	-0.62806565	-0.073629506	-0.021302562	0
ENSMUSG00000059479	-0.5856857	-0.07533315	-0.026363552	0
ENSMUSG00000077239	-0.6295949	-0.07387212	-0.022157354	0
ENSMUSG00000031755	-0.58453125	-0.07437205	-0.022704424	0
ENSMUSG00000076253	-0.63058656	-0.07357092	-0.022088138	0
ENSMUSG00000038379	-0.6221026	-0.074758895	-0.019244786	0
ENSMUSG00000002109	-0.56825477	-0.07504507	-0.0019415341	0
ENSMUSG00000041840	-0.52625316	-0.07514028	0.020165056	0
ENSMUSG00000049691	-0.6305786	-0.07357496	-0.022089144	0
ENSMUSG00000021555	-0.2635744	-0.09051344	0.01547896	0
ENSMUSG00000022814	-0.09588205	-0.060843073	-0.03426111	0
ENSMUSG00000028782	-0.62937975	-0.07389204	-0.022690447	0
ENSMUSG00000095028	-0.623087	-0.07326697	-0.017116098	0
ENSMUSG00000057223	-0.6303537	-0.073539376	-0.02204832	0
ENSMUSG00000034413	-0.61104876	-0.07492441	-0.022425001	0
ENSMUSG00000087579	0.92761093	-0.16098358	0.7033769	0
ENSMUSG00000025127	1.3244036	0.10515991	-0.37075514	0
ENSMUSG00000030222	-0.58497405	-0.06272705	-0.0042936485	0
