gene_id	x	y	consensus
ENSMUSG00000029422	-0.21873325	-0.092345476	3
ENSMUSG00000076126	0.22889167	0.042550325	2
ENSMUSG00000049036	0.22886842	0.042542815	10
ENSMUSG00000029577	-0.3582964	-0.14029503	3
ENSMUSG00000040746	-0.13133144	-0.0868752	5
ENSMUSG00000020590	-0.5456384	-0.11494088	3
ENSMUSG00000030263	0.18893051	0.027015686	1
ENSMUSG00000038914	-0.49756277	-0.1599133	3
ENSMUSG00000026878	-0.98941606	-0.115620136	7
ENSMUSG00000093241	0.22872585	0.04249382	0
ENSMUSG00000030098	-1.1310824	0.14419341	7
ENSMUSG00000078908	0.07459426	-0.01763773	9
ENSMUSG00000025056	0.2289198	0.042550802	2
ENSMUSG00000090129	0.22628778	0.041928172	0
ENSMUSG00000026407	0.0306893	0.10410142	12
ENSMUSG00000034239	0.22866887	0.04254675	0
ENSMUSG00000020818	0.10456109	-0.007831812	4
ENSMUSG00000060038	0.14648521	0.0033365488	4
ENSMUSG00000020029	-1.2566878	-0.10074234	7
ENSMUSG00000085958	0.21827048	0.03939724	1
ENSMUSG00000024292	-1.2187152	-0.12727308	7
ENSMUSG00000111356	0.22794896	0.04216039	0
ENSMUSG00000016831	-0.22914141	-0.11967564	3
ENSMUSG00000024791	0.22536057	0.04139805	0
ENSMUSG00000028398	-0.015930116	-0.063611984	6
ENSMUSG00000113338	0.22883064	0.042545795	0
ENSMUSG00000022586	0.22766513	0.04211521	0
ENSMUSG00000091034	0.22889262	0.042539716	2
ENSMUSG00000056204	-0.2979352	-0.14156604	3
ENSMUSG00000065472	0.22893828	0.042547345	2
ENSMUSG00000056197	0.22894686	0.0425514	2
ENSMUSG00000031986	0.103987396	-0.0019294024	4
ENSMUSG00000086259	0.22835535	0.04242134	0
ENSMUSG00000000244	0.21343094	0.03681636	1
ENSMUSG00000027519	-0.17660874	-0.088700056	3
ENSMUSG00000061086	0.22148556	0.039782405	8
ENSMUSG00000056290	0.18213612	0.030403614	1
ENSMUSG00000068206	0.09009123	-0.015131712	4
ENSMUSG00000077815	0.22829038	0.04199207	0
ENSMUSG00000021208	0.14450878	0.004741192	4
ENSMUSG00000088054	0.2278871	0.042096615	0
ENSMUSG00000024998	-0.09473717	-0.061851025	5
ENSMUSG00000047248	0.036946297	-0.023314714	6
ENSMUSG00000027981	0.01289463	-0.015771389	6
ENSMUSG00000039683	0.22280699	0.04116583	8
ENSMUSG00000047117	0.22813147	0.04231119	0
ENSMUSG00000030278	0.1508857	-0.036773205	4
ENSMUSG00000037419	0.15735215	0.020034194	1
ENSMUSG00000099616	0.22850806	0.042348266	0
ENSMUSG00000022208	0.22717458	0.041988373	0
ENSMUSG00000055197	0.22887546	0.042521715	10
ENSMUSG00000059632	0.22894198	0.04254675	2
ENSMUSG00000064823	0.22723073	0.042300582	0
ENSMUSG00000095629	0.22754425	0.042204738	0
ENSMUSG00000034829	0.22752064	0.042156696	0
ENSMUSG00000029380	0.13829195	0.008325338	4
ENSMUSG00000073001	0.22877187	0.04254341	0
ENSMUSG00000031073	0.22845429	0.042441607	0
ENSMUSG00000028047	0.22080785	0.04043746	8
