gene_id	x	y	consensus
ENSMUSG00000029422	-67.603485	-33.690998	3
ENSMUSG00000076126	36.430653	104.73507	2
ENSMUSG00000049036	47.39963	90.13628	10
ENSMUSG00000029577	-88.61681	-11.106655	3
ENSMUSG00000040746	-64.195694	-64.040764	5
ENSMUSG00000020590	-75.58528	13.192276	3
ENSMUSG00000030263	1.5049876	-3.14591	1
ENSMUSG00000038914	-88.623184	9.838275	3
ENSMUSG00000026878	-64.26184	49.357464	7
ENSMUSG00000093241	76.752594	52.744564	0
ENSMUSG00000030098	-57.636078	49.061077	7
ENSMUSG00000078908	10.600453	-61.225544	9
ENSMUSG00000025056	1.3898437	109.03211	2
ENSMUSG00000090129	60.338203	13.254904	0
ENSMUSG00000026407	-49.105774	30.065598	12
ENSMUSG00000034239	85.88786	34.697025	0
ENSMUSG00000020818	-9.8976345	-38.035984	4
ENSMUSG00000060038	-34.683926	-16.384918	4
ENSMUSG00000020029	-56.999462	61.89364	7
ENSMUSG00000085958	62.09344	-51.870045	1
ENSMUSG00000024292	-58.93735	60.88413	7
ENSMUSG00000111356	24.03648	35.46543	0
ENSMUSG00000016831	-81.90568	-37.51338	3
ENSMUSG00000024791	80.05552	3.5041077	0
ENSMUSG00000028398	-46.1773	-100.2623	6
ENSMUSG00000113338	79.20127	77.27179	0
ENSMUSG00000022586	14.983451	33.772022	0
ENSMUSG00000091034	25.380507	91.793144	2
ENSMUSG00000056204	-90.14485	-22.731997	3
ENSMUSG00000065472	-5.643599	77.80334	2
ENSMUSG00000056197	-32.229725	47.615105	2
ENSMUSG00000031986	-13.942982	-45.357574	4
ENSMUSG00000086259	38.53142	53.12032	0
ENSMUSG00000000244	41.196026	-39.98864	1
ENSMUSG00000027519	-67.079285	-47.24139	3
ENSMUSG00000061086	76.32375	-68.963745	8
ENSMUSG00000056290	9.601212	11.775838	1
ENSMUSG00000068206	11.673279	-49.983326	4
ENSMUSG00000077815	35.68176	29.340008	0
ENSMUSG00000021208	-37.813503	-17.792032	4
ENSMUSG00000088054	23.537853	32.387905	0
ENSMUSG00000024998	-47.54921	-67.07651	5
ENSMUSG00000047248	2.4559894	-80.91212	6
ENSMUSG00000027981	-13.47404	-78.882576	6
ENSMUSG00000039683	91.69778	-33.201298	8
ENSMUSG00000047117	27.144222	45.213486	0
ENSMUSG00000030278	-22.386965	-16.65136	4
ENSMUSG00000037419	-35.18105	12.507428	1
ENSMUSG00000099616	58.336018	42.052235	0
ENSMUSG00000022208	31.304958	9.045139	0
ENSMUSG00000055197	32.3808	79.525635	10
ENSMUSG00000059632	-2.1530151	69.00704	2
ENSMUSG00000064823	49.852974	22.708008	0
ENSMUSG00000095629	4.0300193	37.25862	0
ENSMUSG00000034829	6.4072895	33.887314	0
ENSMUSG00000029380	-52.866417	-1.8221163	4
ENSMUSG00000073001	92.19736	50.502224	0
ENSMUSG00000031073	45.61828	50.797134	0
ENSMUSG00000028047	81.22183	-53.500294	8
ENSMUSG00000039196	-45.457348	91.12734	11
ENSMUSG00000032673	-8.295746	-102.50342	6
ENSMUSG00000096584	63.8265	86.02301	10
ENSMUSG00000022773	31.997025	-23.975805	1
ENSMUSG00000078597	-103.85973	-38.592144	12
ENSMUSG00000021494	4.0914493	-108.60744	6
ENSMUSG00000050248	29.03941	-25.753832	1
ENSMUSG00000003752	-38.32432	-10.129172	1
ENSMUSG00000037353	3.0923955	-110.27371	6
ENSMUSG00000022096	55.602734	-33.81567	1
ENSMUSG00000091311	3.1329882	74.95859	2
ENSMUSG00000096436	82.46407	-45.516434	8
ENSMUSG00000021661	-17.73259	-43.082867	4
ENSMUSG00000039620	-1.4062682	-12.951254	1
ENSMUSG00000033765	70.57711	-45.669415	1
ENSMUSG00000032584	83.955284	-43.374317	8
ENSMUSG00000072884	34.906178	-44.766422	1
ENSMUSG00000066896	23.992273	43.447147	0
ENSMUSG00000094606	87.36675	41.782684	0
ENSMUSG00000032783	32.33461	9.47146	0
ENSMUSG00000029093	95.7159	0.37732825	0
ENSMUSG00000030254	11.718409	-4.238302	1
ENSMUSG00000077991	-31.436018	50.53913	2
ENSMUSG00000021090	15.116681	27.414291	0
ENSMUSG00000094687	-31.452	50.59127	2
ENSMUSG00000055013	5.76286	-83.95616	6
ENSMUSG00000038204	70.56631	-32.515987	1
ENSMUSG00000020629	-82.04331	30.295874	7
ENSMUSG00000030881	-7.004868	-28.791624	4
ENSMUSG00000030662	-89.71027	-3.2367387	3
ENSMUSG00000020570	-76.22222	-1.7248497	3
ENSMUSG00000024401	57.312428	-3.5720313	0
ENSMUSG00000108885	72.778175	68.72847	0
ENSMUSG00000029015	68.37969	38.647255	0
ENSMUSG00000045179	-32.941166	47.22042	2
ENSMUSG00000063779	83.13409	34.107365	0
ENSMUSG00000070531	7.4927197	80.61671	2
ENSMUSG00000074183	-7.314933	-13.691468	1
ENSMUSG00000042849	34.21073	6.611041	0
ENSMUSG00000069939	64.30629	-74.985085	1
ENSMUSG00000025873	-93.33955	-17.784836	3
ENSMUSG00000034456	-51.036724	78.903114	11
ENSMUSG00000070817	47.675705	-27.016663	1
ENSMUSG00000024294	-63.85536	48.934258	7
ENSMUSG00000066463	87.56548	38.159473	0
ENSMUSG00000035376	-72.456726	-47.06817	3
ENSMUSG00000044252	-77.81129	48.905983	7
ENSMUSG00000055917	-17.01256	-87.18174	6
ENSMUSG00000071815	-32.229725	47.615105	2
ENSMUSG00000068882	-84.506065	2.2980566	3
ENSMUSG00000022685	-6.507138	-97.705826	6
ENSMUSG00000036292	-74.4206	-24.57395	3
ENSMUSG00000041202	98.295074	2.734122	0
ENSMUSG00000116360	20.390715	103.66767	2
ENSMUSG00000024528	-28.548094	-31.54138	4
ENSMUSG00000029861	40.8378	56.480324	0
ENSMUSG00000077221	24.01928	35.562195	0
ENSMUSG00000070469	62.915585	-37.180714	1
ENSMUSG00000115791	84.94756	13.216264	0
ENSMUSG00000097665	12.89866	27.095818	0
ENSMUSG00000046650	78.88477	-48.023426	8
ENSMUSG00000046667	3.3740842	-72.60036	9
ENSMUSG00000106902	8.84878	83.311516	2
ENSMUSG00000037169	50.923237	-58.75023	1
ENSMUSG00000049565	60.476536	11.427208	0
ENSMUSG00000033862	14.073748	-93.71191	6
ENSMUSG00000033774	61.674812	9.74692	0
ENSMUSG00000084592	77.35629	15.903603	0
ENSMUSG00000077998	7.6315174	78.57831	2
ENSMUSG00000021278	33.678616	32.784805	0
ENSMUSG00000027971	71.59665	-54.57788	8
ENSMUSG00000024758	-82.12013	5.8653145	3
ENSMUSG00000044921	50.628506	-27.63057	1
ENSMUSG00000054387	-76.139465	-7.647968	3
ENSMUSG00000062822	-43.682034	-74.71742	5
ENSMUSG00000028013	-75.02766	-24.002419	3
ENSMUSG00000042846	82.16854	-2.529008	0
ENSMUSG00000025403	-90.54832	47.47251	7
ENSMUSG00000031831	29.253468	37.397614	0
ENSMUSG00000087045	-31.252668	49.519703	2
ENSMUSG00000030739	-4.9816213	-85.09486	6
ENSMUSG00000037235	-99.08536	12.6326275	3
ENSMUSG00000021559	-75.74312	31.1849	7
