gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029422	9	0	2	4
ENSMUSG00000076126	20	0	13	0
ENSMUSG00000049036	20	0	4	0
ENSMUSG00000029577	0	0	3	3
ENSMUSG00000040746	17	0	2	4
ENSMUSG00000020590	24	0	3	3
ENSMUSG00000030263	1	0	10	1
ENSMUSG00000038914	0	0	3	3
ENSMUSG00000026878	19	0	12	3
ENSMUSG00000093241	20	1	4	6
ENSMUSG00000030098	5	0	12	5
ENSMUSG00000078908	21	0	19	2
ENSMUSG00000025056	20	0	1	0
ENSMUSG00000090129	20	0	7	0
ENSMUSG00000026407	15	0	11	9
ENSMUSG00000034239	20	0	4	0
ENSMUSG00000020818	1	0	0	1
ENSMUSG00000060038	1	0	0	1
ENSMUSG00000020029	23	0	12	5
ENSMUSG00000085958	1	1	14	8
ENSMUSG00000024292	5	0	12	5
ENSMUSG00000111356	20	0	16	0
ENSMUSG00000016831	17	0	2	4
ENSMUSG00000024791	20	0	5	0
ENSMUSG00000028398	21	0	19	2
ENSMUSG00000113338	20	0	1	0
ENSMUSG00000022586	20	0	7	0
ENSMUSG00000091034	20	0	4	0
ENSMUSG00000056204	0	0	3	3
ENSMUSG00000065472	20	0	13	0
ENSMUSG00000056197	20	0	13	0
ENSMUSG00000031986	1	0	0	1
ENSMUSG00000086259	20	0	16	0
ENSMUSG00000000244	1	0	14	1
ENSMUSG00000027519	17	0	2	4
ENSMUSG00000061086	20	0	5	0
ENSMUSG00000056290	1	0	10	1
ENSMUSG00000068206	1	0	0	1
ENSMUSG00000077815	20	0	16	0
ENSMUSG00000021208	1	0	0	1
ENSMUSG00000088054	20	0	16	0
ENSMUSG00000024998	17	0	2	4
ENSMUSG00000047248	21	0	19	2
ENSMUSG00000027981	21	0	19	2
ENSMUSG00000039683	20	0	5	0
ENSMUSG00000047117	20	0	16	0
ENSMUSG00000030278	21	0	0	2
ENSMUSG00000037419	1	0	0	1
ENSMUSG00000099616	20	0	16	0
ENSMUSG00000022208	20	0	7	0
ENSMUSG00000055197	20	0	4	0
ENSMUSG00000059632	20	0	13	0
ENSMUSG00000064823	20	0	7	0
ENSMUSG00000095629	20	1	7	6
ENSMUSG00000034829	20	0	7	0
ENSMUSG00000029380	7	0	2	7
ENSMUSG00000073001	20	0	1	0
ENSMUSG00000031073	20	0	16	0
ENSMUSG00000028047	1	0	18	1
ENSMUSG00000039196	6	0	12	5
ENSMUSG00000032673	21	0	19	2
ENSMUSG00000096584	20	0	6	0
ENSMUSG00000022773	1	0	14	1
ENSMUSG00000078597	7	0	2	7
ENSMUSG00000021494	21	0	19	2
ENSMUSG00000050248	1	0	14	1
ENSMUSG00000003752	1	0	0	1
ENSMUSG00000037353	21	0	19	2
ENSMUSG00000022096	1	0	18	1
ENSMUSG00000091311	20	0	1	0
ENSMUSG00000096436	20	1	5	6
ENSMUSG00000021661	1	0	0	1
ENSMUSG00000039620	1	0	10	1
ENSMUSG00000033765	20	0	16	0
ENSMUSG00000032584	20	0	5	0
ENSMUSG00000072884	1	0	14	1
ENSMUSG00000066896	20	0	16	0
ENSMUSG00000094606	20	1	4	6
ENSMUSG00000032783	20	0	7	0
ENSMUSG00000029093	20	0	18	0
ENSMUSG00000030254	1	0	10	1
ENSMUSG00000077991	20	0	13	0
ENSMUSG00000021090	20	0	7	0
ENSMUSG00000094687	20	0	6	0
ENSMUSG00000055013	21	0	19	2
ENSMUSG00000038204	1	0	17	1
ENSMUSG00000020629	24	0	3	3
ENSMUSG00000030881	21	0	0	2
ENSMUSG00000030662	0	0	3	3
ENSMUSG00000020570	9	0	3	3
ENSMUSG00000024401	20	0	7	0
ENSMUSG00000108885	20	0	4	0
ENSMUSG00000029015	20	0	16	0
ENSMUSG00000045179	20	0	6	0
ENSMUSG00000063779	20	1	4	6
ENSMUSG00000070531	20	0	1	0
ENSMUSG00000074183	20	0	14	0
ENSMUSG00000042849	20	0	7	0
ENSMUSG00000069939	1	0	14	1
ENSMUSG00000025873	0	0	3	3
ENSMUSG00000034456	5	0	12	5
ENSMUSG00000070817	1	0	14	1
ENSMUSG00000024294	19	0	12	3
ENSMUSG00000066463	20	1	4	6
ENSMUSG00000035376	17	0	2	4
ENSMUSG00000044252	19	0	3	3
ENSMUSG00000055917	21	0	19	2
ENSMUSG00000071815	20	0	8	0
ENSMUSG00000068882	24	0	3	3
ENSMUSG00000022685	21	0	19	2
ENSMUSG00000036292	9	0	2	4
ENSMUSG00000041202	20	0	5	0
ENSMUSG00000116360	20	0	1	0
ENSMUSG00000024528	1	0	0	1
ENSMUSG00000029861	20	0	18	0
ENSMUSG00000077221	20	0	16	0
ENSMUSG00000070469	1	0	14	1
ENSMUSG00000115791	20	0	5	0
ENSMUSG00000097665	20	0	7	0
ENSMUSG00000046650	20	0	5	0
ENSMUSG00000046667	21	0	19	2
ENSMUSG00000106902	20	1	4	6
ENSMUSG00000037169	20	0	14	0
ENSMUSG00000049565	20	0	7	0
ENSMUSG00000033862	21	0	19	2
ENSMUSG00000033774	20	0	7	0
ENSMUSG00000084592	20	1	7	6
ENSMUSG00000077998	20	0	6	0
ENSMUSG00000021278	20	0	16	0
ENSMUSG00000027971	20	0	5	0
ENSMUSG00000024758	24	0	3	3
ENSMUSG00000044921	1	0	14	1
ENSMUSG00000054387	9	0	3	3
ENSMUSG00000062822	9	0	2	4
ENSMUSG00000028013	0	0	2	3
ENSMUSG00000042846	20	0	5	0
ENSMUSG00000025403	8	0	3	3
ENSMUSG00000031831	20	0	16	0
ENSMUSG00000087045	20	0	9	0
ENSMUSG00000030739	21	0	19	2
ENSMUSG00000037235	8	0	3	3
ENSMUSG00000021559	8	0	3	3
ENSMUSG00000049252	20	0	16	0
ENSMUSG00000035805	20	0	13	0
ENSMUSG00000050870	20	0	6	0
ENSMUSG00000022931	20	0	13	0
ENSMUSG00000067360	20	0	8	0
ENSMUSG00000035262	20	0	16	0
ENSMUSG00000087223	20	0	5	0
ENSMUSG00000046791	1	0	10	1
ENSMUSG00000086745	20	0	13	0
ENSMUSG00000055826	20	0	1	0
ENSMUSG00000022451	0	0	3	3
ENSMUSG00000092734	20	0	16	0
ENSMUSG00000026700	20	0	4	0
ENSMUSG00000041852	8	0	3	3
ENSMUSG00000075086	20	1	16	6
ENSMUSG00000024776	1	0	10	1
ENSMUSG00000056035	16	0	12	5
ENSMUSG00000020000	6	0	2	3
ENSMUSG00000037946	1	0	10	1
ENSMUSG00000001656	20	1	4	6
ENSMUSG00000053146	20	0	5	0
ENSMUSG00000073982	1	0	0	1
ENSMUSG00000024393	0	0	3	3
ENSMUSG00000025433	20	0	16	0
ENSMUSG00000086552	20	0	7	0
ENSMUSG00000070972	17	0	2	4
ENSMUSG00000036139	20	0	7	0
ENSMUSG00000073768	1	1	14	8
ENSMUSG00000003573	1	0	14	1
ENSMUSG00000115744	1	0	14	1
ENSMUSG00000019920	17	0	2	4
ENSMUSG00000094892	20	0	5	0
ENSMUSG00000027495	8	0	3	3
ENSMUSG00000045989	20	0	4	0
ENSMUSG00000087424	1	0	14	1
ENSMUSG00000050328	20	0	1	0
ENSMUSG00000022705	20	0	4	0
ENSMUSG00000034543	21	0	19	2
ENSMUSG00000094734	20	0	6	0
ENSMUSG00000071753	20	0	14	0
ENSMUSG00000020919	0	0	3	3
ENSMUSG00000036214	21	0	19	2
ENSMUSG00000079069	20	0	16	0
ENSMUSG00000103116	20	0	6	0
ENSMUSG00000097368	1	0	14	1
ENSMUSG00000039230	17	0	2	4
ENSMUSG00000035713	1	0	14	1
ENSMUSG00000059995	21	0	19	2
ENSMUSG00000033831	3	0	12	5
ENSMUSG00000029730	1	0	0	1
ENSMUSG00000019841	9	0	2	4
ENSMUSG00000040543	20	0	18	0
ENSMUSG00000091537	24	0	3	3
ENSMUSG00000026420	20	0	4	0
ENSMUSG00000027550	1	0	0	1
ENSMUSG00000073971	20	0	16	0
ENSMUSG00000028607	8	0	3	3
ENSMUSG00000039210	21	0	19	2
ENSMUSG00000032231	21	0	19	2
ENSMUSG00000078593	20	0	6	0
ENSMUSG00000028165	9	0	2	4
ENSMUSG00000075273	1	0	0	1
ENSMUSG00000049618	20	0	1	0
ENSMUSG00000002496	0	0	3	3
ENSMUSG00000055692	20	0	5	0
ENSMUSG00000031160	20	0	9	0
ENSMUSG00000030983	0	0	3	3
ENSMUSG00000078640	20	0	4	0
ENSMUSG00000046675	1	0	0	1
ENSMUSG00000051811	20	0	18	0
ENSMUSG00000028651	1	0	0	1
ENSMUSG00000024425	23	0	12	5
ENSMUSG00000046613	20	0	16	0
ENSMUSG00000070501	1	0	14	1
ENSMUSG00000049612	20	1	14	6
ENSMUSG00000091996	20	0	5	0
ENSMUSG00000078038	20	0	6	0
ENSMUSG00000042216	1	0	10	1
ENSMUSG00000069036	20	0	4	0
ENSMUSG00000079407	20	1	7	6
ENSMUSG00000021823	17	0	2	4
ENSMUSG00000033808	21	0	19	2
ENSMUSG00000051098	21	0	0	2
ENSMUSG00000061633	20	0	4	0
ENSMUSG00000056870	1	0	10	1
ENSMUSG00000030093	20	0	4	0
ENSMUSG00000000194	21	0	2	2
