gene_id	x	y	consensus
ENSMUSG00000029422	-80.231636	35.895157	4
ENSMUSG00000076126	-30.134577	-46.83927	0
ENSMUSG00000049036	16.890368	-94.35099	0
ENSMUSG00000029577	-59.62702	-0.1302886	3
ENSMUSG00000040746	-51.543472	23.680935	4
ENSMUSG00000020590	-92.38927	-0.6460921	3
ENSMUSG00000030263	52.935364	47.107533	1
ENSMUSG00000038914	-89.03696	7.7896013	3
ENSMUSG00000026878	-92.14992	-33.229626	3
ENSMUSG00000093241	0.48868465	-74.258286	6
ENSMUSG00000030098	-77.56315	-35.484978	5
ENSMUSG00000078908	-3.3784468	61.958344	2
ENSMUSG00000025056	-27.155975	-88.19285	0
ENSMUSG00000090129	25.585009	-11.207438	0
ENSMUSG00000026407	-36.008324	-0.9957924	9
ENSMUSG00000034239	-21.646137	-93.26197	0
ENSMUSG00000020818	5.927265	63.32422	1
ENSMUSG00000060038	22.446127	34.060516	1
ENSMUSG00000020029	-88.44566	-42.52419	5
ENSMUSG00000085958	103.68326	10.427519	8
ENSMUSG00000024292	-71.50561	-36.902798	5
ENSMUSG00000111356	9.664718	-57.82978	0
ENSMUSG00000016831	-67.597664	24.212559	4
ENSMUSG00000024791	48.35587	-25.029814	0
ENSMUSG00000028398	-40.54528	49.57708	2
ENSMUSG00000113338	-47.84915	-74.31376	0
ENSMUSG00000022586	18.915401	-35.83198	0
ENSMUSG00000091034	-15.454813	-66.58252	0
ENSMUSG00000056204	-59.987114	6.6217933	3
ENSMUSG00000065472	-24.583372	-32.88715	0
ENSMUSG00000056197	-24.583372	-32.88715	0
ENSMUSG00000031986	6.1399994	72.53064	1
ENSMUSG00000086259	18.703728	-48.542995	0
ENSMUSG00000000244	85.857155	33.533024	1
ENSMUSG00000027519	-60.51649	37.93343	4
ENSMUSG00000061086	67.1639	-12.008351	0
ENSMUSG00000056290	58.174908	78.472496	1
ENSMUSG00000068206	6.2912636	33.98504	1
ENSMUSG00000077815	25.98855	-49.669395	0
ENSMUSG00000021208	44.41791	69.53473	1
ENSMUSG00000088054	13.206238	-44.206482	0
ENSMUSG00000024998	-49.654568	47.577297	4
ENSMUSG00000047248	-20.718616	69.34107	2
ENSMUSG00000027981	-30.918917	87.14564	2
ENSMUSG00000039683	66.86661	-16.55397	0
ENSMUSG00000047117	23.001616	-63.25271	0
ENSMUSG00000030278	25.887314	60.861916	2
ENSMUSG00000037419	42.44485	72.03996	1
ENSMUSG00000099616	20.76642	-59.964527	0
ENSMUSG00000022208	21.210258	-25.790358	0
ENSMUSG00000055197	4.3099537	-100.56048	0
ENSMUSG00000059632	-25.686733	-34.896717	0
ENSMUSG00000064823	25.628796	-32.933807	0
ENSMUSG00000095629	12.111398	-17.111864	6
ENSMUSG00000034829	10.508765	-36.90786	0
ENSMUSG00000029380	-37.77788	44.11489	7
ENSMUSG00000073001	-42.38309	-81.938614	0
ENSMUSG00000031073	6.1237617	-57.828888	0
ENSMUSG00000028047	51.046654	4.3459253	1
ENSMUSG00000039196	-62.05602	-54.844234	5
ENSMUSG00000032673	-43.065845	75.34837	2
ENSMUSG00000096584	-13.213626	-4.0160728	0
ENSMUSG00000022773	88.79134	37.93575	1
ENSMUSG00000078597	-37.77354	44.044136	7
ENSMUSG00000021494	-24.446215	34.19355	2
ENSMUSG00000050248	55.33738	18.376627	1
ENSMUSG00000003752	34.145447	58.66639	1
ENSMUSG00000037353	-36.481495	60.384987	2
ENSMUSG00000022096	51.079056	5.436887	1
ENSMUSG00000091311	-25.124811	-87.48709	0
ENSMUSG00000096436	97.20798	-24.263563	6
ENSMUSG00000021661	3.9495544	76.89622	1
ENSMUSG00000039620	75.01278	53.068443	1
ENSMUSG00000033765	25.777893	-51.11846	0
ENSMUSG00000032584	53.44404	-13.455261	0
ENSMUSG00000072884	89.33303	11.951992	1
ENSMUSG00000066896	5.5929556	-38.593296	0
ENSMUSG00000094606	-8.416321	-68.90953	6
ENSMUSG00000032783	34.090508	-29.669632	0
ENSMUSG00000029093	50.787853	-8.540955	0
ENSMUSG00000030254	72.5629	61.909653	1
ENSMUSG00000077991	-18.54276	-43.16116	0
ENSMUSG00000021090	16.909637	-26.350052	0
ENSMUSG00000094687	-12.705019	-4.113251	0
ENSMUSG00000055013	-10.718708	28.59354	2
ENSMUSG00000038204	33.67176	13.960147	1
ENSMUSG00000020629	-95.89058	-14.075986	3
ENSMUSG00000030881	5.547169	52.353745	2
ENSMUSG00000030662	-60.42775	-5.58254	3
ENSMUSG00000020570	-93.39832	14.60891	3
