location	variable	clusters_tested	median_eta_squared	max_eta_squared	strong_driver_clusters
FLT	h5_accession	16	0.6040957831022402	0.9411800252979861	14
FLT	mission	16	0.6040957831022402	0.9411800252979861	14
FLT	strain	16	0.10496459875240635	0.8909768549847394	2
FLT	sex	16	0.003835155196789554	0.8153395916286307	2
FLT	library_selection	16	0.2678224392664441	0.588310549415426	10
FLT	sequencing_instrument	16	0.060649868010412986	0.13443131908421727	0
FLT	library_layout	16	0.050545364271487286	0.08933089525746188	0
GC	h5_accession	15	0.5740413315553256	0.9654684118780771	12
GC	mission	15	0.5740413315553256	0.9654684118780771	12
GC	strain	15	0.1701109925074266	0.9131987194471801	3
GC	sex	15	0.018204084490171184	0.8426523671371801	1
GC	library_selection	15	0.1866234679013586	0.4634718419655892	5
GC	sequencing_instrument	15	0.03230167413728423	0.06990306550268909	0
GC	library_layout	15	0.006924995333579297	0.06418716559954386	0
