location	cluster	n_genes	feature	profile	cluster_mean_log2_expression	h5_accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	RR8_LVR_FLT_ISS-T_OLD_FI11	1.384558916091919	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	RR8_LVR_FLT_ISS-T_OLD_FI12	1.4873948097229004	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	RR8_LVR_FLT_ISS-T_OLD_FI13	1.3262155055999756	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	RR8_LVR_FLT_ISS-T_OLD_FI14	1.4216479063034058	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	RR8_LVR_FLT_ISS-T_OLD_FI15	1.0651557445526123	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	RR8_LVR_FLT_ISS-T_OLD_FI16	1.7961242198944092	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	RR8_LVR_FLT_ISS-T_OLD_FI17	2.4515795707702637	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	RR8_LVR_FLT_ISS-T_OLD_FI18	1.5065959692001343	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	RR8_LVR_FLT_ISS-T_OLD_FI19	1.2910265922546387	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	RR8_LVR_FLT_ISS-T_OLD_FI20	1.419881820678711	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	RR8_LVR_FLT_ISS-T_YNG_FI1	1.366852879524231	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	RR8_LVR_FLT_ISS-T_YNG_FI10	1.4964550733566284	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
