sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
