gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000032098	Treh	8	1.55178199174935	0.114810712731155	13.5160034707132	1.2582817570586e-41	8	0	56.4384152689973	87.5971003674775	7.72880075355128e-10	2.07931060353934e-37	TRUE	TRUE	all_up
ENSMUSG00000032080	Apoa4	8	1.34756072046848	0.107515665236739	12.5336221238206	4.88782770328025e-36	8	0	102.903120843761	93.1974852243518	2.71012168299511e-19	4.0385676398353e-32	TRUE	TRUE	all_up
ENSMUSG00000096674	Mup15	7	-1.88428918619377	0.170880636071066	-11.0269321879755	2.83366893516707e-28	1	6	43.7229886769966	86.2772418319229	8.3884753481687e-08	1.5608793051212e-24	TRUE	TRUE	mixed
ENSMUSG00000053469	Tg	2	3.37804442619013	0.317761246796688	10.6307627511025	2.14352131835987e-26	2	0	14.1330433050984	92.9243831041029	0.000170325417681641	8.8554224464742e-23	TRUE	TRUE	all_up
ENSMUSG00000028715	Cyp4a14	8	1.14800786280893	0.1112144332279	10.3224719084476	5.57685630246982e-25	6	2	202.203561283701	96.5381420804065	3.91868177865869e-40	1.84315100796627e-21	TRUE	TRUE	mixed
ENSMUSG00000045868	Gvin1	7	-0.792188785461131	0.0895441770446788	-8.846904529212	8.99803072674732e-19	1	6	35.2007899511383	82.9549279765354	3.94015573429339e-06	2.47820762932499e-15	TRUE	FALSE	mixed
ENSMUSG00000078675	Mup16	8	-1.08507016426105	0.123101756035627	-8.81441661926429	1.2030987641013e-18	1	7	26.9062395989503	73.9837297803849	0.000346480524550207	2.84017243953915e-15	TRUE	TRUE	mixed
ENSMUSG00000060586	H2-Eb1	8	-0.573824365926987	0.0698272975356371	-8.21776563290495	2.07329638738204e-16	1	7	53.7353063635214	86.9731830453432	2.65314394191906e-09	4.28265285018603e-13	TRUE	FALSE	mixed
ENSMUSG00000078921	Tgtp2	8	-0.528628140667606	0.0644877759588994	-8.19733868639727	2.45767281280577e-16	1	7	42.5554016416424	83.5508543452444	4.06418248132478e-07	4.51256035906837e-13	TRUE	FALSE	mixed
ENSMUSG00000040998	Npnt	7	1.01600324973337	0.125526213623519	8.09395281196473	5.77590725398376e-16	5	2	29.341341319668	79.551037102799	5.24226273409548e-05	9.25922473628113e-13	TRUE	TRUE	mixed
ENSMUSG00000070332	Trim80	6	1.09180813645403	0.135023796999442	8.08604231784817	6.16347788799349e-16	6	0	27.7267195374809	81.966853333511	4.11604698039457e-05	9.25922473628113e-13	TRUE	TRUE	all_up
ENSMUSG00000024411	Aqp4	8	0.765247279247593	0.0979254022485364	7.81459418778165	5.51403892767688e-15	7	1	57.9294685257023	87.9163400284016	3.9051836330286e-10	7.59329110665504e-12	TRUE	FALSE	mixed
ENSMUSG00000029272	Sult1e1	8	1.22499327671746	0.158434201204003	7.7318739729696	1.05974831785431e-14	6	2	117.213217249657	94.0279772501335	2.91315434064723e-22	1.34710315019557e-11	TRUE	TRUE	mixed
ENSMUSG00000024610	Cd74	8	-0.557909815746074	0.0722696913279287	-7.71983116981254	1.16483891694097e-14	0	8	61.3915122716353	88.5977723288074	7.95696121087813e-11	1.37492593588925e-11	TRUE	FALSE	all_down
ENSMUSG00000096688	Mup17	8	-1.31160511359194	0.173164453812933	-7.57433228766942	3.60979389476845e-14	3	5	71.1036560235364	90.1552179009151	8.83788508720163e-13	3.97678960740324e-11	TRUE	TRUE	mixed
ENSMUSG00000074794	Arrdc3	8	-0.640708733114309	0.0849577692324198	-7.54149666243608	4.64607967097568e-14	1	7	87.1068361449864	91.9638913433284	4.8532234385587e-16	4.79852916017957e-11	TRUE	FALSE	mixed
