flt_cluster	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	3600	47	0	0	0	0	599	0	1	0	8	0	5	0	0
1	548	3315	17	1	0	0	29	98	147	0	0	2	0	0	0
2	2103	0	0	0	0	0	77	0	0	0	10	0	4	0	0
3	0	0	1	1360	683	41	0	24	0	1	0	0	0	0	0
4	2	1010	455	0	0	0	0	48	11	2	0	9	0	0	0
5	0	2	292	9	1099	15	0	45	0	34	0	0	0	0	0
6	0	0	1064	2	35	0	0	19	0	1	0	2	0	0	0
7	0	0	0	584	0	496	0	0	0	4	0	0	0	2	0
8	882	44	0	0	0	0	87	0	2	0	0	0	0	0	0
9	0	22	930	0	1	0	0	14	0	0	0	5	0	0	0
10	415	1	0	0	0	0	83	0	0	0	5	0	5	0	0
11	0	0	0	0	0	484	0	0	0	0	0	0	0	6	1
12	0	1	0	2	0	0	0	17	0	24	0	0	0	0	0
13	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
