gc_cluster	gene_count	flt_clusters_spanned	top_flt_cluster	top_flt_overlap	top_flt_overlap_fraction	flt_cluster_entropy
0	7552	7	0	3600	0.4766949152542373	1.8958809188859944
1	4448	9	1	3315	0.7452787769784173	0.9981950700023697
2	2759	6	6	1064	0.3856469735411381	1.8800671759645964
3	1958	6	3	1360	0.6945863125638406	0.9473414844626402
4	1818	4	5	1099	0.6045104510451045	1.0852609089969616
5	1043	5	7	496	0.47555129434324067	1.3439485121547934
6	875	5	0	599	0.6845714285714286	1.4991857519616067
7	265	7	1	98	0.36981132075471695	2.4762911378447527
8	161	4	1	147	0.9130434782608695	0.5085219557794876
9	66	6	5	34	0.5151515151515151	1.6048056857248278
10	23	3	2	10	0.43478260869565216	1.5310001550435157
11	18	4	4	9	0.5	1.7177602521413333
12	14	3	10	5	0.35714285714285715	1.5774062828523454
13	8	2	11	6	0.75	0.8112781244591328
14	2	2	15	1	0.5	1.0
