gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000032231	Anxa2	8	-0.536712731607527	0.0025639706149115297	-209.32873742238513	0.0	0.0	1	7	25.60987114271571	72.66678945399134	0.0005912174193608628	False	mixed
ENSMUSG00000079557	Marchf2	8	-0.23864620086304353	0.006203199516108434	-38.47146948011722	0.0	0.0	2	6	14.834254651547937	52.811919678960365	0.03818369048506512	False	mixed
ENSMUSG00000061482	H4c4	8	-0.7385519862034944	0.014381071972834319	-51.355836866584816	0.0	0.0	4	4	50.91810962557973	86.2524354272504	9.534732306837418e-09	False	mixed
ENSMUSG00000073643	Wdfy1	8	-0.570347456165584	0.011652487914376198	-48.94641044526815	0.0	0.0	3	5	115.14681144496859	93.92080430872768	7.836122082047785e-22	False	mixed
ENSMUSG00000029715	Pop7	8	-0.6317390698059425	0.008474063118243932	-74.54972437553154	0.0	0.0	4	4	70.06337879937145	90.0090459239131	1.4344929752009255e-12	False	mixed
ENSMUSG00000032040	Dcps	8	-0.6018119514902759	0.014918523844941417	-40.33991283221622	0.0	0.0	2	6	117.93741975181229	94.06464884959259	2.0591020486401902e-22	False	mixed
ENSMUSG00000050541	Adra1b	8	-0.895092106467183	0.013250981399536323	-67.54911802219449	0.0	0.0	2	6	120.05074669777319	94.16913247726609	7.477066966577294e-23	False	mixed
ENSMUSG00000042228	Lyn	8	-0.7579590604655638	0.014639263180194378	-51.77576570185684	0.0	0.0	1	7	161.16649434868717	95.65666546989888	1.822592173725041e-31	False	mixed
ENSMUSG00000030409	Dmpk	8	-0.8034774359156843	0.019463843856527087	-41.280511796041914	0.0	0.0	2	6	55.460219339417904	87.37834057748704	1.2084536801430211e-09	False	mixed
ENSMUSG00000069922	Ces3a	8	-0.6906963991448019	0.016834673054131274	-41.028203929110646	0.0	0.0	2	6	61.602811828005514	88.63688232357974	7.218910951121891e-11	False	mixed
ENSMUSG00000031974	Abcb10	8	-0.9971185649242253	0.015930110865410865	-62.59332237851993	0.0	0.0	2	6	309.20220459193126	97.73610928510739	6.547621174409436e-63	False	mixed
ENSMUSG00000070873	Lilra5	8	-1.3156791552678393	0.030257647789397914	-43.48253256252275	0.0	0.0	0	8	114.46188357462819	93.88442704122019	1.087595887254336e-21	True	all_down
ENSMUSG00000074794	Arrdc3	8	-1.9181967436142353	0.05067227271410389	-37.854957768261556	0.0	0.0	2	6	392.1040979468991	98.21475979551023	1.17645183203035e-80	True	mixed
ENSMUSG00000041272	Tox	8	0.8098022756345881	0.007151580471158805	113.2340297225757	0.0	0.0	5	3	141.4737852145527	95.05208686585708	2.4963012923843682e-27	False	mixed
ENSMUSG00000032026	Rexo2	8	-0.5032298051778631	0.008940120209546747	-56.28893050459063	0.0	0.0	3	5	114.47057733430194	93.8848915039914	1.0830805096232621e-21	False	mixed
ENSMUSG00000022668	Gtpbp8	8	-0.3315390310301496	0.002268843287031551	-146.12689775675068	0.0	0.0	4	4	49.71918654841933	85.92092814474547	1.639929452776201e-08	False	mixed
ENSMUSG00000071281	Zfp65	8	-0.388369596917385	0.007946361594888011	-48.873889298874566	0.0	0.0	3	5	51.98090949917844	86.5335176559182	5.8893596918684104e-09	False	mixed
