location	cluster	n_genes	variable	n_groups	eta_squared	p_value	fdr_bh	strong_batch_driver
FLT	14	7	h5_accession	8	0.9411800252979861	2.749929070245467e-48	4.399886512392747e-47	True
FLT	8	1015	h5_accession	8	0.7982988270904371	2.9890845214241013e-26	2.391267617139281e-25	True
FLT	13	8	h5_accession	8	0.7795258889009481	1.1334812574317306e-24	6.04523337296923e-24	True
FLT	1	4157	h5_accession	8	0.7113645909847467	6.507100094445712e-20	2.6028400377782848e-19	True
FLT	0	4260	h5_accession	8	0.6848925495528949	2.265337438630737e-18	7.249079803618358e-18	True
FLT	7	1086	h5_accession	8	0.6216953580162263	3.533669752913881e-15	9.423119341103684e-15	True
FLT	3	2110	h5_accession	8	0.6141058553006792	7.823503123504633e-15	1.7882292853724876e-14	True
FLT	11	491	h5_accession	8	0.6107711892075764	1.1035570146257059e-14	2.2071140292514118e-14	True
FLT	6	1123	h5_accession	8	0.5974203769969041	4.24210537131627e-14	7.541520660117814e-14	True
FLT	4	1537	h5_accession	8	0.5905951117303586	8.290954216185771e-14	1.3265526745897234e-13	True
FLT	5	1496	h5_accession	8	0.544901186817586	5.519031075532352e-12	8.027681564410693e-12	True
FLT	9	972	h5_accession	8	0.5198976273952071	4.5404991937025505e-11	6.053998924936734e-11	True
FLT	10	509	h5_accession	8	0.3621933188045658	2.544084144430892e-06	3.1311804854534057e-06	True
FLT	15	1	h5_accession	8	0.2508120464756522	0.0008695590716444637	0.0009937817961651013	True
FLT	2	2194	h5_accession	8	0.14211788567153288	0.06975827423380798	0.07440882584939518	False
FLT	12	44	h5_accession	8	0.12185058773723582	0.13417289330980486	0.13417289330980486	False
GC	13	8	h5_accession	8	0.9654684118780771	2.117505699543651e-51	3.1762585493154766e-50	True
GC	11	18	h5_accession	8	0.8035066593913138	1.1810951611587917e-23	8.858213708690938e-23	True
GC	3	1958	h5_accession	8	0.6523208930299176	1.0567619020603847e-14	5.2838095103019234e-14	True
GC	1	4448	h5_accession	8	0.6477722812442608	1.6809381213477027e-14	6.303517955053885e-14	True
GC	4	1818	h5_accession	8	0.6440706525537209	2.441037445433394e-14	6.885804821328523e-14	True
GC	8	161	h5_accession	8	0.6428637980285405	2.7543219285314092e-14	6.885804821328523e-14	True
GC	2	2759	h5_accession	8	0.5843624187151183	6.004752263998489e-12	1.2867326279996762e-11	True
GC	0	7552	h5_accession	8	0.5740413315553256	1.4262012478003947e-11	2.67412733962574e-11	True
GC	5	1043	h5_accession	8	0.5632882096518368	3.4294356671796324e-11	5.7157261119660544e-11	True
GC	6	875	h5_accession	8	0.531795174628529	3.9327892366414646e-10	5.899183854962198e-10	True
GC	10	23	h5_accession	8	0.45235026731149447	8.851827918704231e-08	1.207067443459668e-07	True
GC	7	265	h5_accession	8	0.2577718158664504	0.0018625787421064001	0.002328223427633	True
GC	12	14	h5_accession	8	0.23795353983623757	0.004131282239354602	0.004766864122332233	False
GC	9	66	h5_accession	8	0.09604146872394183	0.3579541940272014	0.38352235074343005	False
GC	14	2	h5_accession	8	0.0848602164802753	0.4521305435438173	0.4521305435438173	False
