profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	h5_accession	h5_sample_name	h5_accession_sample_name	project_identifier	project_type	assay_technology	source_name	material_type	tissue_type	spaceflight_factor	sex	strain	genotype	age_at_launch	age	duration	sample_preservation_method	library_selection	library_layout	sequencing_instrument	condition_label	accession_order
RR8_LVR_FLT_ISS-T_OLD_FI11	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1658	flight	RR8_LVR_FLT_ISS-T_OLD_FI11	FL_ISS_11	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI11	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_11	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI12	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1659	flight	RR8_LVR_FLT_ISS-T_OLD_FI12	FL_ISS_12	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI12	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_12	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI13	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1660	flight	RR8_LVR_FLT_ISS-T_OLD_FI13	FL_ISS_13	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI13	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_13	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI14	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1661	flight	RR8_LVR_FLT_ISS-T_OLD_FI14	FL_ISS_14	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI14	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_14	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1662	flight	RR8_LVR_FLT_ISS-T_OLD_FI15	FL_ISS_15	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_15	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1663	flight	RR8_LVR_FLT_ISS-T_OLD_FI16	FL_ISS_16	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_16	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1664	flight	RR8_LVR_FLT_ISS-T_OLD_FI17	FL_ISS_17	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_17	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1665	flight	RR8_LVR_FLT_ISS-T_OLD_FI18	FL_ISS_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_18	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI19	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1666	flight	RR8_LVR_FLT_ISS-T_OLD_FI19	FL_ISS_19	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI19	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_19	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1667	flight	RR8_LVR_FLT_ISS-T_OLD_FI20	FL_ISS_20	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_20	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1668	flight	RR8_LVR_FLT_ISS-T_YNG_FI1	FL_ISS_01	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_01	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1669	flight	RR8_LVR_FLT_ISS-T_YNG_FI10	FL_ISS_10	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_10	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1670	flight	RR8_LVR_FLT_ISS-T_YNG_FI2	FL_ISS_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_02	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
