location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
FLT,1,0.09444526,0.09444526,3.517,3s,2.618
FLT,2,0.08254129,0.08254129,6.088,6s,2.571
FLT,3,0.08222159,0.08222159,8.631,8s,2.542
FLT,4,0.08209735,0.08209735,11.164,11s,2.532
FLT,5,0.08198309,0.08198309,13.754,13s,2.59
FLT,6,0.08193827,0.08193827,16.301,16s,2.546
FLT,7,0.08188405,0.08188405,18.893,18s,2.592
FLT,8,0.08178004,0.08178004,21.516,21s,2.623
FLT,9,0.08169824,0.08169824,24.087,24s,2.571
FLT,10,0.08174343,0.08169824,26.648,26s,2.56
FLT,11,0.08170706,0.08169824,29.232,29s,2.583
FLT,12,0.08169791,0.08169791,31.769,31s,2.537
FLT,13,0.08167011,0.08167011,34.342,34s,2.572
FLT,14,0.08165521,0.08165521,36.928,36s,2.585
FLT,15,0.08164259,0.08164259,39.491,39s,2.563
FLT,16,0.08159765,0.08159765,42.07,42s,2.578
FLT,17,0.08159592,0.08159592,44.668,44s,2.598
FLT,18,0.08163413,0.08159592,47.248,47s,2.579
FLT,19,0.08166083,0.08159592,49.838,49s,2.59
FLT,20,0.08164359,0.08159592,52.422,52s,2.584
FLT,21,0.08159365,0.08159365,54.992,54s,2.569
FLT,22,0.08155859,0.08155859,57.573,57s,2.58
FLT,23,0.08167075,0.08155859,60.124,1m 0s,2.551
FLT,24,0.08157264,0.08155859,62.74,1m 2s,2.616
FLT,25,0.08156499,0.08155859,65.54,1m 5s,2.799
FLT,26,0.08154471,0.08154471,68.158,1m 8s,2.617
FLT,27,0.08156633,0.08154471,70.763,1m 10s,2.605
FLT,28,0.08159954,0.08154471,73.337,1m 13s,2.573
FLT,29,0.08153502,0.08153502,76.014,1m 16s,2.676
FLT,30,0.08154457,0.08153502,78.506,1m 18s,2.492
