location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
GC,1,0.09578437,0.09578437,2.882,2s,2.59
GC,2,0.08652853,0.08652853,5.434,5s,2.551
GC,3,0.08577508,0.08577508,8.011,8s,2.577
GC,4,0.08550646,0.08550646,10.67,10s,2.658
GC,5,0.08533358,0.08533358,13.419,13s,2.749
GC,6,0.08524318,0.08524318,16.022,16s,2.603
GC,7,0.08503039,0.08503039,18.65,18s,2.627
GC,8,0.08489814,0.08489814,21.314,21s,2.664
GC,9,0.08483489,0.08483489,23.912,23s,2.598
GC,10,0.08476921,0.08476921,26.561,26s,2.649
GC,11,0.0844855,0.0844855,29.078,29s,2.516
GC,12,0.0846294,0.0844855,31.65,31s,2.571
GC,13,0.08440728,0.08440728,34.278,34s,2.628
GC,14,0.08436686,0.08436686,36.851,36s,2.573
GC,15,0.08436143,0.08436143,39.52,39s,2.668
GC,16,0.08446267,0.08436143,42.096,42s,2.576
GC,17,0.08432136,0.08432136,44.62,44s,2.524
GC,18,0.08444603,0.08432136,47.238,47s,2.617
GC,19,0.0843632,0.08432136,49.929,49s,2.69
GC,20,0.08436417,0.08432136,52.718,52s,2.789
GC,21,0.08429282,0.08429282,55.373,55s,2.654
GC,22,0.08432718,0.08429282,58.092,58s,2.718
GC,23,0.08436247,0.08429282,60.831,1m 0s,2.738
GC,24,0.08434126,0.08429282,63.612,1m 3s,2.78
GC,25,0.08446672,0.08429282,66.293,1m 6s,2.681
GC,26,0.08432258,0.08429282,69.156,1m 9s,2.862
GC,27,0.08426172,0.08426172,71.763,1m 11s,2.607
GC,28,0.08428215,0.08426172,74.456,1m 14s,2.692
GC,29,0.08428203,0.08426172,77.155,1m 17s,2.699
GC,30,0.08426146,0.08426146,80.074,1m 20s,2.918
