gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000029422	9.359889	-5.5846634	-0.42640603	3
ENSMUSG00000076126	-7.058002	-0.6577601	0.0077488716	1
ENSMUSG00000049036	-7.0149713	-0.72245586	0.06716459	1
ENSMUSG00000029577	6.565884	9.002827	-0.068118155	2
ENSMUSG00000040746	8.47964	-5.9877276	0.27175632	0
ENSMUSG00000020590	8.38281	10.476475	0.07202142	2
ENSMUSG00000030263	0.25899142	-3.4182892	0.38048396	0
ENSMUSG00000038914	11.676551	-6.464479	-0.2793955	3
ENSMUSG00000026878	15.273956	-8.629775	0.7191744	3
ENSMUSG00000093241	-7.058743	-0.65218705	0.015525784	1
ENSMUSG00000030098	15.320386	-10.385777	2.546148	3
ENSMUSG00000078908	4.3643785	-3.9414017	-0.44161448	0
ENSMUSG00000025056	-7.0566044	-0.66419476	0.016305972	1
ENSMUSG00000090129	-6.6538825	-0.82329834	0.20083126	1
ENSMUSG00000026407	-4.3752556	-0.58904773	-0.9516591	1
ENSMUSG00000034239	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000020818	1.6969945	5.4033117	-0.16418305	2
ENSMUSG00000060038	1.4464211	-2.7800827	-0.6720705	0
ENSMUSG00000020029	16.989296	-8.096348	-0.3593533	3
ENSMUSG00000085958	-4.776664	1.094359	0.07693389	1
ENSMUSG00000024292	17.046694	-9.464802	0.9841558	3
ENSMUSG00000111356	-6.895635	-0.6132044	-0.07862731	1
ENSMUSG00000016831	6.599599	9.519131	0.5369894	2
ENSMUSG00000024791	-6.102204	-0.6609076	0.054632876	1
ENSMUSG00000028398	6.8704333	-4.4360604	-0.7240008	0
ENSMUSG00000113338	-7.0560994	-0.65769166	0.006374746	1
ENSMUSG00000022586	-6.6495132	-0.16022107	0.26915446	1
ENSMUSG00000091034	-7.0585384	-0.65160865	0.017079588	1
ENSMUSG00000056204	11.004497	-6.620315	0.06965333	3
ENSMUSG00000065472	-7.059613	-0.6548992	0.013211932	1
ENSMUSG00000056197	-7.046082	-0.67892075	0.03219619	1
ENSMUSG00000031986	1.1181595	5.457127	0.31875163	2
ENSMUSG00000086259	-6.7709064	-0.9773728	0.24101819	1
