gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029422	16	4	0	6
ENSMUSG00000076126	3	0	22	1
ENSMUSG00000049036	3	0	20	1
ENSMUSG00000029577	1	2	11	9
ENSMUSG00000040746	16	4	0	6
ENSMUSG00000020590	12	0	11	8
ENSMUSG00000030263	4	3	10	3
ENSMUSG00000038914	2	4	8	12
ENSMUSG00000026878	7	4	17	14
ENSMUSG00000093241	3	0	12	1
ENSMUSG00000030098	7	4	17	14
ENSMUSG00000078908	15	3	16	5
ENSMUSG00000025056	3	0	18	1
ENSMUSG00000090129	11	0	3	0
ENSMUSG00000026407	0	1	6	11
ENSMUSG00000034239	3	0	4	1
ENSMUSG00000020818	10	2	5	2
ENSMUSG00000060038	4	3	10	3
ENSMUSG00000020029	7	4	17	14
ENSMUSG00000085958	19	1	1	7
ENSMUSG00000024292	7	4	17	14
ENSMUSG00000111356	11	0	13	0
ENSMUSG00000016831	1	2	11	9
ENSMUSG00000024791	11	0	3	0
ENSMUSG00000028398	6	3	16	5
ENSMUSG00000113338	3	0	22	1
ENSMUSG00000022586	11	0	3	0
ENSMUSG00000091034	3	0	12	1
ENSMUSG00000056204	2	4	8	12
ENSMUSG00000065472	3	0	12	1
ENSMUSG00000056197	3	0	7	1
ENSMUSG00000031986	10	2	15	2
ENSMUSG00000086259	11	0	3	0
ENSMUSG00000000244	19	1	1	7
ENSMUSG00000027519	16	4	0	6
ENSMUSG00000061086	14	0	6	4
ENSMUSG00000056290	13	1	15	10
ENSMUSG00000068206	6	3	9	5
ENSMUSG00000077815	11	0	19	0
ENSMUSG00000021208	4	3	10	3
ENSMUSG00000088054	11	0	13	0
ENSMUSG00000024998	16	4	0	6
ENSMUSG00000047248	17	2	5	2
ENSMUSG00000027981	15	3	16	5
ENSMUSG00000039683	14	0	6	4
ENSMUSG00000047117	3	0	4	1
ENSMUSG00000030278	4	3	2	3
ENSMUSG00000037419	13	2	15	10
ENSMUSG00000099616	11	0	19	0
ENSMUSG00000022208	11	0	3	0
ENSMUSG00000055197	3	0	4	1
ENSMUSG00000059632	3	0	22	1
ENSMUSG00000064823	11	0	3	0
ENSMUSG00000095629	11	0	3	0
ENSMUSG00000034829	11	0	20	0
ENSMUSG00000029380	10	2	15	2
ENSMUSG00000073001	3	0	4	1
ENSMUSG00000031073	3	0	7	1
ENSMUSG00000028047	14	0	6	4
ENSMUSG00000039196	9	0	14	8
ENSMUSG00000032673	17	2	5	2
ENSMUSG00000096584	3	0	4	1
ENSMUSG00000022773	8	5	2	13
ENSMUSG00000078597	18	5	1	7
ENSMUSG00000021494	17	2	5	2
ENSMUSG00000050248	0	5	6	11
ENSMUSG00000003752	15	3	10	3
ENSMUSG00000037353	6	4	16	6
ENSMUSG00000022096	14	0	6	4
ENSMUSG00000091311	3	0	4	1
ENSMUSG00000096436	14	0	3	4
ENSMUSG00000021661	15	3	16	5
ENSMUSG00000039620	8	3	2	13
ENSMUSG00000033765	11	0	3	0
ENSMUSG00000032584	14	0	6	4
ENSMUSG00000072884	8	5	6	11
ENSMUSG00000066896	11	0	13	0
ENSMUSG00000094606	11	0	23	0
ENSMUSG00000032783	11	0	3	0
ENSMUSG00000029093	14	5	6	11
ENSMUSG00000030254	5	1	1	7
ENSMUSG00000077991	3	0	18	1
ENSMUSG00000021090	11	0	3	0
ENSMUSG00000094687	3	0	4	1
ENSMUSG00000055013	6	3	9	5
ENSMUSG00000038204	11	0	3	0
ENSMUSG00000020629	12	0	21	8
ENSMUSG00000030881	10	2	15	2
ENSMUSG00000030662	12	2	11	9
ENSMUSG00000020570	2	4	8	12
ENSMUSG00000024401	11	0	3	0
ENSMUSG00000108885	3	0	4	1
ENSMUSG00000029015	11	0	19	0
ENSMUSG00000045179	3	0	4	1
ENSMUSG00000063779	3	0	18	1
ENSMUSG00000070531	3	0	4	1
ENSMUSG00000074183	5	1	1	7
ENSMUSG00000042849	11	0	3	0
ENSMUSG00000069939	19	1	1	7
ENSMUSG00000025873	1	2	11	9
ENSMUSG00000034456	9	0	21	8
ENSMUSG00000070817	5	1	1	7
ENSMUSG00000024294	7	4	17	14
ENSMUSG00000066463	3	0	7	1
ENSMUSG00000035376	17	2	11	9
ENSMUSG00000044252	9	0	21	8
ENSMUSG00000055917	17	2	5	2
ENSMUSG00000071815	3	0	4	1
ENSMUSG00000068882	2	4	8	12
ENSMUSG00000022685	6	4	16	6
ENSMUSG00000036292	16	4	0	6
ENSMUSG00000041202	11	0	3	0
ENSMUSG00000116360	3	0	12	1
ENSMUSG00000024528	10	2	15	2
ENSMUSG00000029861	11	0	13	0
ENSMUSG00000077221	11	0	3	0
ENSMUSG00000070469	19	1	1	7
ENSMUSG00000115791	11	0	3	0
ENSMUSG00000097665	11	0	19	0
ENSMUSG00000046650	14	0	3	4
ENSMUSG00000046667	15	3	16	5
ENSMUSG00000106902	3	0	7	1
ENSMUSG00000037169	14	0	6	4
ENSMUSG00000049565	19	0	3	4
ENSMUSG00000033862	6	3	16	5
ENSMUSG00000033774	14	0	3	4
ENSMUSG00000084592	11	0	3	0
ENSMUSG00000077998	3	0	4	1
ENSMUSG00000021278	11	0	3	0
ENSMUSG00000027971	14	0	6	4
ENSMUSG00000024758	12	0	11	8
ENSMUSG00000044921	8	0	6	4
ENSMUSG00000054387	16	4	8	6
ENSMUSG00000062822	17	2	5	2
ENSMUSG00000028013	1	2	11	9
ENSMUSG00000042846	11	0	3	0
ENSMUSG00000025403	2	4	8	12
ENSMUSG00000031831	11	0	13	0
ENSMUSG00000087045	3	0	12	1
ENSMUSG00000030739	6	3	9	5
ENSMUSG00000037235	2	4	8	12
ENSMUSG00000021559	2	4	8	12
ENSMUSG00000049252	3	0	20	1
ENSMUSG00000035805	11	0	23	0
ENSMUSG00000050870	3	0	4	1
ENSMUSG00000022931	11	0	20	0
ENSMUSG00000067360	3	0	22	1
ENSMUSG00000035262	11	0	3	0
ENSMUSG00000087223	14	0	6	4
ENSMUSG00000046791	13	1	15	10
ENSMUSG00000086745	3	0	7	1
ENSMUSG00000055826	3	0	4	1
ENSMUSG00000022451	2	4	8	12
ENSMUSG00000092734	11	0	20	0
ENSMUSG00000026700	3	0	4	1
ENSMUSG00000041852	12	0	21	8
ENSMUSG00000075086	3	0	4	1
ENSMUSG00000024776	8	3	2	13
ENSMUSG00000056035	9	0	14	8
ENSMUSG00000020000	18	1	1	7
ENSMUSG00000037946	5	1	1	7
ENSMUSG00000001656	3	0	22	1
ENSMUSG00000053146	14	5	3	15
ENSMUSG00000073982	15	3	10	3
ENSMUSG00000024393	1	2	11	9
ENSMUSG00000025433	11	0	23	0
ENSMUSG00000086552	11	0	19	0
ENSMUSG00000070972	16	4	0	6
ENSMUSG00000036139	11	0	13	0
ENSMUSG00000073768	0	5	6	11
ENSMUSG00000003573	8	5	2	13
ENSMUSG00000115744	8	0	6	4
ENSMUSG00000019920	16	4	0	6
ENSMUSG00000094892	14	5	6	11
ENSMUSG00000027495	12	0	11	8
ENSMUSG00000045989	3	0	4	1
ENSMUSG00000087424	5	1	1	7
ENSMUSG00000050328	3	0	4	1
ENSMUSG00000022705	3	0	20	1
ENSMUSG00000034543	6	4	0	6
ENSMUSG00000094734	3	0	4	1
ENSMUSG00000071753	19	1	1	7
ENSMUSG00000020919	1	2	11	9
ENSMUSG00000036214	15	3	16	5
ENSMUSG00000079069	3	0	22	1
ENSMUSG00000103116	3	0	4	1
ENSMUSG00000097368	0	3	2	13
ENSMUSG00000039230	16	4	0	6
ENSMUSG00000035713	8	5	6	11
ENSMUSG00000059995	6	4	9	5
ENSMUSG00000033831	9	0	14	8
ENSMUSG00000029730	6	3	9	5
ENSMUSG00000019841	16	4	0	6
ENSMUSG00000040543	11	0	3	0
ENSMUSG00000091537	16	4	8	6
ENSMUSG00000026420	3	0	7	1
ENSMUSG00000027550	15	3	10	3
ENSMUSG00000073971	11	0	13	0
ENSMUSG00000028607	2	4	8	12
ENSMUSG00000039210	17	2	5	2
ENSMUSG00000032231	17	2	5	2
ENSMUSG00000078593	3	0	18	1
ENSMUSG00000028165	1	2	11	9
ENSMUSG00000075273	15	3	10	3
ENSMUSG00000049618	11	0	23	0
ENSMUSG00000002496	16	4	8	6
ENSMUSG00000055692	14	0	6	4
ENSMUSG00000031160	3	0	4	1
ENSMUSG00000030983	2	4	8	12
ENSMUSG00000078640	11	0	3	0
ENSMUSG00000046675	13	2	15	10
ENSMUSG00000051811	11	0	3	0
ENSMUSG00000028651	10	2	15	2
ENSMUSG00000024425	7	4	17	14
ENSMUSG00000046613	11	0	3	0
ENSMUSG00000070501	14	5	6	11
ENSMUSG00000049612	19	1	1	7
ENSMUSG00000091996	19	5	1	7
ENSMUSG00000078038	3	0	7	1
ENSMUSG00000042216	13	1	15	10
ENSMUSG00000069036	11	0	23	0
ENSMUSG00000079407	11	0	13	0
ENSMUSG00000021823	17	2	5	2
ENSMUSG00000033808	17	2	5	2
ENSMUSG00000051098	10	2	15	2
ENSMUSG00000061633	3	0	4	1
ENSMUSG00000056870	5	1	1	7
ENSMUSG00000030093	3	0	4	1
ENSMUSG00000000194	16	4	0	6
ENSMUSG00000043207	2	4	8	12
ENSMUSG00000005667	8	0	6	4
ENSMUSG00000073830	18	0	21	8
ENSMUSG00000039703	2	4	8	12
ENSMUSG00000031068	2	4	8	12
ENSMUSG00000051154	12	0	11	8
ENSMUSG00000025487	16	4	8	6
ENSMUSG00000005354	2	4	8	12
ENSMUSG00000025892	14	0	6	4
ENSMUSG00000074071	17	2	5	2
ENSMUSG00000057182	19	1	1	7
ENSMUSG00000020390	12	0	21	8
ENSMUSG00000031131	11	0	19	0
ENSMUSG00000094612	11	0	23	0
ENSMUSG00000031283	0	5	6	11
ENSMUSG00000109219	3	0	7	1
ENSMUSG00000038429	16	4	8	6
ENSMUSG00000034810	0	5	6	11
ENSMUSG00000018733	15	3	16	5
ENSMUSG00000022037	7	4	24	14
ENSMUSG00000085260	3	0	22	1
ENSMUSG00000029610	15	3	10	3
ENSMUSG00000042185	10	2	5	2
ENSMUSG00000067525	11	0	3	0
ENSMUSG00000006021	6	3	9	5
ENSMUSG00000046408	19	5	1	7
ENSMUSG00000020599	19	1	1	7
ENSMUSG00000030775	5	1	1	7
ENSMUSG00000015149	16	4	0	6
ENSMUSG00000046434	1	0	11	9
ENSMUSG00000031377	19	5	1	7
ENSMUSG00000031774	6	3	16	5
ENSMUSG00000096840	3	0	18	1
ENSMUSG00000050627	16	4	8	6
ENSMUSG00000031878	17	2	5	2
ENSMUSG00000030322	5	1	1	7
ENSMUSG00000029541	3	0	18	1
ENSMUSG00000020696	17	2	5	2
ENSMUSG00000097162	15	3	10	3
ENSMUSG00000113189	14	0	6	4
ENSMUSG00000045201	11	0	13	0
ENSMUSG00000058513	11	0	3	0
ENSMUSG00000059479	4	3	2	3
ENSMUSG00000077239	11	0	3	0
ENSMUSG00000031755	13	1	15	10
ENSMUSG00000076253	3	0	4	1
ENSMUSG00000038379	14	0	6	4
ENSMUSG00000002109	13	1	15	10
ENSMUSG00000041840	13	2	15	10
ENSMUSG00000049691	3	0	4	1
ENSMUSG00000021555	16	4	0	6
ENSMUSG00000022814	16	4	0	6
ENSMUSG00000028782	11	0	3	0
ENSMUSG00000095028	19	5	1	7
ENSMUSG00000057223	3	0	4	1
ENSMUSG00000034413	8	5	2	13
ENSMUSG00000087579	12	2	11	9
ENSMUSG00000025127	7	4	17	14
ENSMUSG00000030222	13	1	15	10
ENSMUSG00000040133	11	0	3	0
ENSMUSG00000027845	15	3	10	3
ENSMUSG00000028003	2	4	8	12
ENSMUSG00000030054	19	5	3	15
ENSMUSG00000093980	3	0	4	1
ENSMUSG00000034227	14	5	6	11
ENSMUSG00000003435	1	2	11	9
ENSMUSG00000049280	0	3	2	13
ENSMUSG00000022309	4	3	2	3
ENSMUSG00000093460	11	0	3	0
ENSMUSG00000075064	3	0	4	1
ENSMUSG00000029684	2	4	8	12
ENSMUSG00000027531	1	2	11	9
ENSMUSG00000091541	14	0	6	4
ENSMUSG00000031565	13	1	15	10
ENSMUSG00000101078	3	0	7	1
ENSMUSG00000070047	2	4	8	12
ENSMUSG00000030057	7	4	17	14
ENSMUSG00000050121	11	0	3	0
ENSMUSG00000024353	19	5	6	11
ENSMUSG00000060002	7	4	17	14
ENSMUSG00000054406	3	0	4	1
ENSMUSG00000065569	3	0	7	1
ENSMUSG00000034471	6	3	9	5
ENSMUSG00000028246	11	0	3	0
ENSMUSG00000092815	3	0	18	1
ENSMUSG00000022749	16	4	0	6
ENSMUSG00000029919	5	1	1	7
ENSMUSG00000000739	4	3	2	3
ENSMUSG00000037020	4	3	2	3
ENSMUSG00000035933	16	4	0	6
ENSMUSG00000116611	11	0	19	0
ENSMUSG00000059639	11	0	13	0
ENSMUSG00000028359	10	2	15	2
ENSMUSG00000021464	11	0	13	0
ENSMUSG00000044338	11	0	3	0
ENSMUSG00000002633	14	0	3	4
ENSMUSG00000069722	11	0	23	0
ENSMUSG00000067713	16	4	0	6
ENSMUSG00000021591	1	2	11	9
ENSMUSG00000069184	13	1	15	10
ENSMUSG00000027171	14	0	6	4
ENSMUSG00000031539	4	3	2	3
ENSMUSG00000075145	3	0	4	1
ENSMUSG00000022221	8	5	2	13
ENSMUSG00000063386	14	0	3	4
ENSMUSG00000056782	8	3	2	13
ENSMUSG00000025410	12	0	11	8
ENSMUSG00000027332	7	4	17	14
ENSMUSG00000025268	15	3	10	3
ENSMUSG00000026519	10	2	5	2
ENSMUSG00000043323	15	3	10	3
ENSMUSG00000060803	7	4	17	14
ENSMUSG00000026117	16	4	0	6
ENSMUSG00000073906	3	0	4	1
ENSMUSG00000098912	13	1	15	10
ENSMUSG00000062175	14	0	6	4
ENSMUSG00000028035	16	4	0	6
ENSMUSG00000039656	6	3	9	5
ENSMUSG00000024955	17	2	5	2
ENSMUSG00000018921	15	3	10	3
ENSMUSG00000047751	3	0	4	1
ENSMUSG00000032257	3	0	4	1
ENSMUSG00000015342	15	3	10	3
ENSMUSG00000059623	19	5	1	7
ENSMUSG00000047904	19	5	3	15
ENSMUSG00000001348	2	4	8	12
ENSMUSG00000027965	13	2	15	10
ENSMUSG00000031891	11	0	3	0
ENSMUSG00000069089	6	4	9	5
ENSMUSG00000027186	5	1	1	7
ENSMUSG00000030934	7	4	24	14
ENSMUSG00000040037	11	0	3	0
ENSMUSG00000055720	6	3	9	5
ENSMUSG00000060688	3	0	4	1
ENSMUSG00000050213	15	3	16	5
ENSMUSG00000054423	19	0	1	7
ENSMUSG00000053914	11	0	3	0
ENSMUSG00000017211	11	0	3	0
ENSMUSG00000097520	14	0	6	4
ENSMUSG00000019944	2	4	8	12
ENSMUSG00000034893	17	2	5	2
ENSMUSG00000034269	1	2	11	9
ENSMUSG00000044339	5	1	1	7
ENSMUSG00000027575	6	4	9	5
ENSMUSG00000085162	11	0	3	0
ENSMUSG00000040247	8	5	6	11
ENSMUSG00000090862	7	4	17	14
ENSMUSG00000023106	16	4	0	6
ENSMUSG00000075201	3	0	4	1
ENSMUSG00000054598	19	1	1	7
ENSMUSG00000006276	6	3	16	5
ENSMUSG00000038199	3	0	7	1
ENSMUSG00000060187	11	0	23	0
ENSMUSG00000047502	11	0	3	0
ENSMUSG00000059689	6	3	9	5
ENSMUSG00000036737	1	2	11	9
ENSMUSG00000033379	2	4	8	12
ENSMUSG00000040749	14	0	6	4
ENSMUSG00000096714	11	0	3	0
ENSMUSG00000112223	11	0	23	0
ENSMUSG00000039936	4	3	10	3
ENSMUSG00000062433	3	0	4	1
ENSMUSG00000060450	2	4	8	12
ENSMUSG00000091204	3	0	4	1
ENSMUSG00000075113	11	0	3	0
ENSMUSG00000027530	14	0	3	4
ENSMUSG00000041135	13	2	15	10
ENSMUSG00000018340	7	4	17	14
ENSMUSG00000017299	10	2	15	2
ENSMUSG00000057230	16	4	0	6
ENSMUSG00000056901	3	0	4	1
ENSMUSG00000041079	15	3	10	3
ENSMUSG00000030127	1	2	11	9
ENSMUSG00000055971	3	0	4	1
ENSMUSG00000066149	17	2	5	2
ENSMUSG00000032563	17	2	5	2
ENSMUSG00000027244	17	2	5	2
ENSMUSG00000028523	3	0	12	1
ENSMUSG00000038762	1	2	11	9
ENSMUSG00000077972	3	0	4	1
ENSMUSG00000027784	16	4	0	6
ENSMUSG00000026792	6	3	9	5
ENSMUSG00000059201	11	0	3	0
ENSMUSG00000022724	10	2	5	2
ENSMUSG00000078716	8	5	2	13
ENSMUSG00000054901	11	0	13	0
ENSMUSG00000045648	11	0	19	0
ENSMUSG00000020524	11	0	3	0
ENSMUSG00000017774	1	2	11	9
ENSMUSG00000091863	3	0	12	1
ENSMUSG00000065422	3	0	4	1
ENSMUSG00000077457	11	0	3	0
ENSMUSG00000059031	14	0	3	4
ENSMUSG00000032192	8	5	6	11
ENSMUSG00000031410	11	0	3	0
ENSMUSG00000002910	15	3	16	5
ENSMUSG00000023947	4	3	10	3
ENSMUSG00000031125	11	0	3	0
ENSMUSG00000039477	6	4	9	5
ENSMUSG00000022707	7	4	17	14
ENSMUSG00000047594	11	0	3	0
ENSMUSG00000052364	19	0	1	7
ENSMUSG00000034730	3	0	18	1
ENSMUSG00000031753	12	2	11	9
ENSMUSG00000036169	3	0	7	1
ENSMUSG00000029865	3	0	4	1
ENSMUSG00000022706	17	2	5	2
ENSMUSG00000006575	13	1	15	10
ENSMUSG00000025236	6	3	16	5
ENSMUSG00000061981	17	2	5	2
ENSMUSG00000065401	11	0	13	0
ENSMUSG00000005089	9	0	21	8
ENSMUSG00000000889	3	0	12	1
ENSMUSG00000069917	7	4	17	14
ENSMUSG00000042345	5	1	1	7
ENSMUSG00000035642	17	2	5	2
ENSMUSG00000021294	8	3	2	13
ENSMUSG00000026333	6	3	16	5
ENSMUSG00000091468	11	5	3	15
ENSMUSG00000024558	8	5	6	11
ENSMUSG00000039725	15	3	10	3
ENSMUSG00000085886	11	0	3	0
ENSMUSG00000112707	8	5	6	11
ENSMUSG00000038517	13	1	15	10
ENSMUSG00000039555	11	0	13	0
ENSMUSG00000037962	11	0	3	0
ENSMUSG00000050973	13	1	15	10
ENSMUSG00000001420	8	5	6	11
ENSMUSG00000018470	14	0	6	4
ENSMUSG00000050217	3	0	20	1
ENSMUSG00000029716	9	0	21	8
ENSMUSG00000078453	10	2	15	2
ENSMUSG00000028538	16	4	0	6
