gene_id	x	y	consensus
ENSMUSG00000029422	1.4736321	-0.74930066	6
ENSMUSG00000076126	-0.7094824	0.043475512	1
ENSMUSG00000049036	-0.7181358	0.024825752	1
ENSMUSG00000029577	1.0802264	1.1283827	9
ENSMUSG00000040746	1.2457508	-0.801094	6
ENSMUSG00000020590	1.2056692	1.2008429	8
ENSMUSG00000030263	0.014676064	-0.8356307	3
ENSMUSG00000038914	1.6598084	-0.7173926	12
ENSMUSG00000026878	1.5682411	-0.59907025	14
ENSMUSG00000093241	-0.71009046	0.04399432	1
ENSMUSG00000030098	1.2576499	-0.6607639	14
ENSMUSG00000078908	0.63556296	-0.7859857	5
ENSMUSG00000025056	-0.70964056	0.043290954	1
ENSMUSG00000090129	-0.80588967	-0.025055036	0
ENSMUSG00000026407	-0.9465681	-0.1558175	11
ENSMUSG00000034239	-0.7095769	0.04344409	1
ENSMUSG00000020818	0.5045083	0.7738964	2
ENSMUSG00000060038	0.19726324	-0.76967585	3
ENSMUSG00000020029	1.5122175	-0.36790884	14
ENSMUSG00000085958	-0.9801404	0.42223108	7
ENSMUSG00000024292	1.4663551	-0.49173617	14
ENSMUSG00000111356	-0.741299	0.03876837	0
ENSMUSG00000016831	1.0636663	1.172405	9
ENSMUSG00000024791	-0.94978267	-0.029875435	0
ENSMUSG00000028398	1.0367706	-0.7374179	5
ENSMUSG00000113338	-0.70990163	0.0433694	1
ENSMUSG00000022586	-0.87933713	0.15757062	0
ENSMUSG00000091034	-0.7107132	0.044530768	1
ENSMUSG00000056204	1.6067429	-0.7739577	12
ENSMUSG00000065472	-0.7098306	0.043741193	1
ENSMUSG00000056197	-0.7145695	0.03495105	1
ENSMUSG00000031986	0.4075333	0.77674705	2
ENSMUSG00000086259	-0.7803462	-0.057076454	0
ENSMUSG00000000244	-1.1138198	0.46804714	7
ENSMUSG00000027519	1.4886606	-0.7814031	6
ENSMUSG00000061086	-1.0161314	-0.36119944	4
ENSMUSG00000056290	-0.20674133	0.60069555	10
ENSMUSG00000068206	0.51064485	-0.8007131	5
ENSMUSG00000077815	-0.7966271	0.117343664	0
ENSMUSG00000021208	0.20932803	-0.6837371	3
ENSMUSG00000088054	-0.7462905	0.045582213	0
ENSMUSG00000024998	1.2545263	-0.73929524	6
ENSMUSG00000047248	0.6955674	0.8492785	2
ENSMUSG00000027981	0.77643555	-0.7271462	5
ENSMUSG00000039683	-0.9971673	-0.28026515	4
ENSMUSG00000047117	-0.7095769	0.04344409	1
ENSMUSG00000030278	-0.019992411	-0.8047109	3
ENSMUSG00000037419	0.14284742	0.7117933	10
ENSMUSG00000099616	-0.7599222	0.0848878	0
ENSMUSG00000022208	-0.7751686	-0.0067565665	0
ENSMUSG00000055197	-0.7095769	0.04344409	1
ENSMUSG00000059632	-0.7102311	0.043287996	1
ENSMUSG00000064823	-0.81762964	0.016207464	0
ENSMUSG00000095629	-0.81262344	0.053473074	0
ENSMUSG00000034829	-0.73496133	0.007308081	0
ENSMUSG00000029380	0.29059705	0.761359	2
ENSMUSG00000073001	-0.7095769	0.04344409	1
ENSMUSG00000031073	-0.71389705	0.032663517	1
ENSMUSG00000028047	-1.01373	-0.2981115	4
ENSMUSG00000039196	1.0179946	0.8002062	8
ENSMUSG00000032673	0.8105066	0.91879267	2
ENSMUSG00000096584	-0.7095769	0.04344409	1
ENSMUSG00000022773	-0.67359525	-0.63194823	13
ENSMUSG00000078597	-0.58120936	0.69575626	7
ENSMUSG00000021494	0.725835	0.85244685	2
ENSMUSG00000050248	-0.7910245	-0.47382087	11
ENSMUSG00000003752	0.22495726	-0.81386495	3
ENSMUSG00000037353	0.99078745	-0.7996232	6
ENSMUSG00000022096	-1.0341368	-0.48530555	4
ENSMUSG00000091311	-0.7095769	0.04344409	1
ENSMUSG00000096436	-0.86389726	-0.093858376	4
ENSMUSG00000021661	0.5269672	-0.7968064	5
ENSMUSG00000039620	-0.57930166	-0.74385124	13
ENSMUSG00000033765	-0.7747207	0.033022873	0
