gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029422	24	2	4	2
ENSMUSG00000076126	3	0	13	0
ENSMUSG00000049036	3	0	11	0
ENSMUSG00000029577	0	7	6	10
ENSMUSG00000040746	24	3	4	2
ENSMUSG00000020590	7	7	6	11
ENSMUSG00000030263	4	1	17	4
ENSMUSG00000038914	15	2	4	2
ENSMUSG00000026878	6	2	8	9
ENSMUSG00000093241	3	0	13	0
ENSMUSG00000030098	19	2	8	9
ENSMUSG00000078908	20	1	3	3
ENSMUSG00000025056	3	0	14	0
ENSMUSG00000090129	22	0	0	0
ENSMUSG00000026407	11	10	15	12
ENSMUSG00000034239	3	0	9	0
ENSMUSG00000020818	8	5	5	5
ENSMUSG00000060038	21	1	17	4
ENSMUSG00000020029	6	2	8	9
ENSMUSG00000085958	16	0	19	6
ENSMUSG00000024292	6	2	8	9
ENSMUSG00000111356	22	0	7	0
ENSMUSG00000016831	7	7	6	11
ENSMUSG00000024791	1	0	0	1
ENSMUSG00000028398	23	1	3	3
ENSMUSG00000113338	3	0	13	0
ENSMUSG00000022586	13	0	0	1
ENSMUSG00000091034	3	0	13	0
ENSMUSG00000056204	15	2	4	2
ENSMUSG00000065472	3	0	13	0
ENSMUSG00000056197	3	0	11	0
ENSMUSG00000031986	8	4	5	5
ENSMUSG00000086259	22	0	7	0
ENSMUSG00000000244	16	0	19	6
ENSMUSG00000027519	24	2	4	2
ENSMUSG00000061086	1	0	15	1
ENSMUSG00000056290	14	0	19	6
ENSMUSG00000068206	9	1	17	4
ENSMUSG00000077815	22	0	12	0
ENSMUSG00000021208	21	1	17	4
ENSMUSG00000088054	22	0	7	0
ENSMUSG00000024998	23	3	4	2
ENSMUSG00000047248	12	8	1	7
ENSMUSG00000027981	20	1	3	3
ENSMUSG00000039683	1	0	15	1
ENSMUSG00000047117	3	0	9	0
ENSMUSG00000030278	21	1	17	4
ENSMUSG00000037419	14	4	5	5
ENSMUSG00000099616	22	0	12	0
ENSMUSG00000022208	22	0	7	0
ENSMUSG00000055197	3	0	13	0
ENSMUSG00000059632	3	0	13	0
ENSMUSG00000064823	22	0	0	0
ENSMUSG00000095629	22	0	0	0
ENSMUSG00000034829	22	0	7	0
ENSMUSG00000029380	8	4	5	5
ENSMUSG00000073001	3	0	9	0
ENSMUSG00000031073	3	0	11	0
ENSMUSG00000028047	1	0	15	1
ENSMUSG00000039196	18	6	18	13
ENSMUSG00000032673	12	8	1	7
ENSMUSG00000096584	3	0	14	0
ENSMUSG00000022773	10	10	2	12
ENSMUSG00000078597	5	0	19	6
ENSMUSG00000021494	12	5	1	7
ENSMUSG00000050248	17	10	2	8
ENSMUSG00000003752	9	1	17	4
ENSMUSG00000037353	2	3	3	3
ENSMUSG00000022096	17	0	15	8
ENSMUSG00000091311	3	0	13	0
ENSMUSG00000096436	1	0	0	1
ENSMUSG00000021661	20	1	3	3
ENSMUSG00000039620	10	10	2	12
ENSMUSG00000033765	22	0	7	0
ENSMUSG00000032584	1	0	15	1
ENSMUSG00000072884	17	0	15	8
ENSMUSG00000066896	22	0	7	0
ENSMUSG00000094606	22	0	16	0
ENSMUSG00000032783	1	0	0	1
ENSMUSG00000029093	1	10	0	1
ENSMUSG00000030254	16	0	19	6
ENSMUSG00000077991	3	0	14	0
ENSMUSG00000021090	13	0	0	1
ENSMUSG00000094687	3	0	9	0
ENSMUSG00000055013	2	1	3	3
ENSMUSG00000038204	1	0	0	1
