gene_id	x	y	consensus
ENSMUSG00000029422	-2.1443114	0.7562885	2
ENSMUSG00000076126	1.1057358	0.12138224	0
ENSMUSG00000049036	1.1163542	0.14485595	0
ENSMUSG00000029577	-0.90266204	-1.7100968	10
ENSMUSG00000040746	-2.026321	0.82997084	2
ENSMUSG00000020590	-0.96664417	-1.7591614	11
ENSMUSG00000030263	-0.5148361	0.9687815	4
ENSMUSG00000038914	-2.207892	0.6725768	2
ENSMUSG00000026878	-1.9787028	0.47165617	9
ENSMUSG00000093241	1.105052	0.118579715	0
ENSMUSG00000030098	-1.6354159	0.3816987	9
ENSMUSG00000078908	-1.5005434	0.8859997	3
ENSMUSG00000025056	1.106967	0.1240139	0
ENSMUSG00000090129	1.1487944	0.21667185	0
ENSMUSG00000026407	1.025538	0.36694238	12
ENSMUSG00000034239	1.1056594	0.1209102	0
ENSMUSG00000020818	-0.29663387	-1.181139	5
ENSMUSG00000060038	-0.85344195	0.87145185	4
ENSMUSG00000020029	-2.0049114	0.33963075	9
ENSMUSG00000085958	0.841396	-0.26789534	6
ENSMUSG00000024292	-1.8596632	0.36239526	9
ENSMUSG00000111356	1.1115433	0.13068727	0
ENSMUSG00000016831	-0.89729774	-1.7202251	11
ENSMUSG00000024791	1.1615528	0.23784599	1
ENSMUSG00000028398	-1.9303204	0.8104613	3
ENSMUSG00000113338	1.1058164	0.12164974	0
ENSMUSG00000022586	1.0665077	0.0008030832	1
ENSMUSG00000091034	1.1049571	0.11830431	0
ENSMUSG00000056204	-2.1455796	0.697348	2
ENSMUSG00000065472	1.1053408	0.11961171	0
ENSMUSG00000056197	1.1099883	0.13109243	0
ENSMUSG00000031986	-0.20510003	-1.1498665	5
ENSMUSG00000086259	1.1600953	0.24644378	0
ENSMUSG00000000244	0.8326011	-0.29581264	6
ENSMUSG00000027519	-2.1128554	0.7375034	2
ENSMUSG00000061086	1.2263808	0.5819012	1
ENSMUSG00000056290	0.32727927	-0.71524954	6
ENSMUSG00000068206	-1.3456416	0.95269024	4
ENSMUSG00000077815	1.0737158	0.019129187	0
ENSMUSG00000021208	-0.8089229	0.7446617	4
ENSMUSG00000088054	1.1124506	0.13998318	0
ENSMUSG00000024998	-2.0663543	0.78663397	2
ENSMUSG00000047248	-0.5291664	-1.3985072	7
ENSMUSG00000027981	-1.660372	0.8205488	3
ENSMUSG00000039683	1.2114506	0.54622996	1
ENSMUSG00000047117	1.1056594	0.1209102	0
ENSMUSG00000030278	-0.4821568	0.8609911	4
ENSMUSG00000037419	0.025171995	-0.9455273	5
ENSMUSG00000099616	1.0887167	0.058637172	0
ENSMUSG00000022208	1.1416572	0.20073119	0
ENSMUSG00000055197	1.1057702	0.12141374	0
ENSMUSG00000059632	1.1058469	0.12184611	0
ENSMUSG00000064823	1.1326113	0.18946853	0
ENSMUSG00000095629	1.1127846	0.15835765	0
ENSMUSG00000034829	1.1273686	0.1738508	0
ENSMUSG00000029380	-0.10414618	-1.0717711	5
ENSMUSG00000073001	1.1056594	0.1209102	0
ENSMUSG00000031073	1.1124343	0.13683861	0
ENSMUSG00000028047	1.2142854	0.5471896	1
ENSMUSG00000039196	-0.75782955	-1.3556889	13
ENSMUSG00000032673	-0.67222923	-1.5182151	7
ENSMUSG00000096584	1.105884	0.12144396	0
ENSMUSG00000022773	0.9371103	0.8214017	12
ENSMUSG00000078597	0.32604402	-0.6480207	6
ENSMUSG00000021494	-0.56857383	-1.3036518	7
ENSMUSG00000050248	0.9744446	0.68550515	8
ENSMUSG00000003752	-0.90088534	0.9595988	4
ENSMUSG00000037353	-1.8494974	0.870422	3
ENSMUSG00000022096	1.1942897	0.68149614	8
ENSMUSG00000091311	1.1057432	0.12130061	0
ENSMUSG00000096436	1.1692624	0.35368928	1
ENSMUSG00000021661	-1.3887773	0.91881895	3
ENSMUSG00000039620	0.81219995	0.8689252	12
ENSMUSG00000033765	1.1160511	0.1444054	0
ENSMUSG00000032584	1.2268127	0.51869154	1
ENSMUSG00000072884	1.1016316	0.79424465	8
ENSMUSG00000066896	1.1074122	0.1324535	0
ENSMUSG00000094606	1.1036699	0.11337811	0
ENSMUSG00000032783	1.1157688	0.18002829	1
ENSMUSG00000029093	1.163351	0.28720942	1
ENSMUSG00000030254	0.4674679	-0.6392223	6
ENSMUSG00000077991	1.1067529	0.12349111	0
ENSMUSG00000021090	1.0697631	0.014821857	1
ENSMUSG00000094687	1.1056594	0.1209102	0
ENSMUSG00000055013	-1.6615657	0.9193404	3
ENSMUSG00000038204	1.1348814	0.19399378	1
ENSMUSG00000020629	-0.940365	-1.7322648	11
ENSMUSG00000030881	-0.19010362	-1.1411597	5
ENSMUSG00000030662	-0.9603491	-1.7570534	11
ENSMUSG00000020570	-2.188637	0.7311287	2
ENSMUSG00000024401	1.1481754	0.22250447	1
ENSMUSG00000108885	1.1056594	0.1209102	0
ENSMUSG00000029015	1.089772	0.061672837	0
ENSMUSG00000045179	1.1056594	0.1209102	0
ENSMUSG00000063779	1.1073956	0.1255944	0
ENSMUSG00000070531	1.1056594	0.1209102	0
ENSMUSG00000074183	0.7627306	-0.3874356	6
ENSMUSG00000042849	1.1476989	0.22396007	0
ENSMUSG00000069939	0.9908792	-0.08111623	6
ENSMUSG00000025873	-0.90437376	-1.7237678	11
ENSMUSG00000034456	-0.8763772	-1.5715631	13
ENSMUSG00000070817	0.82044995	-0.29993093	6
ENSMUSG00000024294	-2.0371714	0.41651842	9
ENSMUSG00000066463	1.1099218	0.13179374	0
ENSMUSG00000035376	-0.8167871	-1.6585561	10
