gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029422	14	0	21	1
ENSMUSG00000076126	2	0	3	0
ENSMUSG00000049036	2	0	3	0
ENSMUSG00000029577	13	0	11	5
ENSMUSG00000040746	13	0	11	5
ENSMUSG00000020590	7	0	0	10
ENSMUSG00000030263	12	1	5	6
ENSMUSG00000038914	1	0	21	5
ENSMUSG00000026878	7	0	0	10
ENSMUSG00000093241	2	0	3	0
ENSMUSG00000030098	0	0	8	14
ENSMUSG00000078908	11	0	6	2
ENSMUSG00000025056	2	0	3	0
ENSMUSG00000090129	10	0	24	4
ENSMUSG00000026407	8	0	12	15
ENSMUSG00000034239	2	0	3	0
ENSMUSG00000020818	11	0	6	2
ENSMUSG00000060038	15	0	2	2
ENSMUSG00000020029	17	0	14	11
ENSMUSG00000085958	16	0	22	7
ENSMUSG00000024292	17	0	8	11
ENSMUSG00000111356	4	0	4	3
ENSMUSG00000016831	14	0	21	1
ENSMUSG00000024791	4	0	10	3
ENSMUSG00000028398	5	0	7	1
ENSMUSG00000113338	2	0	3	0
ENSMUSG00000022586	4	0	4	3
ENSMUSG00000091034	2	0	3	0
ENSMUSG00000056204	13	0	11	5
ENSMUSG00000065472	2	0	3	0
ENSMUSG00000056197	2	0	3	0
ENSMUSG00000031986	11	0	6	2
ENSMUSG00000086259	4	0	4	3
ENSMUSG00000000244	18	1	22	9
ENSMUSG00000027519	14	0	21	1
ENSMUSG00000061086	10	0	10	4
ENSMUSG00000056290	18	1	1	9
ENSMUSG00000068206	6	0	16	8
ENSMUSG00000077815	2	0	3	0
ENSMUSG00000021208	15	1	2	6
ENSMUSG00000088054	4	0	4	3
ENSMUSG00000024998	5	0	7	1
ENSMUSG00000047248	5	0	6	1
ENSMUSG00000027981	19	0	6	2
ENSMUSG00000039683	10	0	10	4
ENSMUSG00000047117	4	0	20	3
ENSMUSG00000030278	0	1	18	9
ENSMUSG00000037419	19	1	2	2
ENSMUSG00000099616	2	0	3	0
ENSMUSG00000022208	4	0	24	3
ENSMUSG00000055197	2	0	3	0
ENSMUSG00000059632	2	0	3	0
ENSMUSG00000064823	4	0	4	3
ENSMUSG00000095629	4	0	24	3
ENSMUSG00000034829	4	0	4	3
ENSMUSG00000029380	19	0	2	2
ENSMUSG00000073001	2	0	3	0
ENSMUSG00000031073	2	0	3	0
ENSMUSG00000028047	8	0	10	15
ENSMUSG00000039196	17	0	14	11
ENSMUSG00000032673	11	0	6	2
ENSMUSG00000096584	2	0	3	0
ENSMUSG00000022773	16	0	22	7
ENSMUSG00000078597	0	1	1	9
ENSMUSG00000021494	6	0	16	8
ENSMUSG00000050248	9	1	5	6
ENSMUSG00000003752	3	0	18	12
ENSMUSG00000037353	5	0	16	8
ENSMUSG00000022096	8	1	10	13
ENSMUSG00000091311	2	0	3	0
ENSMUSG00000096436	10	0	23	4
ENSMUSG00000021661	19	0	6	2
ENSMUSG00000039620	18	1	1	9
ENSMUSG00000033765	2	0	3	0
ENSMUSG00000032584	8	1	10	13
ENSMUSG00000072884	9	1	22	6
ENSMUSG00000066896	4	0	17	3
ENSMUSG00000094606	2	0	3	0
ENSMUSG00000032783	4	0	20	3
ENSMUSG00000029093	8	0	4	15
ENSMUSG00000030254	18	1	1	9
ENSMUSG00000077991	2	0	3	0
ENSMUSG00000021090	4	0	24	3
ENSMUSG00000094687	2	0	3	0
ENSMUSG00000055013	6	0	16	8
ENSMUSG00000038204	8	0	4	15
ENSMUSG00000020629	7	0	0	10
ENSMUSG00000030881	11	0	6	2
ENSMUSG00000030662	14	0	21	1
ENSMUSG00000020570	14	0	21	1
ENSMUSG00000024401	4	0	4	3
ENSMUSG00000108885	2	0	3	0
ENSMUSG00000029015	2	0	3	0
ENSMUSG00000045179	2	0	3	0
ENSMUSG00000063779	2	0	3	0
ENSMUSG00000070531	2	0	3	0
ENSMUSG00000074183	18	1	1	9
ENSMUSG00000042849	4	0	24	3
ENSMUSG00000069939	0	1	10	9
ENSMUSG00000025873	1	0	11	5
ENSMUSG00000034456	17	0	8	11
ENSMUSG00000070817	16	0	22	7
ENSMUSG00000024294	7	0	0	10
ENSMUSG00000066463	2	0	3	0
ENSMUSG00000035376	14	0	21	1
ENSMUSG00000044252	7	0	0	10
ENSMUSG00000055917	19	0	6	2
ENSMUSG00000071815	2	0	3	0
ENSMUSG00000068882	14	0	21	1
ENSMUSG00000022685	5	0	6	1
ENSMUSG00000036292	14	0	21	1
ENSMUSG00000041202	10	0	23	4
ENSMUSG00000116360	2	0	3	0
ENSMUSG00000024528	11	0	6	2
ENSMUSG00000029861	2	0	3	0
ENSMUSG00000077221	4	0	20	3
ENSMUSG00000070469	8	1	10	13
ENSMUSG00000115791	10	0	24	4
ENSMUSG00000097665	4	0	4	3
ENSMUSG00000046650	10	0	23	4
ENSMUSG00000046667	19	0	6	2
ENSMUSG00000106902	2	0	3	0
ENSMUSG00000037169	16	0	10	7
ENSMUSG00000049565	4	0	24	3
ENSMUSG00000033862	6	0	16	8
ENSMUSG00000033774	10	0	23	4
ENSMUSG00000084592	4	0	24	3
ENSMUSG00000077998	2	0	3	0
ENSMUSG00000021278	2	0	3	0
ENSMUSG00000027971	16	0	22	7
ENSMUSG00000024758	7	0	21	10
ENSMUSG00000044921	16	1	22	7
ENSMUSG00000054387	14	0	21	1
ENSMUSG00000062822	5	0	7	1
ENSMUSG00000028013	14	0	21	1
ENSMUSG00000042846	10	0	23	4
ENSMUSG00000025403	1	0	8	5
ENSMUSG00000031831	4	0	13	3
ENSMUSG00000087045	2	0	3	0
ENSMUSG00000030739	6	0	16	8
ENSMUSG00000037235	1	0	11	5
ENSMUSG00000021559	1	0	8	5
ENSMUSG00000049252	2	0	3	0
ENSMUSG00000035805	2	0	3	0
ENSMUSG00000050870	2	0	3	0
ENSMUSG00000022931	2	0	3	0
ENSMUSG00000067360	2	0	3	0
ENSMUSG00000035262	4	0	20	3
ENSMUSG00000087223	10	0	10	4
ENSMUSG00000046791	15	1	5	6
ENSMUSG00000086745	2	0	3	0
ENSMUSG00000055826	2	0	3	0
ENSMUSG00000022451	7	0	21	10
ENSMUSG00000092734	2	0	3	0
ENSMUSG00000026700	2	0	3	0
ENSMUSG00000041852	1	0	0	5
ENSMUSG00000075086	2	0	3	0
ENSMUSG00000024776	12	1	1	6
ENSMUSG00000056035	17	0	14	11
ENSMUSG00000020000	0	1	1	9
ENSMUSG00000037946	9	0	5	4
ENSMUSG00000001656	2	0	3	0
ENSMUSG00000053146	10	0	23	4
ENSMUSG00000073982	3	0	18	12
ENSMUSG00000024393	13	0	11	5
ENSMUSG00000025433	4	0	9	3
ENSMUSG00000086552	4	0	24	3
ENSMUSG00000070972	5	0	7	1
ENSMUSG00000036139	4	0	20	3
ENSMUSG00000073768	16	0	22	7
ENSMUSG00000003573	9	0	5	4
ENSMUSG00000115744	16	0	22	7
ENSMUSG00000019920	5	0	7	1
ENSMUSG00000094892	10	0	23	4
ENSMUSG00000027495	1	0	0	5
ENSMUSG00000045989	2	0	3	0
ENSMUSG00000087424	18	1	1	9
ENSMUSG00000050328	2	0	3	0
ENSMUSG00000022705	2	0	3	0
ENSMUSG00000034543	5	0	7	1
ENSMUSG00000094734	2	0	3	0
ENSMUSG00000071753	10	0	22	4
ENSMUSG00000020919	13	0	11	5
ENSMUSG00000036214	11	0	6	2
ENSMUSG00000079069	2	0	3	0
ENSMUSG00000103116	2	0	3	0
ENSMUSG00000097368	16	0	22	7
ENSMUSG00000039230	13	0	11	5
ENSMUSG00000035713	9	1	5	6
ENSMUSG00000059995	6	0	16	8
ENSMUSG00000033831	17	0	15	11
ENSMUSG00000029730	11	0	16	2
ENSMUSG00000019841	14	0	21	1
ENSMUSG00000040543	4	0	4	3
ENSMUSG00000091537	0	0	21	14
ENSMUSG00000026420	2	0	3	0
ENSMUSG00000027550	12	1	2	6
ENSMUSG00000073971	4	0	20	3
ENSMUSG00000028607	1	0	8	5
ENSMUSG00000039210	5	0	7	1
ENSMUSG00000032231	6	0	16	8
ENSMUSG00000078593	2	0	3	0
ENSMUSG00000028165	14	0	21	1
ENSMUSG00000075273	19	0	2	2
ENSMUSG00000049618	2	0	3	0
ENSMUSG00000002496	13	0	11	5
ENSMUSG00000055692	10	0	10	4
ENSMUSG00000031160	2	0	3	0
ENSMUSG00000030983	1	0	21	5
ENSMUSG00000078640	2	0	3	0
ENSMUSG00000046675	19	0	2	2
ENSMUSG00000051811	4	0	4	3
ENSMUSG00000028651	11	0	16	2
ENSMUSG00000024425	17	0	14	11
ENSMUSG00000046613	4	0	20	3
ENSMUSG00000070501	16	0	22	7
ENSMUSG00000049612	16	0	22	7
ENSMUSG00000091996	10	0	23	4
ENSMUSG00000078038	2	0	3	0
ENSMUSG00000042216	15	1	5	6
ENSMUSG00000069036	2	0	3	0
ENSMUSG00000079407	4	0	20	3
ENSMUSG00000021823	13	0	7	5
ENSMUSG00000033808	19	0	6	2
ENSMUSG00000051098	19	0	2	2
ENSMUSG00000061633	2	0	3	0
ENSMUSG00000056870	9	1	22	6
ENSMUSG00000030093	2	0	3	0
ENSMUSG00000000194	5	0	7	1
ENSMUSG00000043207	7	0	21	10
ENSMUSG00000005667	9	1	10	13
ENSMUSG00000073830	0	0	1	14
ENSMUSG00000039703	1	0	11	5
ENSMUSG00000031068	7	0	21	10
ENSMUSG00000051154	14	0	21	1
ENSMUSG00000025487	13	0	11	5
