gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029422	17	0	8	5
ENSMUSG00000076126	8	0	0	0
ENSMUSG00000049036	8	0	0	0
ENSMUSG00000029577	3	0	10	11
ENSMUSG00000040746	9	0	15	3
ENSMUSG00000020590	12	0	17	9
ENSMUSG00000030263	22	1	5	2
ENSMUSG00000038914	12	0	17	9
ENSMUSG00000026878	20	0	17	9
ENSMUSG00000093241	8	0	0	0
ENSMUSG00000030098	14	0	10	8
ENSMUSG00000078908	11	0	1	4
ENSMUSG00000025056	8	0	0	0
ENSMUSG00000090129	0	1	18	1
ENSMUSG00000026407	0	2	11	1
ENSMUSG00000034239	8	0	0	0
ENSMUSG00000020818	11	0	9	4
ENSMUSG00000060038	18	0	12	8
ENSMUSG00000020029	20	0	2	9
ENSMUSG00000085958	5	1	4	2
ENSMUSG00000024292	13	0	10	12
ENSMUSG00000111356	0	2	6	1
ENSMUSG00000016831	17	0	8	5
ENSMUSG00000024791	0	1	14	1
ENSMUSG00000028398	24	0	1	4
ENSMUSG00000113338	8	0	0	0
ENSMUSG00000022586	0	1	6	1
ENSMUSG00000091034	8	0	0	0
ENSMUSG00000056204	12	0	10	11
ENSMUSG00000065472	8	0	0	0
ENSMUSG00000056197	8	0	0	0
ENSMUSG00000031986	11	0	1	4
ENSMUSG00000086259	0	2	6	1
ENSMUSG00000000244	16	1	4	2
ENSMUSG00000027519	9	0	8	5
ENSMUSG00000061086	7	1	14	7
ENSMUSG00000056290	6	1	12	13
ENSMUSG00000068206	11	0	9	4
ENSMUSG00000077815	8	0	0	0
ENSMUSG00000021208	23	0	12	6
ENSMUSG00000088054	0	1	6	1
ENSMUSG00000024998	17	0	8	5
ENSMUSG00000047248	11	0	1	4
ENSMUSG00000027981	15	0	1	4
ENSMUSG00000039683	19	1	14	10
ENSMUSG00000047117	0	2	6	1
ENSMUSG00000030278	14	0	12	8
ENSMUSG00000037419	18	0	12	8
ENSMUSG00000099616	8	0	0	0
ENSMUSG00000022208	0	1	18	1
ENSMUSG00000055197	8	0	0	0
ENSMUSG00000059632	8	0	0	0
ENSMUSG00000064823	0	1	6	1
ENSMUSG00000095629	0	1	18	1
ENSMUSG00000034829	0	1	6	1
ENSMUSG00000029380	6	0	12	8
ENSMUSG00000073001	8	0	0	0
ENSMUSG00000031073	8	0	0	0
ENSMUSG00000028047	7	1	14	7
ENSMUSG00000039196	13	0	2	12
ENSMUSG00000032673	24	0	1	4
ENSMUSG00000096584	8	0	0	0
ENSMUSG00000022773	5	1	4	2
ENSMUSG00000078597	14	0	12	8
ENSMUSG00000021494	1	0	15	3
ENSMUSG00000050248	22	1	14	2
ENSMUSG00000003752	18	0	9	6
ENSMUSG00000037353	1	0	15	3
ENSMUSG00000022096	10	2	14	7
