FLT14_all,FLT14_and_GC8,FLT14_not_GC8,GC8_all,GC8_not_FLT14
Grip2,Grip2,Tma7,Grip2,Dhps
Tma7,Mup14,Fhl1,Dhps,Cidec
Mup14,Hectd2os,Spry4,Cidec,Endod1
Hectd2os,Rps13,Hnf1b,Endod1,Cxcl1
Rps13,Alas2,Prkca,Cxcl1,Cyp4a12b
Fhl1,Mup20,Abhd17a,Cyp4a12b,Ankra2
Alas2,Cyp2c40,Abca3,Ankra2,Cyp3a11
Spry4,Mettl23,Inhba,Cyp3a11,Lrrcc1
Mup20,Cyp3a16,G0s2,Lrrcc1,Ttc30b
Cyp2c40,Rmrp,Crybg3,Ttc30b,Tmem251
Mettl23,Col27a1,Mvd,Tmem251,Mblac2
Cyp3a16,Mup16,Rps2,Mblac2,2310010J17Rik
Hnf1b,Serpine2,Extl1,Mup14,Ddb2
Rmrp,Mup17,Rpl30,2310010J17Rik,Haus1
Prkca,Mrpl53,Hao2,Ddb2,Dclre1b
Col27a1,Aqp4,Rnf125,Haus1,Sult5a1
Abhd17a,Rpl36,Fmc1,Hectd2os,Zfp72
Mup16,Kpna2,Asap2,Dclre1b,Xk
Abca3,Cyp2c38,Gsta4,Sult5a1,Olfm3
Serpine2,Thrsp,Srd5a1,Zfp72,Ripk2
Inhba,Nr1d2,Atp2b2,Xk,Arrdc2
Mup17,Snord22,Atox1,Olfm3,Abracl
G0s2,Mup19,Sulf2,Rps13,Cox19
Mrpl53,Lepr,Sco2,Ripk2,Ednra
Aqp4,Selenbp2,Slc2a5,Arrdc2,Gm16157
Rpl36,Gm14403,Cux2,Abracl,Vcam1
Crybg3,Gm14327,Slc15a4,Cox19,Cacna1d
Mvd,Mug2,Ntrk2,Ednra,Prim2
Rps2,Timm13,Hddc3,Gm16157,Haus6
Extl1,Csad,Hspg2,Vcam1,Gstp2
Rpl30,H4c4,Morf4l1-ps1,Cacna1d,Gm15910
Kpna2,Sqle,Rpl29,Prim2,Vopp1
Hao2,A930015D03Rik,Srp54b,Haus6,Nrros
Cyp2c38,Mup12,Sirpa,Gstp2,Stau2
Rnf125,4930470H14Rik,Prg4,Alas2,Pln
Thrsp,Wfdc17,Stap1,Gm15910,Snord118
Nr1d2,Cry1,Hopx,Vopp1,Nepro
Fmc1,Cyp2a4,Vldlr,Mup20,Mrps24
Snord22,Creld2,Churc1,Nrros,Dut
Asap2,Pcp4l1,Fmo4,Stau2,Rttn
Gsta4,Serpina4-ps1,Lsm7,Pln,Zfp119b
Mup19,Cyp2b13,Cops9,Snord118,Emcn
Srd5a1,Serpina1e,Akr1c19,Nepro,Prmt6
Atp2b2,Smad9,Dynlt1b,Mrps24,Fastkd3
Lepr,Tspan4,Anp32b,Cyp2c40,Ddx3y
Atox1,C730036E19Rik,Cyp7b1,Dut,Zfp560
Selenbp2,Srgap3,Polr2i,Rttn,Pigf
Gm14403,Idi1,Snord17,Zfp119b,Zfp40
Gm14327,Acmsd,Slc35d2,Emcn,Rpa3
Sulf2,Mug-ps1,Slc66a1,Prmt6,Snapc1
Mug2,A1bg,Gbp11,Fastkd3,Dgkh
Timm13,Sucnr1,Abcb1a,Ddx3y,Zfp846
Csad,Rdh16f2,Alad,Zfp560,Vmn1r229
H4c4,Nt5e,Zfp970,Pigf,Zfp612
Sco2,Abcd2,Eno1b,Zfp40,Usp28
Sqle,Trp53inp1,Snora74a,Rpa3,Ugt1a7c
Slc2a5,H4c3,Mt2,Snapc1,Pltp
Cux2,Snord104,Rpl28,Dgkh,Rnasel
A930015D03Rik,Mup15,Serpina11,Zfp846,Ncoa7
Mup12,Guk1,Vnn1,Mettl23,Zfp873
Slc15a4,Etfbkmt,Pyroxd2,Cyp3a16,Psmg4
4930470H14Rik,Mup10,Samd9l,Vmn1r229,Ikzf1
Wfdc17,Tmsb4x,Ndufb4,Zfp612,Eogt
Ntrk2,Acot1,Neil2,Usp28,Caln1
Cry1,Bid,Nr1d1,Ugt1a7c,Snora44
Cyp2a4,Cyp2d9,Ltbp4,Pltp,Arl6ip6
Hddc3,H2-Q6,Ndufa11,Rnasel,Cep83os
Creld2,Nfil3,Gbp10,Ncoa7,Rpp40
Hspg2,Elovl3,Rpl39,Rmrp,Abcg3
Morf4l1-ps1,Scarna6,Gpat3,Zfp873,Zbtb26
Pcp4l1,Serpina3c,Rnf152,Psmg4,Donson
Rpl29,Tiam2,Iah1,Ikzf1,Bcl2
Srp54b,C6,Sult2a1,Col27a1,Ttc39c
Serpina4-ps1,Mup2,Sult1c2,Eogt,A430033K04Rik
Sirpa,Mthfr,D630045J12Rik,Caln1,Cyba
Cyp2b13,Tymp,Irs2,Snora44,Tmem42
Serpina1e,Ccnf,Cep85,Arl6ip6,Trim30d
Prg4,Ifi27l2a,Nr0b2,Cep83os,Tnfsf10
Smad9,Sult2a7,Hmgn5,Rpp40,AU041133
Tspan4,Cyp2c69,Lgr5,Abcg3,Slfn8
C730036E19Rik,Cyp2b9,Gatm,Zbtb26,Lyz2
Srgap3,Mup18,Sult2a2,Donson,Gm15446
Stap1,Trim34a,H4c8,Mup16,Prkg1
Hopx,Slc17a8,Rpl27,Bcl2,Zfp976
Vldlr,Nox4,Slc13a3,Ttc39c,Synpo
Idi1,Xist,Dbp,Serpine2,Gyg
Acmsd,Sult3a1,Serpinb1a,A430033K04Rik,Gngt2
Mug-ps1,Cyp2c39,Rarres1,Cyba,Zfp39
A1bg,Cyp2c23,Snord15b,Tmem42,Fkbp14
Churc1,Pim3,Syt1,Mup17,Zfp995
Sucnr1,Nhsl1,Abhd1,Trim30d,Cmtm3
Fmo4,Sec61g,Pik3c2g,Tnfsf10,Slc25a36
Lsm7,Serpina12,Smlr1,AU041133,Poc5
Cops9,Mrpl14,Hba-a1,Slfn8,Ror1
Rdh16f2,Rgs16,Mif,Lyz2,Prkx
Nt5e,Hspe1,Prlr,Gm15446,Zfp791
Akr1c19,Rsph3b,Slc22a7,Mrpl53,Fcgr3
