Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
FLT14_all,WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-21,29,22,17423,79,136,18,13,2.9,11837|16898|19933|19941|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rps13|Rpl10,-19
FLT14_all,KEGG Pathway,24,mmu03010,Ribosome - Mus musculus (house mouse),,-19,16,17,17423,166,136,21,15,3.1,11837|16898|19933|19941|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68028|68052|68463|68499|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl22l1|Rps13|Mrpl14|Mrpl53|Rpl10,-17
FLT14_all,Reactome Gene Sets,6,R-MMU-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,,-17,25,19,17423,76,136,15,11,2.7,11837|16898|19933|19941|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-15
FLT14_all,Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-16,25,19,17423,78,136,15,11,2.7,11837|16898|19933|19941|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-14
FLT14_all,Reactome Gene Sets,6,R-MMU-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,,-16,23,18,17423,82,136,15,11,2.7,11837|16898|19933|19941|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-14
FLT14_all,Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-16,23,18,17423,82,136,15,11,2.7,11837|16898|19933|19941|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-14
FLT14_all,KEGG Pathway,24,mmu05171,Coronavirus disease - Mus musculus (house mouse),,-16,11,14,17423,236,136,21,15,3.1,11837|12274|16898|18750|19933|19941|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68028|68052|110954,Rplp0|C6|Rps2|Prkca|Rpl21|Rpl26|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-14
FLT14_all,Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-16,22,17,17423,88,136,15,11,2.7,11837|16898|19933|19941|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-14
FLT14_all,GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0009987 cellular process,-15,12,14,17423,195,136,19,14,3,11837|16898|19933|19941|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-13
FLT14_all,Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-15,20,16,17423,98,136,15,11,2.7,11837|16898|19933|19941|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-13
