Cluster,Score,Type,Gene,Symbol,Network
1,10.695652173913043,Clustered,16898,Rps2,FLT14_all_SUB1
1,10.695652173913043,Clustered,54217,Rpl36,FLT14_all_SUB1
1,10.695652173913043,Clustered,67186,Rplp2,FLT14_all_SUB1
1,10.695652173913043,Clustered,19933,Rpl21,FLT14_all_SUB1
1,10.695652173913043,Clustered,110954,Rpl10,FLT14_all_SUB1
1,10.695652173913043,Clustered,20084,Rps18,FLT14_all_SUB1
1,10.695652173913043,Clustered,665155,Srp54b,FLT14_all_SUB1
1,10.695652173913043,Clustered,19941,Rpl26,FLT14_all_SUB1
1,10.695652173913043,Clustered,20090,Rps29,FLT14_all_SUB1
1,10.695652173913043,Clustered,12550,Cdh1,FLT14_all_SUB1
1,10.695652173913043,Clustered,27367,Rpl3,FLT14_all_SUB1
1,10.695652173913043,Clustered,231655,Oasl1,FLT14_all_SUB1
1,10.695652173913043,Clustered,68028,Rpl22l1,FLT14_all_SUB1
1,10.695652173913043,Clustered,68052,Rps13,FLT14_all_SUB1
1,10.695652173913043,Clustered,67248,Rpl39,FLT14_all_SUB1
1,10.695652173913043,Clustered,20115,Rps7,FLT14_all_SUB1
1,10.695652173913043,Clustered,19943,Rpl28,FLT14_all_SUB1
1,10.695652173913043,Clustered,11837,Rplp0,FLT14_all_SUB1
1,10.695652173913043,Clustered,57808,Rpl35a,FLT14_all_SUB1
1,10.695652173913043,Clustered,19944,Rpl29,FLT14_all_SUB1
1,10.695652173913043,Clustered,66489,Rpl35,FLT14_all_SUB1
1,10.695652173913043,Seed,20335,Sec61g,FLT14_all_SUB1
1,10.695652173913043,Clustered,19946,Rpl30,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13089,Cyp2b13,FLT14_all_SUB1
2,5.3999999999999995,Clustered,226143,Cyp2c23,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13086,Cyp2a4,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13113,Cyp3a13,FLT14_all_SUB1
2,5.3999999999999995,Clustered,66447,Mgst3,FLT14_all_SUB1
2,5.3999999999999995,Clustered,337924,Cyp3a44,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13094,Cyp2b9,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13114,Cyp3a16,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13099,Cyp2c40,FLT14_all_SUB1
2,5.3999999999999995,Clustered,14864,Gstm3,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13097,Cyp2c38,FLT14_all_SUB1
2,5.3999999999999995,Clustered,225884,Gstp3,FLT14_all_SUB1
2,5.3999999999999995,Clustered,14860,Gsta4,FLT14_all_SUB1
2,5.3999999999999995,Clustered,13098,Cyp2c39,FLT14_all_SUB1
2,5.3999999999999995,Seed,13105,Cyp2d9,FLT14_all_SUB1
3,2.0,Clustered,69875,Ndufa11,FLT14_all_SUB1
3,2.0,Clustered,66916,Ndufb7,FLT14_all_SUB1
3,2.0,Seed,68194,Ndufb4,FLT14_all_SUB1
3,2.0,Clustered,17993,Ndufs4,FLT14_all_SUB1
3,2.0,Clustered,67892,Coa6,FLT14_all_SUB1
4,1.5,Seed,69920,Polr2i,FLT14_all_SUB1
4,1.5,Clustered,69386,H4c8,FLT14_all_SUB1
4,1.5,Clustered,319156,H4c4,FLT14_all_SUB1
4,1.5,Clustered,319155,H4c3,FLT14_all_SUB1
5,1.0,Clustered,56185,Hao2,FLT14_all_SUB4
5,1.0,Clustered,26897,Acot1,FLT14_all_SUB4
5,1.0,Seed,171281,Acot3,FLT14_all_SUB4
1,5.5,Clustered,27367,Rpl3,FLT14_and_GC8_SUB1
1,5.5,Clustered,231655,Oasl1,FLT14_and_GC8_SUB1
1,5.5,Clustered,68052,Rps13,FLT14_and_GC8_SUB1
1,5.5,Clustered,20115,Rps7,FLT14_and_GC8_SUB1
1,5.5,Clustered,54217,Rpl36,FLT14_and_GC8_SUB1
1,5.5,Clustered,19933,Rpl21,FLT14_and_GC8_SUB1
1,5.5,Clustered,110954,Rpl10,FLT14_and_GC8_SUB1
1,5.5,Clustered,20084,Rps18,FLT14_and_GC8_SUB1
1,5.5,Seed,11837,Rplp0,FLT14_and_GC8_SUB1
1,5.5,Clustered,57808,Rpl35a,FLT14_and_GC8_SUB1
1,5.5,Clustered,20335,Sec61g,FLT14_and_GC8_SUB1
1,5.5,Clustered,19941,Rpl26,FLT14_and_GC8_SUB1
2,4.636363636363636,Clustered,13089,Cyp2b13,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,226143,Cyp2c23,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,13086,Cyp2a4,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,13113,Cyp3a13,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,337924,Cyp3a44,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,13094,Cyp2b9,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,13114,Cyp3a16,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,13099,Cyp2c40,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,13097,Cyp2c38,FLT14_and_GC8_SUB2
2,4.636363636363636,Clustered,13098,Cyp2c39,FLT14_and_GC8_SUB2
2,4.636363636363636,Seed,13105,Cyp2d9,FLT14_and_GC8_SUB2
1,4.7272727272727275,Clustered,12550,Cdh1,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,68028,Rpl22l1,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,67248,Rpl39,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,16898,Rps2,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,19943,Rpl28,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,67186,Rplp2,FLT14_not_GC8_SUB1
1,4.7272727272727275,Seed,665155,Srp54b,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,19944,Rpl29,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,66489,Rpl35,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,19946,Rpl30,FLT14_not_GC8_SUB1
1,4.7272727272727275,Clustered,20090,Rps29,FLT14_not_GC8_SUB1
2,1.5,Clustered,69875,Ndufa11,FLT14_not_GC8_SUB1
2,1.5,Seed,66916,Ndufb7,FLT14_not_GC8_SUB1
2,1.5,Clustered,68194,Ndufb4,FLT14_not_GC8_SUB1
2,1.5,Clustered,17993,Ndufs4,FLT14_not_GC8_SUB1
1,1.0,Seed,30055,Timm13,GC8_all_SUB3
1,1.0,Clustered,72170,Chchd4,GC8_all_SUB3
1,1.0,Clustered,30056,Timm9,GC8_all_SUB3
