Cluster,Score,Type,Gene,Symbol,Network
1,11.571428571428571,Clustered,16898,Rps2,_FINAL_SUB1
1,11.571428571428571,Clustered,54217,Rpl36,_FINAL_SUB1
1,11.571428571428571,Clustered,67186,Rplp2,_FINAL_SUB1
1,11.571428571428571,Clustered,19933,Rpl21,_FINAL_SUB1
1,11.571428571428571,Clustered,110954,Rpl10,_FINAL_SUB1
1,11.571428571428571,Clustered,20084,Rps18,_FINAL_SUB1
1,11.571428571428571,Clustered,14696,Gnb4,_FINAL_SUB1
1,11.571428571428571,Clustered,13118,Cyp4a12b,_FINAL_SUB1
1,11.571428571428571,Clustered,19941,Rpl26,_FINAL_SUB1
1,11.571428571428571,Clustered,20090,Rps29,_FINAL_SUB1
1,11.571428571428571,Clustered,12550,Cdh1,_FINAL_SUB1
1,11.571428571428571,Clustered,27367,Rpl3,_FINAL_SUB1
1,11.571428571428571,Clustered,231655,Oasl1,_FINAL_SUB1
1,11.571428571428571,Clustered,68028,Rpl22l1,_FINAL_SUB1
1,11.571428571428571,Clustered,277753,Cyp4a12a,_FINAL_SUB1
1,11.571428571428571,Clustered,68052,Rps13,_FINAL_SUB1
1,11.571428571428571,Clustered,67248,Rpl39,_FINAL_SUB1
1,11.571428571428571,Clustered,20115,Rps7,_FINAL_SUB1
1,11.571428571428571,Clustered,13119,Cyp4a14,_FINAL_SUB1
1,11.571428571428571,Clustered,19943,Rpl28,_FINAL_SUB1
1,11.571428571428571,Clustered,11837,Rplp0,_FINAL_SUB1
1,11.571428571428571,Clustered,232174,Cyp26b1,_FINAL_SUB1
1,11.571428571428571,Clustered,57808,Rpl35a,_FINAL_SUB1
1,11.571428571428571,Clustered,19944,Rpl29,_FINAL_SUB1
1,11.571428571428571,Clustered,66489,Rpl35,_FINAL_SUB1
1,11.571428571428571,Seed,20335,Sec61g,_FINAL_SUB1
1,11.571428571428571,Clustered,13120,Cyp4b1,_FINAL_SUB1
1,11.571428571428571,Clustered,19946,Rpl30,_FINAL_SUB1
3,5.538461538461538,Clustered,13089,Cyp2b13,_FINAL_SUB1
3,5.538461538461538,Clustered,74519,Cyp2j9,_FINAL_SUB1
3,5.538461538461538,Clustered,226143,Cyp2c23,_FINAL_SUB1
3,5.538461538461538,Clustered,13112,Cyp3a11,_FINAL_SUB1
3,5.538461538461538,Seed,13086,Cyp2a4,_FINAL_SUB1
3,5.538461538461538,Clustered,13113,Cyp3a13,_FINAL_SUB1
3,5.538461538461538,Clustered,337924,Cyp3a44,_FINAL_SUB1
3,5.538461538461538,Clustered,13094,Cyp2b9,_FINAL_SUB1
3,5.538461538461538,Clustered,13114,Cyp3a16,_FINAL_SUB1
3,5.538461538461538,Clustered,13099,Cyp2c40,_FINAL_SUB1
3,5.538461538461538,Clustered,13097,Cyp2c38,_FINAL_SUB1
3,5.538461538461538,Clustered,13098,Cyp2c39,_FINAL_SUB1
3,5.538461538461538,Clustered,13105,Cyp2d9,_FINAL_SUB1
2,3.5909090909090913,Clustered,19355,Rad1,_FINAL_SUB1
2,3.5909090909090913,Clustered,76779,Ift38,_FINAL_SUB1
2,3.5909090909090913,Clustered,19365,Rad52,_FINAL_SUB1
2,3.5909090909090913,Clustered,19076,Prim2,_FINAL_SUB1
2,3.5909090909090913,Clustered,17217,Mcm4,_FINAL_SUB1
2,3.5909090909090913,Clustered,12189,Brca1,_FINAL_SUB1
2,3.5909090909090913,Clustered,213081,Wdr19,_FINAL_SUB1
2,3.5909090909090913,Clustered,12144,Blm,_FINAL_SUB1
2,3.5909090909090913,Clustered,67694,Ift74,_FINAL_SUB1
2,3.5909090909090913,Clustered,68259,Ift80,_FINAL_SUB1
2,3.5909090909090913,Clustered,72421,Ift70b,_FINAL_SUB1
2,3.5909090909090913,Clustered,73668,Ttc21b,_FINAL_SUB1
2,3.5909090909090913,Clustered,17219,Mcm6,_FINAL_SUB1
2,3.5909090909090913,Clustered,12566,Cdk2,_FINAL_SUB1
2,3.5909090909090913,Clustered,69263,Rfc3,_FINAL_SUB1
2,3.5909090909090913,Clustered,56452,Orc6,_FINAL_SUB1
2,3.5909090909090913,Clustered,237911,Brip1,_FINAL_SUB1
2,3.5909090909090913,Clustered,12289,Cacna1d,_FINAL_SUB1
2,3.5909090909090913,Clustered,68240,Rpa3,_FINAL_SUB1
2,3.5909090909090913,Clustered,74682,Wdr35,_FINAL_SUB1
2,3.5909090909090913,Clustered,18393,Orc2,_FINAL_SUB1
2,3.5909090909090913,Seed,15574,Hus1,_FINAL_SUB1
5,2.857142857142857,Clustered,69875,Ndufa11,_FINAL_SUB1
5,2.857142857142857,Seed,13178,Dck,_FINAL_SUB1
5,2.857142857142857,Clustered,74201,Cep97,_FINAL_SUB1
5,2.857142857142857,Clustered,66916,Ndufb7,_FINAL_SUB1
5,2.857142857142857,Clustered,68194,Ndufb4,_FINAL_SUB1
5,2.857142857142857,Clustered,17993,Ndufs4,_FINAL_SUB1
5,2.857142857142857,Clustered,67892,Coa6,_FINAL_SUB1
4,2.5,Clustered,14702,Gng2,_FINAL_SUB1
4,2.5,Clustered,19735,Rgs2,_FINAL_SUB1
4,2.5,Seed,66254,Dimt1,_FINAL_SUB1
4,2.5,Clustered,18751,Prkcb,_FINAL_SUB1
4,2.5,Clustered,69639,Exosc8,_FINAL_SUB1
4,2.5,Clustered,14710,Gngt2,_FINAL_SUB1
4,2.5,Clustered,18750,Prkca,_FINAL_SUB1
4,2.5,Clustered,170823,Glmn,_FINAL_SUB1
4,2.5,Clustered,18798,Plcb4,_FINAL_SUB1
4,2.5,Clustered,66066,Gng11,_FINAL_SUB1
6,2.3333333333333335,Seed,237222,Ofd1,_FINAL_SUB1
6,2.3333333333333335,Clustered,230376,Haus6,_FINAL_SUB1
6,2.3333333333333335,Clustered,70799,Cep192,_FINAL_SUB1
6,2.3333333333333335,Clustered,231123,Haus3,_FINAL_SUB1
6,2.3333333333333335,Clustered,76478,Haus8,_FINAL_SUB1
6,2.3333333333333335,Clustered,225745,Haus1,_FINAL_SUB1
7,1.7999999999999998,Seed,12448,Ccne2,_FINAL_SUB1
7,1.7999999999999998,Clustered,12443,Ccnd1,_FINAL_SUB1
7,1.7999999999999998,Clustered,13559,E2f5,_FINAL_SUB1
7,1.7999999999999998,Clustered,12575,Cdkn1a,_FINAL_SUB1
7,1.7999999999999998,Clustered,19650,Rbl1,_FINAL_SUB1
8,1.7999999999999998,Clustered,382985,Rrm2b,_FINAL_SUB1
8,1.7999999999999998,Seed,22169,Cmpk2,_FINAL_SUB1
8,1.7999999999999998,Clustered,14923,Guk1,_FINAL_SUB1
