GeneList	Category	Description	LogP	Enrichment	Hits
FLT14_all	GO Biological Processes	xenobiotic metabolic process	-18.0	11.0	Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Fmo3|Gsta4|Guk1|Sult2a1|Slco1a1|Cyp3a41a|Upp2|Gstp3|Cyp2c23|Fmo4|Cyp2a22|Cyp2r1|Cyp3a44|Sult2a7|Cyp2c69|Sult2a2
FLT14_all	WikiPathways	Cytoplasmic ribosomal proteins	-17.0	15.0	Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rps13|Rpl10
FLT14_all	GO Biological Processes	cellular response to xenobiotic stimulus	-15.0	8.2	Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Fmo3|Gsta4|Gstm3|Guk1|Sult2a1|Slco1a1|Cyp3a41a|Upp2|Gstp3|Cyp2c23|Fmo4|Cyp2a22|Cyp2r1|Cyp3a44|Sult2a7|Cyp2c69|Sult2a2
FLT14_all	GO Biological Processes	steroid metabolic process	-14.0	6.8	Apoa4|Serpina6|Cyp2b13|Cyp2b9|Cyp2c40|Cyp3a13|Cyp3a16|Cyp7b1|Inhba|Lepr|Pctp|Sqle|Sult2a1|Hsd17b6|Slco1a1|Cyp3a41a|Srd5a1|Mvd|Rdh16f2|Tsku|Cyp2r1|Idi1|Cyp3a44|Akr1c19|Sult2a7|Cyp2c69|Sult2a2
FLT14_all	KEGG Pathway	Ribosome - Mus musculus (house mouse)	-14.0	8.3	Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl22l1|Rps13|Mrpl14|Mrpl53|Rpl10
FLT14_all	GO Biological Processes	monocarboxylic acid metabolic process	-13.0	4.4	Fabp4|Elovl3|Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Cyp7b1|Mif|Sult2a1|Vnn1|Vnn3|Abcd2|Acot1|Slco1a1|Cyp3a41a|Hao2|Abhd1|Mgst3|Gatm|Hyi|Elovl6|Acot3|Rdh16f2|Gstp3|Cyp2c23|Cyp2a22|Ces2c|Cyp3a44|Ces1b|Akr1c19|Sult2a7|Cyp2c69|Sult2a2
FLT14_all	Reactome Gene Sets	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA	-13.0	13.0	Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10
FLT14_all	Reactome Gene Sets	SRP-dependent cotranslational protein targeting to membrane	-13.0	13.0	Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10
FLT14_and_GC8	GO Biological Processes	xenobiotic metabolic process	-16.0	15.0	Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Fmo3|Guk1|Slco1a1|Cyp3a41a|Upp2|Cyp2c23|Cyp2r1|Cyp3a44|Sult2a7|Cyp2c69
FLT14_and_GC8	GO Biological Processes	cellular response to xenobiotic stimulus	-15.0	12.0	Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Fmo3|Gstm3|Guk1|Slco1a1|Cyp3a41a|Upp2|Cyp2c23|Cyp2r1|Cyp3a44|Sult2a7|Cyp2c69
