flt_cluster	gene_count	gc_clusters_spanned	top_gc_cluster	top_gc_overlap	top_gc_overlap_fraction	gc_cluster_entropy
0	4412	2	0	4402	0.9977334542157752	0.023178485534376937
1	2137	6	5	1258	0.5886757136172204	1.6966621400435935
2	2085	5	4	1121	0.5376498800959233	1.5657450434774498
3	1968	4	1	1874	0.9522357723577236	0.33060210359738373
4	1619	5	10	901	0.5565163681284744	1.5121658246771232
5	1431	6	11	740	0.517120894479385	1.7450303086921288
6	1422	6	2	772	0.5428973277074542	1.782503517618596
7	1066	3	2	794	0.7448405253283302	1.0320967653573936
8	934	4	3	636	0.6809421841541756	1.2681850291055596
9	913	6	2	411	0.45016429353778753	2.0201433568952214
10	884	5	9	805	0.9106334841628959	0.5773668405003095
11	637	4	12	502	0.7880690737833596	0.8415904090146645
12	595	4	6	571	0.9596638655462185	0.29370446648306464
13	326	6	7	252	0.7730061349693251	1.183083752692462
14	303	8	8	163	0.5379537953795379	2.0863061058229047
15	278	4	1	167	0.6007194244604317	1.4114422701643823
