flt_cluster	gene_count	mean_latent_shift	median_latent_shift	p90_latent_shift
13	326	3.330209307552029	2.496513192539103	7.063495671411117
14	303	3.258796338537209	3.034398756076601	4.688033533624059
15	278	3.1665776992638994	2.4965148379957824	6.482403956886172
9	913	2.7195336709338234	2.537899940850183	4.179133164382729
6	1422	2.35051953533261	2.2500452227310053	3.3222159172357046
12	595	2.071056649439174	1.9912742435251995	2.6890858087682057
2	2085	1.729102515070801	1.6192024005978156	2.639394791842288
1	2137	1.5802413607919727	1.4956467082503835	2.2055848557477242
7	1066	1.5786490866718974	1.483640512043452	2.390771287248472
11	637	1.4803079897976934	1.334467208444598	2.221626783609024
10	884	1.4582150524421273	1.4000746954770993	1.9605864534596256
8	934	1.3888370564841672	1.2646146950180692	2.1451174029724043
5	1431	1.3591546113945332	1.2516778868924998	1.8811364638383221
4	1619	1.2485702149167428	1.1475317741852298	1.8758029604666653
3	1968	0.7794346769128319	0.7288703878568805	1.1052632356799128
0	4412	0.4940513073660159	0.49402645415771407	0.49402645415771407
