flt_cluster	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	4402	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	419	290	1258	0	0	23	106	0	41	0	0	0
2	0	0	9	82	1121	0	220	0	653	0	0	0	0	0	0
3	2	1874	0	0	0	0	0	48	0	0	44	0	0	0	0
4	0	102	97	0	0	0	0	515	0	0	901	0	0	0	4
5	0	0	0	447	0	50	0	0	11	104	0	740	79	0	0
6	0	0	772	0	0	0	327	187	61	0	0	0	0	3	72
7	0	0	794	0	0	0	0	200	0	0	72	0	0	0	0
8	0	0	0	636	188	0	97	0	13	0	0	0	0	0	0
9	0	0	411	0	0	0	93	57	239	0	0	0	0	107	6
10	0	0	0	0	0	12	0	0	2	805	0	31	34	0	0
11	0	0	0	0	0	0	0	0	5	125	0	5	502	0	0
12	0	0	0	16	5	0	571	0	3	0	0	0	0	0	0
13	2	32	21	0	0	0	0	252	0	0	17	0	0	0	2
14	0	0	0	39	4	33	36	0	163	6	0	19	3	0	0
15	18	167	0	0	0	0	0	81	0	0	12	0	0	0	0
