gc_cluster	gene_count	flt_clusters_spanned	top_flt_cluster	top_flt_overlap	top_flt_overlap_fraction	flt_cluster_entropy
0	4424	4	0	4402	0.9950271247739603	0.04951324066676014
1	2185	5	3	1874	0.8576659038901602	0.8047055744353525
2	2104	6	7	794	0.3773764258555133	1.826159802134924
3	1639	6	8	636	0.38804148871262967	1.953939997144528
4	1608	5	2	1121	0.697139303482587	1.2179574240153423
5	1353	4	1	1258	0.9297856614929786	0.4646231722467774
6	1344	6	12	571	0.42485119047619047	2.1284231785952765
7	1340	7	4	515	0.3843283582089552	2.4001541777944473
8	1173	10	2	653	0.556692242114237	1.8731790827727746
9	1146	5	10	805	0.7024432809773123	1.3781170593641878
10	1046	5	4	901	0.861376673040153	0.8140166972777296
11	836	5	5	740	0.8851674641148325	0.713600445689411
12	618	4	11	502	0.8122977346278317	0.8904886471698218
13	110	2	9	107	0.9727272727272728	0.18052466764205782
14	84	4	6	72	0.8571428571428571	0.800122481014791
